metric,bytes,key,value
calls_per_byte,1000000,memory,0.000388
calls_per_byte,1000000,file_io,9.6e-05
calls_per_byte,1000000,other,6e-05
calls_per_byte,1000000,sync,2e-05
calls_per_byte,1000000,control_io,2e-06
calls_per_byte,2500000,memory,7.76e-05
calls_per_byte,2500000,file_io,1.92e-05
calls_per_byte,2500000,other,1.2e-05
calls_per_byte,2500000,sync,4.4e-06
calls_per_byte,2500000,control_io,4e-07
calls_per_byte,5000000,memory,7.76e-05
calls_per_byte,5000000,file_io,1.92e-05
calls_per_byte,5000000,other,1.2e-05
calls_per_byte,5000000,sync,3.8e-06
calls_per_byte,5000000,control_io,4e-07
calls_per_byte,7500000,memory,2.5733333333333333e-05
calls_per_byte,7500000,file_io,6.4e-06
calls_per_byte,7500000,other,4e-06
calls_per_byte,7500000,sync,1.2e-06
calls_per_byte,7500000,control_io,1.3333333333333336e-07
calls_per_byte,10000000,memory,3.88e-05
calls_per_byte,10000000,file_io,9.6e-06
calls_per_byte,10000000,other,6e-06
calls_per_byte,10000000,sync,2.1e-06
calls_per_byte,10000000,control_io,2e-07
usec_per_byte,1000000,sync,1.679672
usec_per_byte,1000000,memory,0.02482
usec_per_byte,1000000,other,0.0034479999999999
usec_per_byte,1000000,file_io,0.003147
usec_per_byte,1000000,control_io,1.1e-05
usec_per_byte,2500000,sync,0.18336
usec_per_byte,2500000,memory,0.0034027999999999
usec_per_byte,2500000,file_io,0.0005684
usec_per_byte,2500000,other,0.0003192
usec_per_byte,2500000,control_io,4e-07
usec_per_byte,5000000,sync,0.3888558
usec_per_byte,5000000,memory,0.0039546
usec_per_byte,5000000,file_io,0.0003906
usec_per_byte,5000000,other,0.0003284
usec_per_byte,5000000,control_io,2.8e-05
usec_per_byte,7500000,sync,0.1532142666666666
usec_per_byte,7500000,memory,0.0011814666666666
usec_per_byte,7500000,file_io,0.0001813333333333
usec_per_byte,7500000,other,0.0001794666666666
usec_per_byte,7500000,control_io,2.5333333333333338e-06
usec_per_byte,10000000,sync,0.2517502
usec_per_byte,10000000,memory,0.0032745
usec_per_byte,10000000,file_io,0.0003128999999999
usec_per_byte,10000000,other,0.0001278
usec_per_byte,10000000,control_io,1e-07
