variant,bytes,iterations,key,calls,seconds,usec_per_iter,calls_per_iter
alloc,10000000,100000,control_io,1,0.000161,0.00161,1e-05
alloc,10000000,100000,file_io,17,3.6e-05,0.00036,0.00017
alloc,10000000,100000,memory,45,0.017591,0.17591,0.00045
alloc,10000000,100000,other,18,0.000429,0.00429,0.00018
alloc,10000000,100000,sync,100026,23.973847,239.73847,1.00026
baseline,10000000,100000,control_io,1,9.9e-05,0.00099,1e-05
baseline,10000000,100000,file_io,17,0.0006,0.006,0.00017
baseline,10000000,100000,memory,46,0.011407,0.11407,0.00046
baseline,10000000,100000,other,18,0.0012179999999999,0.0121799999999999,0.00018
baseline,10000000,100000,sync,4,0.000382,0.00382,4e-05
kernels,10000000,100000,control_io,2,1e-06,1e-05,2e-05
kernels,10000000,100000,file_io,96,0.0031289999999999,0.03129,0.00096
kernels,10000000,100000,memory,388,0.032745,0.3274500000000001,0.00388
kernels,10000000,100000,other,60,0.001278,0.01278,0.0006
kernels,10000000,100000,sync,21,2.517502,25.17502,0.00021
