metric,axis_value,key,value
calls_per_iter,1000000,control_io,0.0011
calls_per_iter,1000000,file_io,0.0141
calls_per_iter,1000000,memory,0.0113
calls_per_iter,1000000,other,0.0004
calls_per_iter,1000000,sync,0.0004
calls_per_iter,2500000,control_io,0.0011
calls_per_iter,2500000,file_io,0.0141
calls_per_iter,2500000,memory,0.0113
calls_per_iter,2500000,other,0.0004
calls_per_iter,2500000,sync,0.0004
calls_per_iter,5000000,control_io,0.0011
calls_per_iter,5000000,file_io,0.0141
calls_per_iter,5000000,memory,0.0113
calls_per_iter,5000000,other,0.0004
calls_per_iter,5000000,sync,0.0004
calls_per_iter,7500000,control_io,0.0011
calls_per_iter,7500000,file_io,0.0141
calls_per_iter,7500000,memory,0.0113
calls_per_iter,7500000,other,0.0004
calls_per_iter,7500000,sync,0.0004
calls_per_iter,10000000,control_io,0.0011
calls_per_iter,10000000,file_io,0.0141
calls_per_iter,10000000,memory,0.0113
calls_per_iter,10000000,other,0.0004
calls_per_iter,10000000,sync,0.0004
usec_per_iter,1000000,control_io,0.0029
usec_per_iter,1000000,file_io,0.0477
usec_per_iter,1000000,memory,0.0522999999999999
usec_per_iter,1000000,other,0.0013
usec_per_iter,1000000,sync,0.0014999999999999
usec_per_iter,2500000,control_io,0.0323
usec_per_iter,2500000,file_io,0.044
usec_per_iter,2500000,memory,0.0568
usec_per_iter,2500000,other,0.0013
usec_per_iter,2500000,sync,0.0011
usec_per_iter,5000000,control_io,0.0
usec_per_iter,5000000,file_io,0.0
usec_per_iter,5000000,memory,0.0
usec_per_iter,5000000,other,0.0
usec_per_iter,5000000,sync,0.0
usec_per_iter,7500000,control_io,0.0757999999999999
usec_per_iter,7500000,file_io,0.0864
usec_per_iter,7500000,memory,0.0856
usec_per_iter,7500000,other,0.0014
usec_per_iter,7500000,sync,0.0014
usec_per_iter,10000000,control_io,0.0321
usec_per_iter,10000000,file_io,0.0499
usec_per_iter,10000000,memory,0.0473
usec_per_iter,10000000,other,0.0007
usec_per_iter,10000000,sync,0.0017
