backend,variant,bytes,iterations,key,calls,seconds,usec_per_iter,calls_per_iter
tb_cuda,kernels,10000000,100,control_io,11.0,8.600000000000003e-05,0.8600000000000003,0.11
tb_cuda,kernels,10000000,100,file_io,141.0,0.0004239999999999,4.239999999999999,1.41
tb_cuda,kernels,10000000,100,memory,113.0,0.00058,5.800000000000001,1.13
tb_cuda,kernels,10000000,100,other,4.0,1.3e-05,0.13,0.04
tb_cuda,kernels,10000000,100,sync,4.0,1.6e-05,0.16,0.04
tb_cuda,kernels,10000000,5000,control_io,11.0,0.0002349999999999,0.0469999999999999,0.0022
tb_cuda,kernels,10000000,5000,file_io,141.0,0.0006869999999999,0.1373999999999999,0.0282
tb_cuda,kernels,10000000,5000,memory,113.0,0.000769,0.1538,0.0226
tb_cuda,kernels,10000000,5000,other,4.0,1.3e-05,0.0026,0.0008
tb_cuda,kernels,10000000,5000,sync,4.0,7e-06,0.0014,0.0008
tb_cuda,kernels,10000000,10000,control_io,11.0,0.000321,0.0321,0.0011
tb_cuda,kernels,10000000,10000,file_io,141.0,0.000499,0.0499,0.0141
tb_cuda,kernels,10000000,10000,memory,113.0,0.000473,0.0473,0.0113
tb_cuda,kernels,10000000,10000,other,4.0,7e-06,0.0007,0.0004
tb_cuda,kernels,10000000,10000,sync,4.0,1.7e-05,0.0017,0.0004
tb_cuda,kernels,10000000,50000,control_io,11.0,5.200000000000001e-05,0.00104,0.00022
tb_cuda,kernels,10000000,50000,file_io,141.0,0.0004069999999999,0.00814,0.00282
tb_cuda,kernels,10000000,50000,memory,113.0,0.000395,0.0079,0.00226
tb_cuda,kernels,10000000,50000,other,4.0,8e-06,0.00016,8e-05
tb_cuda,kernels,10000000,50000,sync,4.0,8e-06,0.00016,8e-05
tb_cuda,kernels,10000000,100000,control_io,11.0,0.000285,0.00285,0.00011
tb_cuda,kernels,10000000,100000,file_io,141.0,0.000631,0.00631,0.00141
tb_cuda,kernels,10000000,100000,memory,113.0,0.000629,0.00629,0.00113
tb_cuda,kernels,10000000,100000,other,4.0,1.3999999999999998e-05,0.00014,4e-05
tb_cuda,kernels,10000000,100000,sync,4.0,8e-06,8e-05,4e-05
