metric,iterations,key,value
calls_per_iter,100,file_io,1.41
calls_per_iter,100,memory,1.13
calls_per_iter,100,control_io,0.11
calls_per_iter,100,other,0.04
calls_per_iter,100,sync,0.04
calls_per_iter,5000,file_io,0.0282
calls_per_iter,5000,memory,0.0226
calls_per_iter,5000,control_io,0.0022
calls_per_iter,5000,other,0.0008
calls_per_iter,5000,sync,0.0008
calls_per_iter,10000,file_io,0.0141
calls_per_iter,10000,memory,0.0113
calls_per_iter,10000,control_io,0.0011
calls_per_iter,10000,other,0.0004
calls_per_iter,10000,sync,0.0004
calls_per_iter,50000,file_io,0.00282
calls_per_iter,50000,memory,0.00226
calls_per_iter,50000,control_io,0.00022
calls_per_iter,50000,other,8e-05
calls_per_iter,50000,sync,8e-05
calls_per_iter,100000,file_io,0.00141
calls_per_iter,100000,memory,0.00113
calls_per_iter,100000,control_io,0.00011
calls_per_iter,100000,other,4e-05
calls_per_iter,100000,sync,4e-05
usec_per_iter,100,memory,5.800000000000001
usec_per_iter,100,file_io,4.239999999999999
usec_per_iter,100,control_io,0.8600000000000003
usec_per_iter,100,sync,0.16
usec_per_iter,100,other,0.13
usec_per_iter,5000,memory,0.1538
usec_per_iter,5000,file_io,0.1373999999999999
usec_per_iter,5000,control_io,0.0469999999999999
usec_per_iter,5000,other,0.0026
usec_per_iter,5000,sync,0.0014
usec_per_iter,10000,file_io,0.0499
usec_per_iter,10000,memory,0.0473
usec_per_iter,10000,control_io,0.0321
usec_per_iter,10000,sync,0.0017
usec_per_iter,10000,other,0.0007
usec_per_iter,50000,file_io,0.00814
usec_per_iter,50000,memory,0.0079
usec_per_iter,50000,control_io,0.00104
usec_per_iter,50000,other,0.00016
usec_per_iter,50000,sync,0.00016
usec_per_iter,100000,file_io,0.00631
usec_per_iter,100000,memory,0.00629
usec_per_iter,100000,control_io,0.00285
usec_per_iter,100000,other,0.00014
usec_per_iter,100000,sync,8e-05
