% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.86    2.389965         238     10002       892 futex
  0.06    0.001459         145        10           munmap
  0.02    0.000535          25        21           mmap
  0.02    0.000453         453         1         1 ioctl
  0.01    0.000236          39         6           fstat
  0.01    0.000150          15        10           mprotect
  0.01    0.000120          30         4           sched_yield
  0.00    0.000098          19         5           openat
  0.00    0.000074          14         5           close
  0.00    0.000060          15         4           read
  0.00    0.000040          20         2           pread64
  0.00    0.000032          10         3           rt_sigprocmask
  0.00    0.000026          26         1           clone3
  0.00    0.000016          16         1           set_tid_address
  0.00    0.000015          15         1           set_robust_list
  0.00    0.000015          15         1           madvise
  0.00    0.000012          12         1           write
  0.00    0.000012          12         1           rseq
  0.00    0.000011           3         3           brk
  0.00    0.000009           9         1           rt_sigaction
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    2.393338         237     10087       894 total
