variant,bytes,iterations,key,calls,seconds,usec_per_iter,calls_per_iter
kernels,10000000,100,control_io,1,0.000146,1.46,0.01
kernels,10000000,100,file_io,48,0.001724,17.24,0.48
kernels,10000000,100,memory,67,0.004056,40.56,0.67
kernels,10000000,100,other,30,0.00082,8.200000000000001,0.3
kernels,10000000,100,sync,10,0.006061,60.61,0.1
kernels,10000000,5000,control_io,1,7e-06,0.0014,0.0002
kernels,10000000,5000,file_io,48,0.000731,0.1462,0.0096
kernels,10000000,5000,memory,73,0.003227,0.6454000000000001,0.0146
kernels,10000000,5000,other,30,0.000518,0.1036,0.006
kernels,10000000,5000,sync,10,0.066441,13.2882,0.002
kernels,10000000,10000,control_io,1,1.5e-05,0.0015,0.0001
kernels,10000000,10000,file_io,48,0.00057,0.057,0.0048
kernels,10000000,10000,memory,81,0.005804,0.5804,0.0081
kernels,10000000,10000,other,30,0.0005719999999999,0.0571999999999999,0.003
kernels,10000000,10000,sync,11,0.125679,12.567900000000002,0.0011
kernels,10000000,50000,control_io,1,0.0,0.0,2e-05
kernels,10000000,50000,file_io,48,0.001352,0.02704,0.00096
kernels,10000000,50000,memory,133,0.009142,0.18284,0.00266
kernels,10000000,50000,other,30,0.000641,0.01282,0.0006
kernels,10000000,50000,sync,11,0.660112,13.20224,0.00022
kernels,10000000,100000,control_io,1,0.0,0.0,1e-05
kernels,10000000,100000,file_io,48,0.001683,0.01683,0.00048
kernels,10000000,100000,memory,194,0.020494,0.20494,0.00194
kernels,10000000,100000,other,30,0.000642,0.00642,0.0003
kernels,10000000,100000,sync,10,1.407721,14.07721,0.0001
