metric,iterations,key,value
calls_per_iter,100,memory,0.67
calls_per_iter,100,file_io,0.48
calls_per_iter,100,other,0.3
calls_per_iter,100,sync,0.1
calls_per_iter,100,control_io,0.01
calls_per_iter,5000,memory,0.0146
calls_per_iter,5000,file_io,0.0096
calls_per_iter,5000,other,0.006
calls_per_iter,5000,sync,0.002
calls_per_iter,5000,control_io,0.0002
calls_per_iter,10000,memory,0.0081
calls_per_iter,10000,file_io,0.0048
calls_per_iter,10000,other,0.003
calls_per_iter,10000,sync,0.0011
calls_per_iter,10000,control_io,0.0001
calls_per_iter,50000,memory,0.00266
calls_per_iter,50000,file_io,0.00096
calls_per_iter,50000,other,0.0006
calls_per_iter,50000,sync,0.00022
calls_per_iter,50000,control_io,2e-05
calls_per_iter,100000,memory,0.00194
calls_per_iter,100000,file_io,0.00048
calls_per_iter,100000,other,0.0003
calls_per_iter,100000,sync,0.0001
calls_per_iter,100000,control_io,1e-05
usec_per_iter,100,sync,60.61
usec_per_iter,100,memory,40.56
usec_per_iter,100,file_io,17.24
usec_per_iter,100,other,8.200000000000001
usec_per_iter,100,control_io,1.46
usec_per_iter,5000,sync,13.2882
usec_per_iter,5000,memory,0.6454000000000001
usec_per_iter,5000,file_io,0.1462
usec_per_iter,5000,other,0.1036
usec_per_iter,5000,control_io,0.0014
usec_per_iter,10000,sync,12.567900000000002
usec_per_iter,10000,memory,0.5804
usec_per_iter,10000,other,0.0571999999999999
usec_per_iter,10000,file_io,0.057
usec_per_iter,10000,control_io,0.0015
usec_per_iter,50000,sync,13.20224
usec_per_iter,50000,memory,0.18284
usec_per_iter,50000,file_io,0.02704
usec_per_iter,50000,other,0.01282
usec_per_iter,50000,control_io,0.0
usec_per_iter,100000,sync,14.07721
usec_per_iter,100000,memory,0.20494
usec_per_iter,100000,file_io,0.01683
usec_per_iter,100000,other,0.00642
usec_per_iter,100000,control_io,0.0
