% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 26.96    0.001832         203         9           futex
 24.74    0.001681          93        18         5 openat
 11.77    0.000800          24        33           mmap
  8.55    0.000581          48        12           read
  7.14    0.000485          30        16           munmap
  6.89    0.000468          33        14           fstat
  5.40    0.000367          28        13           close
  3.53    0.000240          17        14           mprotect
  1.77    0.000120         120         1         1 ioctl
  1.77    0.000120          30         4           newfstatat
  0.43    0.000029          14         2           lseek
  0.35    0.000024          12         2           pread64
  0.25    0.000017           5         3           brk
  0.15    0.000010          10         1           prlimit64
  0.12    0.000008           8         1           getrandom
  0.12    0.000008           8         1           rseq
  0.07    0.000005           5         1           write
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         3           rt_sigprocmask
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           madvise
  0.00    0.000000           0         1           clone3
------ ----------- ----------- --------- --------- ----------------
100.00    0.006795          43       155         7 total
