% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.96   24.702303         247     99989      9203 futex
  0.01    0.003660         122        30           sched_yield
  0.01    0.003441         344        10           munmap
  0.00    0.000547          26        21           mmap
  0.00    0.000258          25        10           mprotect
  0.00    0.000204          68         3           rt_sigprocmask
  0.00    0.000138          69         2           pread64
  0.00    0.000107          21         5           close
  0.00    0.000097          24         4           read
  0.00    0.000087          87         1           write
  0.00    0.000075          15         5           openat
  0.00    0.000069          69         1           rseq
  0.00    0.000054          54         1           madvise
  0.00    0.000048          48         1           getrandom
  0.00    0.000044           7         6           fstat
  0.00    0.000043          43         1           clone3
  0.00    0.000026          26         1           set_robust_list
  0.00    0.000025           8         3           brk
  0.00    0.000014          14         1           rt_sigaction
  0.00    0.000013          13         1           set_tid_address
  0.00    0.000013          13         1           prlimit64
  0.00    0.000000           0         1         1 ioctl
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00   24.711266         246    100100      9205 total
