metric,backend,key,value
calls_per_iter,tb_cpu,mmap,0.0021
calls_per_iter,tb_cpu,openat,0.0015
calls_per_iter,tb_cpu,newfstatat,0.0008
calls_per_iter,tb_cpu,mprotect,0.0006
calls_per_iter,tb_cpu,close,0.0004
calls_per_iter,tb_cpu,fstat,0.0004
calls_per_iter,tb_cpu,read,0.0004
calls_per_iter,tb_cpu,brk,0.0003
calls_per_iter,tb_cpu,pread64,0.0002
calls_per_iter,tb_cpu,access,0.0001
calls_per_iter,tb_cpu,execve,0.0001
calls_per_iter,tb_cpu,futex,0.0001
calls_per_iter,tb_cpu,getrandom,0.0001
calls_per_iter,tb_cpu,prlimit64,0.0001
calls_per_iter,tb_cuda,mmap,0.0039
calls_per_iter,tb_cuda,openat,0.0022
calls_per_iter,tb_cuda,mprotect,0.0011
calls_per_iter,tb_cuda,close,0.0008
calls_per_iter,tb_cuda,fstat,0.0008
calls_per_iter,tb_cuda,read,0.0008
calls_per_iter,tb_cuda,newfstatat,0.0007
calls_per_iter,tb_cuda,brk,0.0003
calls_per_iter,tb_cuda,futex,0.0002
calls_per_iter,tb_cuda,munmap,0.0002
calls_per_iter,tb_cuda,pread64,0.0002
calls_per_iter,tb_cuda,access,0.0001
calls_per_iter,tb_cuda,execve,0.0001
calls_per_iter,tb_cuda,getrandom,0.0001
calls_per_iter,tb_cuda,prlimit64,0.0001
usec_per_iter,tb_cpu,execve,0.023
usec_per_iter,tb_cpu,mmap,0.0157
usec_per_iter,tb_cpu,openat,0.0096
usec_per_iter,tb_cpu,newfstatat,0.0044
usec_per_iter,tb_cpu,mprotect,0.004
usec_per_iter,tb_cpu,read,0.0017
usec_per_iter,tb_cpu,close,0.0015
usec_per_iter,tb_cpu,fstat,0.0014
usec_per_iter,tb_cpu,brk,0.0012
usec_per_iter,tb_cpu,pread64,0.0008
usec_per_iter,tb_cpu,access,0.0005
usec_per_iter,tb_cpu,futex,0.0004
usec_per_iter,tb_cpu,getrandom,0.0004
usec_per_iter,tb_cpu,prlimit64,0.0004
usec_per_iter,tb_cuda,mmap,0.0294
usec_per_iter,tb_cuda,openat,0.0177
usec_per_iter,tb_cuda,mprotect,0.01
usec_per_iter,tb_cuda,execve,0.004
usec_per_iter,tb_cuda,newfstatat,0.0039
usec_per_iter,tb_cuda,read,0.0032
usec_per_iter,tb_cuda,fstat,0.0031
usec_per_iter,tb_cuda,close,0.0029
usec_per_iter,tb_cuda,brk,0.0015
usec_per_iter,tb_cuda,futex,0.001
usec_per_iter,tb_cuda,munmap,0.001
usec_per_iter,tb_cuda,pread64,0.0008
usec_per_iter,tb_cuda,access,0.0006
usec_per_iter,tb_cuda,getrandom,0.0005
usec_per_iter,tb_cuda,prlimit64,0.0005
