metric,axis_value,key,value
calls_per_iter,tb_cpu,file_io,0.0025
calls_per_iter,tb_cpu,memory,0.003
calls_per_iter,tb_cpu,other,0.002
calls_per_iter,tb_cpu,sync,0.0001
calls_per_iter,tb_cuda,file_io,0.004
calls_per_iter,tb_cuda,memory,0.0055
calls_per_iter,tb_cuda,other,0.0023
calls_per_iter,tb_cuda,sync,0.0002
usec_per_iter,tb_cpu,file_io,0.0136
usec_per_iter,tb_cpu,memory,0.0209
usec_per_iter,tb_cpu,other,0.0315
usec_per_iter,tb_cpu,sync,0.0004
usec_per_iter,tb_cuda,file_io,0.0245999999999999
usec_per_iter,tb_cuda,memory,0.0419
usec_per_iter,tb_cuda,other,0.0139999999999999
usec_per_iter,tb_cuda,sync,0.001
