variant,bytes,iterations,key,calls,seconds,usec_per_byte,calls_per_byte
kernels,1000000,100000,control_io,1,1.1e-05,1.1e-05,1e-06
kernels,1000000,100000,file_io,48,0.001334,0.001334,4.8e-05
kernels,1000000,100000,memory,194,0.012708,0.012708,0.000194
kernels,1000000,100000,other,30,0.002387,0.002387,3e-05
kernels,1000000,100000,sync,10,1.509661,1.509661,1e-05
kernels,5000000,100000,control_io,1,0.000139,2.78e-05,2e-07
kernels,5000000,100000,file_io,48,0.001008,0.0002016,9.6e-06
kernels,5000000,100000,memory,194,0.009753,0.0019506,3.88e-05
kernels,5000000,100000,other,30,0.000902,0.0001804,6e-06
kernels,5000000,100000,sync,9,1.176538,0.2353076,1.8e-06
kernels,10000000,100000,control_io,1,0.0,0.0,1e-07
kernels,10000000,100000,file_io,48,0.001683,0.0001683,4.8e-06
kernels,10000000,100000,memory,194,0.020494,0.0020494,1.94e-05
kernels,10000000,100000,other,30,0.000642,6.42e-05,3e-06
kernels,10000000,100000,sync,10,1.407721,0.1407721,1e-06
