backend,variant,bytes,iterations,key,calls,seconds,usec_per_iter,calls_per_iter
tb_cpu,kernels,1000000,5000,brk,3.0,4e-06,0.0008,0.0006
tb_cpu,kernels,1000000,5000,close,4.0,1.7e-05,0.0034,0.0008
tb_cpu,kernels,1000000,5000,execve,1.0,0.0,0.0,0.0002
tb_cpu,kernels,1000000,5000,fstat,4.0,1.5e-05,0.003,0.0008
tb_cpu,kernels,1000000,5000,mmap,21.0,0.000152,0.0304,0.0042
tb_cpu,kernels,1000000,5000,mprotect,6.0,3.4e-05,0.0068,0.0012
tb_cpu,kernels,1000000,5000,newfstatat,8.0,0.0,0.0,0.0016
tb_cpu,kernels,1000000,5000,openat,15.0,5.1e-05,0.0102,0.003
tb_cpu,kernels,1000000,5000,pread64,2.0,9e-06,0.0018,0.0004
tb_cpu,kernels,1000000,5000,read,4.0,1.5e-05,0.003,0.0008
tb_cpu,kernels,2500000,5000,brk,3.0,1.1e-05,0.0022,0.0006
tb_cpu,kernels,2500000,5000,close,4.0,1.5e-05,0.003,0.0008
tb_cpu,kernels,2500000,5000,execve,1.0,0.0,0.0,0.0002
tb_cpu,kernels,2500000,5000,fstat,4.0,1.7e-05,0.0034,0.0008
tb_cpu,kernels,2500000,5000,mmap,21.0,0.000163,0.0326,0.0042
tb_cpu,kernels,2500000,5000,mprotect,6.0,4.3e-05,0.0086,0.0012
tb_cpu,kernels,2500000,5000,newfstatat,8.0,4.4e-05,0.0088,0.0016
tb_cpu,kernels,2500000,5000,openat,15.0,0.000109,0.0218,0.003
tb_cpu,kernels,2500000,5000,pread64,2.0,1e-05,0.002,0.0004
tb_cpu,kernels,2500000,5000,read,4.0,1.8e-05,0.0036,0.0008
tb_cpu,kernels,5000000,5000,brk,3.0,8e-06,0.0016,0.0006
tb_cpu,kernels,5000000,5000,close,4.0,1.3e-05,0.0026,0.0008
tb_cpu,kernels,5000000,5000,execve,1.0,0.0,0.0,0.0002
tb_cpu,kernels,5000000,5000,fstat,4.0,7e-06,0.0014,0.0008
tb_cpu,kernels,5000000,5000,mmap,21.0,7.6e-05,0.0152,0.0042
tb_cpu,kernels,5000000,5000,mprotect,6.0,4e-05,0.008,0.0012
tb_cpu,kernels,5000000,5000,newfstatat,8.0,0.0,0.0,0.0016
tb_cpu,kernels,5000000,5000,openat,15.0,2.9e-05,0.0058,0.003
tb_cpu,kernels,5000000,5000,pread64,2.0,0.0,0.0,0.0004
tb_cpu,kernels,5000000,5000,read,4.0,8e-06,0.0016,0.0008
tb_cpu,kernels,7500000,5000,brk,3.0,1.8e-05,0.0036,0.0006
tb_cpu,kernels,7500000,5000,close,4.0,1.5e-05,0.003,0.0008
tb_cpu,kernels,7500000,5000,execve,1.0,0.000279,0.0558,0.0002
tb_cpu,kernels,7500000,5000,fstat,4.0,1.8e-05,0.0036,0.0008
tb_cpu,kernels,7500000,5000,mmap,21.0,0.000184,0.0368,0.0042
tb_cpu,kernels,7500000,5000,mprotect,6.0,4.2e-05,0.0084,0.0012
tb_cpu,kernels,7500000,5000,newfstatat,8.0,5.3e-05,0.0106,0.0016
tb_cpu,kernels,7500000,5000,openat,15.0,0.000119,0.0238,0.003
tb_cpu,kernels,7500000,5000,pread64,2.0,9e-06,0.0018,0.0004
tb_cpu,kernels,7500000,5000,read,4.0,2e-05,0.004,0.0008
tb_cpu,kernels,10000000,5000,brk,3.0,0.0,0.0,0.0006
tb_cpu,kernels,10000000,5000,close,4.0,0.0,0.0,0.0008
tb_cpu,kernels,10000000,5000,execve,1.0,0.0,0.0,0.0002
tb_cpu,kernels,10000000,5000,fstat,4.0,0.0,0.0,0.0008
tb_cpu,kernels,10000000,5000,mmap,21.0,0.0,0.0,0.0042
tb_cpu,kernels,10000000,5000,mprotect,6.0,0.0,0.0,0.0012
tb_cpu,kernels,10000000,5000,newfstatat,8.0,0.0,0.0,0.0016
tb_cpu,kernels,10000000,5000,openat,15.0,0.0,0.0,0.003
tb_cpu,kernels,10000000,5000,pread64,2.0,0.0,0.0,0.0004
tb_cpu,kernels,10000000,5000,read,4.0,0.0,0.0,0.0008
