metric,axis_value,key,value
calls_per_iter,1000000,brk,0.0006
calls_per_iter,1000000,close,0.0008
calls_per_iter,1000000,execve,0.0002
calls_per_iter,1000000,fstat,0.0008
calls_per_iter,1000000,mmap,0.0042
calls_per_iter,1000000,mprotect,0.0012
calls_per_iter,1000000,newfstatat,0.0016
calls_per_iter,1000000,openat,0.003
calls_per_iter,1000000,pread64,0.0004
calls_per_iter,1000000,read,0.0008
calls_per_iter,2500000,brk,0.0006
calls_per_iter,2500000,close,0.0008
calls_per_iter,2500000,execve,0.0002
calls_per_iter,2500000,fstat,0.0008
calls_per_iter,2500000,mmap,0.0042
calls_per_iter,2500000,mprotect,0.0012
calls_per_iter,2500000,newfstatat,0.0016
calls_per_iter,2500000,openat,0.003
calls_per_iter,2500000,pread64,0.0004
calls_per_iter,2500000,read,0.0008
calls_per_iter,5000000,brk,0.0006
calls_per_iter,5000000,close,0.0008
calls_per_iter,5000000,execve,0.0002
calls_per_iter,5000000,fstat,0.0008
calls_per_iter,5000000,mmap,0.0042
calls_per_iter,5000000,mprotect,0.0012
calls_per_iter,5000000,newfstatat,0.0016
calls_per_iter,5000000,openat,0.003
calls_per_iter,5000000,pread64,0.0004
calls_per_iter,5000000,read,0.0008
calls_per_iter,7500000,brk,0.0006
calls_per_iter,7500000,close,0.0008
calls_per_iter,7500000,execve,0.0002
calls_per_iter,7500000,fstat,0.0008
calls_per_iter,7500000,mmap,0.0042
calls_per_iter,7500000,mprotect,0.0012
calls_per_iter,7500000,newfstatat,0.0016
calls_per_iter,7500000,openat,0.003
calls_per_iter,7500000,pread64,0.0004
calls_per_iter,7500000,read,0.0008
calls_per_iter,10000000,brk,0.0006
calls_per_iter,10000000,close,0.0008
calls_per_iter,10000000,execve,0.0002
calls_per_iter,10000000,fstat,0.0008
calls_per_iter,10000000,mmap,0.0042
calls_per_iter,10000000,mprotect,0.0012
calls_per_iter,10000000,newfstatat,0.0016
calls_per_iter,10000000,openat,0.003
calls_per_iter,10000000,pread64,0.0004
calls_per_iter,10000000,read,0.0008
usec_per_iter,1000000,brk,0.0008
usec_per_iter,1000000,close,0.0034
usec_per_iter,1000000,execve,0.0
usec_per_iter,1000000,fstat,0.003
usec_per_iter,1000000,mmap,0.0304
usec_per_iter,1000000,mprotect,0.0068
usec_per_iter,1000000,newfstatat,0.0
usec_per_iter,1000000,openat,0.0102
usec_per_iter,1000000,pread64,0.0018
usec_per_iter,1000000,read,0.003
usec_per_iter,2500000,brk,0.0022
usec_per_iter,2500000,close,0.003
usec_per_iter,2500000,execve,0.0
usec_per_iter,2500000,fstat,0.0034
usec_per_iter,2500000,mmap,0.0326
usec_per_iter,2500000,mprotect,0.0086
usec_per_iter,2500000,newfstatat,0.0088
usec_per_iter,2500000,openat,0.0218
usec_per_iter,2500000,pread64,0.002
usec_per_iter,2500000,read,0.0036
usec_per_iter,5000000,brk,0.0016
usec_per_iter,5000000,close,0.0026
usec_per_iter,5000000,execve,0.0
usec_per_iter,5000000,fstat,0.0014
usec_per_iter,5000000,mmap,0.0152
usec_per_iter,5000000,mprotect,0.008
usec_per_iter,5000000,newfstatat,0.0
usec_per_iter,5000000,openat,0.0058
usec_per_iter,5000000,pread64,0.0
usec_per_iter,5000000,read,0.0016
usec_per_iter,7500000,brk,0.0036
usec_per_iter,7500000,close,0.003
usec_per_iter,7500000,execve,0.0558
usec_per_iter,7500000,fstat,0.0036
usec_per_iter,7500000,mmap,0.0368
usec_per_iter,7500000,mprotect,0.0084
usec_per_iter,7500000,newfstatat,0.0106
usec_per_iter,7500000,openat,0.0238
usec_per_iter,7500000,pread64,0.0018
usec_per_iter,7500000,read,0.004
usec_per_iter,10000000,brk,0.0
usec_per_iter,10000000,close,0.0
usec_per_iter,10000000,execve,0.0
usec_per_iter,10000000,fstat,0.0
usec_per_iter,10000000,mmap,0.0
usec_per_iter,10000000,mprotect,0.0
usec_per_iter,10000000,newfstatat,0.0
usec_per_iter,10000000,openat,0.0
usec_per_iter,10000000,pread64,0.0
usec_per_iter,10000000,read,0.0
