metric,bytes,key,value
calls_per_iter,1000000,memory,0.0055
calls_per_iter,1000000,file_io,0.004
calls_per_iter,1000000,other,0.0023
calls_per_iter,1000000,sync,0.0002
calls_per_iter,2500000,memory,0.0055
calls_per_iter,2500000,file_io,0.004
calls_per_iter,2500000,other,0.0023
calls_per_iter,2500000,sync,0.0002
calls_per_iter,5000000,memory,0.0055
calls_per_iter,5000000,file_io,0.004
calls_per_iter,5000000,other,0.0023
calls_per_iter,5000000,sync,0.0002
calls_per_iter,7500000,memory,0.0055
calls_per_iter,7500000,file_io,0.004
calls_per_iter,7500000,other,0.0023
calls_per_iter,7500000,sync,0.0002
calls_per_iter,10000000,memory,0.0055
calls_per_iter,10000000,file_io,0.004
calls_per_iter,10000000,other,0.0023
calls_per_iter,10000000,sync,0.0002
usec_per_iter,1000000,memory,0.0284
usec_per_iter,1000000,file_io,0.0141
usec_per_iter,1000000,other,0.0041999999999999
usec_per_iter,1000000,sync,0.0007
usec_per_iter,2500000,memory,0.0240999999999999
usec_per_iter,2500000,file_io,0.0110999999999999
usec_per_iter,2500000,other,0.004
usec_per_iter,2500000,sync,0.0007
usec_per_iter,5000000,file_io,0.0
usec_per_iter,5000000,memory,0.0
usec_per_iter,5000000,other,0.0
usec_per_iter,5000000,sync,0.0
usec_per_iter,7500000,memory,0.0402999999999999
usec_per_iter,7500000,other,0.0372
usec_per_iter,7500000,file_io,0.0267
usec_per_iter,7500000,sync,0.0007
usec_per_iter,10000000,memory,0.0419
usec_per_iter,10000000,file_io,0.0245999999999999
usec_per_iter,10000000,other,0.0139999999999999
usec_per_iter,10000000,sync,0.001
