metric,iterations,key,value
calls_per_iter,100,memory,0.55
calls_per_iter,100,file_io,0.4
calls_per_iter,100,other,0.23
calls_per_iter,100,sync,0.02
calls_per_iter,5000,memory,0.011
calls_per_iter,5000,file_io,0.008
calls_per_iter,5000,other,0.0046
calls_per_iter,5000,sync,0.0004
calls_per_iter,10000,memory,0.0055
calls_per_iter,10000,file_io,0.004
calls_per_iter,10000,other,0.0023
calls_per_iter,10000,sync,0.0002
calls_per_iter,50000,memory,0.0011
calls_per_iter,50000,file_io,0.0008
calls_per_iter,50000,other,0.00046
calls_per_iter,50000,sync,4e-05
calls_per_iter,100000,memory,0.00055
calls_per_iter,100000,file_io,0.0004
calls_per_iter,100000,other,0.00023
calls_per_iter,100000,sync,2e-05
usec_per_iter,100,memory,1.4700000000000002
usec_per_iter,100,other,0.2599999999999999
usec_per_iter,100,file_io,0.23
usec_per_iter,100,sync,0.08
usec_per_iter,5000,memory,0.0674
usec_per_iter,5000,file_io,0.0474
usec_per_iter,5000,other,0.017
usec_per_iter,5000,sync,0.0
usec_per_iter,10000,memory,0.0419
usec_per_iter,10000,file_io,0.0245999999999999
usec_per_iter,10000,other,0.0139999999999999
usec_per_iter,10000,sync,0.001
usec_per_iter,50000,file_io,0.0
usec_per_iter,50000,memory,0.0
usec_per_iter,50000,other,0.0
usec_per_iter,50000,sync,0.0
usec_per_iter,100000,other,0.00359
usec_per_iter,100000,memory,0.0031
usec_per_iter,100000,file_io,0.0025099999999999
usec_per_iter,100000,sync,0.0
