metric,axis_value,key,value
calls_per_iter,100,arch_prctl,0.01
calls_per_iter,100,brk,0.03
calls_per_iter,100,close,0.08
calls_per_iter,100,fstat,0.08
calls_per_iter,100,futex,0.02
calls_per_iter,100,getrandom,0.01
calls_per_iter,100,mmap,0.39
calls_per_iter,100,mprotect,0.11
calls_per_iter,100,newfstatat,0.07
calls_per_iter,100,openat,0.22
calls_per_iter,100,prlimit64,0.01
calls_per_iter,100,read,0.08
calls_per_iter,100,rseq,0.01
calls_per_iter,100,set_robust_list,0.01
calls_per_iter,100,set_tid_address,0.01
calls_per_iter,5000,arch_prctl,0.0002
calls_per_iter,5000,brk,0.0006
calls_per_iter,5000,close,0.0016
calls_per_iter,5000,fstat,0.0016
calls_per_iter,5000,futex,0.0004
calls_per_iter,5000,getrandom,0.0002
calls_per_iter,5000,mmap,0.0078
calls_per_iter,5000,mprotect,0.0022
calls_per_iter,5000,newfstatat,0.0014
calls_per_iter,5000,openat,0.0044
calls_per_iter,5000,prlimit64,0.0002
calls_per_iter,5000,read,0.0016
calls_per_iter,5000,rseq,0.0002
calls_per_iter,5000,set_robust_list,0.0002
calls_per_iter,5000,set_tid_address,0.0002
calls_per_iter,10000,arch_prctl,0.0001
calls_per_iter,10000,brk,0.0003
calls_per_iter,10000,close,0.0008
calls_per_iter,10000,fstat,0.0008
calls_per_iter,10000,futex,0.0002
calls_per_iter,10000,getrandom,0.0001
calls_per_iter,10000,mmap,0.0039
calls_per_iter,10000,mprotect,0.0011
calls_per_iter,10000,newfstatat,0.0007
calls_per_iter,10000,openat,0.0022
calls_per_iter,10000,prlimit64,0.0001
calls_per_iter,10000,read,0.0008
calls_per_iter,10000,rseq,0.0001
calls_per_iter,10000,set_robust_list,0.0001
calls_per_iter,10000,set_tid_address,0.0001
calls_per_iter,50000,arch_prctl,2e-05
calls_per_iter,50000,brk,6e-05
calls_per_iter,50000,close,0.00016
calls_per_iter,50000,fstat,0.00016
calls_per_iter,50000,futex,4e-05
calls_per_iter,50000,getrandom,2e-05
calls_per_iter,50000,mmap,0.00078
calls_per_iter,50000,mprotect,0.00022
calls_per_iter,50000,newfstatat,0.00014
calls_per_iter,50000,openat,0.00044
calls_per_iter,50000,prlimit64,2e-05
calls_per_iter,50000,read,0.00016
calls_per_iter,50000,rseq,2e-05
calls_per_iter,50000,set_robust_list,2e-05
calls_per_iter,50000,set_tid_address,2e-05
calls_per_iter,100000,arch_prctl,1e-05
calls_per_iter,100000,brk,3e-05
calls_per_iter,100000,close,8e-05
calls_per_iter,100000,fstat,8e-05
calls_per_iter,100000,futex,2e-05
calls_per_iter,100000,getrandom,1e-05
calls_per_iter,100000,mmap,0.00039
calls_per_iter,100000,mprotect,0.00011
calls_per_iter,100000,newfstatat,7e-05
calls_per_iter,100000,openat,0.00022
calls_per_iter,100000,prlimit64,1e-05
calls_per_iter,100000,read,8e-05
calls_per_iter,100000,rseq,1e-05
calls_per_iter,100000,set_robust_list,1e-05
calls_per_iter,100000,set_tid_address,1e-05
usec_per_iter,100,arch_prctl,0.03
usec_per_iter,100,brk,0.08
usec_per_iter,100,close,0.06
usec_per_iter,100,fstat,0.04
usec_per_iter,100,futex,0.08
usec_per_iter,100,getrandom,0.05
usec_per_iter,100,mmap,0.72
usec_per_iter,100,mprotect,0.67
usec_per_iter,100,newfstatat,0.0
usec_per_iter,100,openat,0.13
usec_per_iter,100,prlimit64,0.04
usec_per_iter,100,read,0.04
usec_per_iter,100,rseq,0.03
usec_per_iter,100,set_robust_list,0.03
usec_per_iter,100,set_tid_address,0.04
usec_per_iter,5000,arch_prctl,0.0006
usec_per_iter,5000,brk,0.0
usec_per_iter,5000,close,0.0054
usec_per_iter,5000,fstat,0.006
usec_per_iter,5000,futex,0.0
usec_per_iter,5000,getrandom,0.0
usec_per_iter,5000,mmap,0.0568
usec_per_iter,5000,mprotect,0.0086
usec_per_iter,5000,newfstatat,0.0074
usec_per_iter,5000,openat,0.0346
usec_per_iter,5000,prlimit64,0.0
usec_per_iter,5000,read,0.0062
usec_per_iter,5000,rseq,0.0006
usec_per_iter,5000,set_robust_list,0.0006
usec_per_iter,5000,set_tid_address,0.0006
usec_per_iter,10000,arch_prctl,0.0004
usec_per_iter,10000,brk,0.0015
usec_per_iter,10000,close,0.0029
usec_per_iter,10000,fstat,0.0031
usec_per_iter,10000,futex,0.001
usec_per_iter,10000,getrandom,0.0005
usec_per_iter,10000,mmap,0.0294
usec_per_iter,10000,mprotect,0.01
usec_per_iter,10000,newfstatat,0.0039
usec_per_iter,10000,openat,0.0177
usec_per_iter,10000,prlimit64,0.0005
usec_per_iter,10000,read,0.0032
usec_per_iter,10000,rseq,0.0003
usec_per_iter,10000,set_robust_list,0.0004
usec_per_iter,10000,set_tid_address,0.0003
usec_per_iter,50000,arch_prctl,0.0
usec_per_iter,50000,brk,0.0
usec_per_iter,50000,close,0.0
usec_per_iter,50000,fstat,0.0
usec_per_iter,50000,futex,0.0
usec_per_iter,50000,getrandom,0.0
usec_per_iter,50000,mmap,0.0
usec_per_iter,50000,mprotect,0.0
usec_per_iter,50000,newfstatat,0.0
usec_per_iter,50000,openat,0.0
usec_per_iter,50000,prlimit64,0.0
usec_per_iter,50000,read,0.0
usec_per_iter,50000,rseq,0.0
usec_per_iter,50000,set_robust_list,0.0
usec_per_iter,50000,set_tid_address,0.0
usec_per_iter,100000,arch_prctl,3e-05
usec_per_iter,100000,brk,6e-05
usec_per_iter,100000,close,0.0003
usec_per_iter,100000,fstat,0.00031
usec_per_iter,100000,futex,0.0
usec_per_iter,100000,getrandom,0.0
usec_per_iter,100000,mmap,0.00282
usec_per_iter,100000,mprotect,8e-05
usec_per_iter,100000,newfstatat,0.00046
usec_per_iter,100000,openat,0.00181
usec_per_iter,100000,prlimit64,0.0
usec_per_iter,100000,read,0.00033
usec_per_iter,100000,rseq,3e-05
usec_per_iter,100000,set_robust_list,3e-05
usec_per_iter,100000,set_tid_address,3e-05
