backend,variant,bytes,iterations,key,calls,seconds,usec_per_iter,calls_per_iter
tb_cuda,alloc,10000000,10000,control_io,11.0,0.000551,0.0551,0.0011
tb_cuda,alloc,10000000,10000,file_io,141.0,0.000823,0.0823,0.0141
tb_cuda,alloc,10000000,10000,memory,113.0,0.000861,0.0861,0.0113
tb_cuda,alloc,10000000,10000,other,4.0,1.5e-05,0.0014999999999999,0.0004
tb_cuda,alloc,10000000,10000,sync,4.0,1.5e-05,0.0014999999999999,0.0004
tb_cuda,baseline,10000000,10000,control_io,11.0,0.000287,0.0287,0.0011
tb_cuda,baseline,10000000,10000,file_io,141.0,0.0005319999999999,0.0531999999999999,0.0141
tb_cuda,baseline,10000000,10000,memory,113.0,0.000762,0.0762,0.0113
tb_cuda,baseline,10000000,10000,other,4.0,1.6e-05,0.0016,0.0004
tb_cuda,baseline,10000000,10000,sync,4.0,1e-05,0.001,0.0004
tb_cuda,kernels,10000000,10000,control_io,11.0,0.000321,0.0321,0.0011
tb_cuda,kernels,10000000,10000,file_io,141.0,0.000499,0.0499,0.0141
tb_cuda,kernels,10000000,10000,memory,113.0,0.000473,0.0473,0.0113
tb_cuda,kernels,10000000,10000,other,4.0,7e-06,0.0007,0.0004
tb_cuda,kernels,10000000,10000,sync,4.0,1.7e-05,0.0017,0.0004
