metric,variant,key,value
calls_per_iter,alloc,file_io,0.0141
calls_per_iter,alloc,memory,0.0113
calls_per_iter,alloc,control_io,0.0011
calls_per_iter,alloc,other,0.0004
calls_per_iter,alloc,sync,0.0004
calls_per_iter,baseline,file_io,0.0141
calls_per_iter,baseline,memory,0.0113
calls_per_iter,baseline,control_io,0.0011
calls_per_iter,baseline,other,0.0004
calls_per_iter,baseline,sync,0.0004
calls_per_iter,kernels,file_io,0.0141
calls_per_iter,kernels,memory,0.0113
calls_per_iter,kernels,control_io,0.0011
calls_per_iter,kernels,other,0.0004
calls_per_iter,kernels,sync,0.0004
usec_per_iter,alloc,memory,0.0861
usec_per_iter,alloc,file_io,0.0823
usec_per_iter,alloc,control_io,0.0551
usec_per_iter,alloc,other,0.0014999999999999
usec_per_iter,alloc,sync,0.0014999999999999
usec_per_iter,baseline,memory,0.0762
usec_per_iter,baseline,file_io,0.0531999999999999
usec_per_iter,baseline,control_io,0.0287
usec_per_iter,baseline,other,0.0016
usec_per_iter,baseline,sync,0.001
usec_per_iter,kernels,file_io,0.0499
usec_per_iter,kernels,memory,0.0473
usec_per_iter,kernels,control_io,0.0321
usec_per_iter,kernels,sync,0.0017
usec_per_iter,kernels,other,0.0007
