metric,variant,key,value
calls_per_iter,alloc,sync,1.00026
calls_per_iter,alloc,memory,0.00045
calls_per_iter,alloc,other,0.00018
calls_per_iter,alloc,file_io,0.00017
calls_per_iter,alloc,control_io,1e-05
calls_per_iter,baseline,memory,0.00046
calls_per_iter,baseline,other,0.00018
calls_per_iter,baseline,file_io,0.00017
calls_per_iter,baseline,sync,4e-05
calls_per_iter,baseline,control_io,1e-05
calls_per_iter,kernels,memory,0.00388
calls_per_iter,kernels,file_io,0.00096
calls_per_iter,kernels,other,0.0006
calls_per_iter,kernels,sync,0.00021
calls_per_iter,kernels,control_io,2e-05
usec_per_iter,alloc,sync,239.73847
usec_per_iter,alloc,memory,0.17591
usec_per_iter,alloc,other,0.00429
usec_per_iter,alloc,control_io,0.00161
usec_per_iter,alloc,file_io,0.00036
usec_per_iter,baseline,memory,0.11407
usec_per_iter,baseline,other,0.0121799999999999
usec_per_iter,baseline,file_io,0.006
usec_per_iter,baseline,sync,0.00382
usec_per_iter,baseline,control_io,0.00099
usec_per_iter,kernels,sync,25.17502
usec_per_iter,kernels,memory,0.3274500000000001
usec_per_iter,kernels,file_io,0.03129
usec_per_iter,kernels,other,0.01278
usec_per_iter,kernels,control_io,1e-05
