backend,variant,bytes,iterations,key,calls_mean,seconds_mean,pct_time_mean,calls_per_iter,usec_per_iter,usec_per_call,calls_per_byte,usec_per_byte
tb_cpu,alloc,1000000,100,access,1.0,0.0,0.0,0.01,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,100,arch_prctl,1.0,0.0,0.0,0.01,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,100,brk,3.0,1e-05,16.67,0.03,0.1,3.3333333333333335,3e-06,1e-05
tb_cpu,alloc,1000000,100,close,4.0,0.0,0.0,0.04,0.0,0.0,4e-06,0.0
tb_cpu,alloc,1000000,100,execve,1.0,0.0,0.0,0.01,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,100,fstat,4.0,0.0,0.0,0.04,0.0,0.0,4e-06,0.0
tb_cpu,alloc,1000000,100,futex,1.0,5e-06,8.33,0.01,0.05,5.0,1e-06,5e-06
tb_cpu,alloc,1000000,100,getrandom,1.0,5e-06,8.33,0.01,0.05,5.0,1e-06,5e-06
tb_cpu,alloc,1000000,100,mmap,21.0,0.0,0.0,0.21,0.0,0.0,2.1e-05,0.0
tb_cpu,alloc,1000000,100,mprotect,6.0,3.6e-05,60.0,0.06,0.36,6.0,6e-06,3.6e-05
tb_cpu,alloc,1000000,100,newfstatat,8.0,0.0,0.0,0.08,0.0,0.0,8e-06,0.0
tb_cpu,alloc,1000000,100,openat,15.0,0.0,0.0,0.15,0.0,0.0,1.5e-05,0.0
tb_cpu,alloc,1000000,100,pread64,2.0,0.0,0.0,0.02,0.0,0.0,2e-06,0.0
tb_cpu,alloc,1000000,100,prlimit64,1.0,4e-06,6.67,0.01,0.04,4.0,1e-06,4e-06
tb_cpu,alloc,1000000,100,read,4.0,0.0,0.0,0.04,0.0,0.0,4e-06,0.0
tb_cpu,alloc,1000000,100,rseq,1.0,0.0,0.0,0.01,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,100,set_robust_list,1.0,0.0,0.0,0.01,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,100,set_tid_address,1.0,0.0,0.0,0.01,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,5000,access,1.0,0.0,0.0,0.0002,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,5000,arch_prctl,1.0,4e-06,0.93,0.0002,0.0008,4.0,1e-06,4e-06
tb_cpu,alloc,1000000,5000,brk,3.0,1.2e-05,2.78,0.0006,0.0024,4.0,3e-06,1.2e-05
tb_cpu,alloc,1000000,5000,close,4.0,1.7e-05,3.94,0.0008,0.0034,4.25,4e-06,1.7e-05
tb_cpu,alloc,1000000,5000,execve,1.0,0.0,0.0,0.0002,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,5000,fstat,4.0,1.7e-05,3.94,0.0008,0.0034,4.25,4e-06,1.7e-05
tb_cpu,alloc,1000000,5000,futex,1.0,5e-06,1.16,0.0002,0.001,5.0,1e-06,5e-06
tb_cpu,alloc,1000000,5000,getrandom,1.0,5e-06,1.16,0.0002,0.001,5.0,1e-06,5e-06
tb_cpu,alloc,1000000,5000,mmap,21.0,0.000178,41.2,0.0042,0.0356,8.476190476190476,2.1e-05,0.000178
tb_cpu,alloc,1000000,5000,mprotect,6.0,5.1e-05,11.81,0.0012,0.0102,8.5,6e-06,5.1e-05
tb_cpu,alloc,1000000,5000,newfstatat,8.0,1.7e-05,3.94,0.0016,0.0034,2.125,8e-06,1.7e-05
tb_cpu,alloc,1000000,5000,openat,15.0,7.9e-05,18.29,0.003,0.0158,5.266666666666667,1.5e-05,7.9e-05
tb_cpu,alloc,1000000,5000,pread64,2.0,1e-05,2.31,0.0004,0.002,5.0,2e-06,1e-05
tb_cpu,alloc,1000000,5000,prlimit64,1.0,4e-06,0.93,0.0002,0.0008,4.0,1e-06,4e-06
tb_cpu,alloc,1000000,5000,read,4.0,2.1e-05,4.86,0.0008,0.0042,5.25,4e-06,2.1e-05
tb_cpu,alloc,1000000,5000,rseq,1.0,4e-06,0.93,0.0002,0.0008,4.0,1e-06,4e-06
tb_cpu,alloc,1000000,5000,set_robust_list,1.0,4e-06,0.93,0.0002,0.0008,4.0,1e-06,4e-06
tb_cpu,alloc,1000000,5000,set_tid_address,1.0,4e-06,0.93,0.0002,0.0008,4.0,1e-06,4e-06
tb_cpu,alloc,1000000,10000,access,1.0,0.0,0.0,0.0001,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,10000,arch_prctl,1.0,0.0,0.0,0.0001,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,10000,brk,3.0,0.0,0.0,0.0003,0.0,0.0,3e-06,0.0
tb_cpu,alloc,1000000,10000,close,4.0,0.0,0.0,0.0004,0.0,0.0,4e-06,0.0
tb_cpu,alloc,1000000,10000,execve,1.0,0.0,0.0,0.0001,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,10000,fstat,4.0,0.0,0.0,0.0004,0.0,0.0,4e-06,0.0
tb_cpu,alloc,1000000,10000,futex,1.0,0.0,0.0,0.0001,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,10000,getrandom,1.0,0.0,0.0,0.0001,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,10000,mmap,21.0,0.0,0.0,0.0021,0.0,0.0,2.1e-05,0.0
tb_cpu,alloc,1000000,10000,mprotect,6.0,0.0,0.0,0.0006,0.0,0.0,6e-06,0.0
tb_cpu,alloc,1000000,10000,newfstatat,8.0,0.0,0.0,0.0008,0.0,0.0,8e-06,0.0
tb_cpu,alloc,1000000,10000,openat,15.0,0.0,0.0,0.0015,0.0,0.0,1.5e-05,0.0
tb_cpu,alloc,1000000,10000,pread64,2.0,0.0,0.0,0.0002,0.0,0.0,2e-06,0.0
tb_cpu,alloc,1000000,10000,prlimit64,1.0,0.0,0.0,0.0001,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,10000,read,4.0,0.0,0.0,0.0004,0.0,0.0,4e-06,0.0
tb_cpu,alloc,1000000,10000,rseq,1.0,0.0,0.0,0.0001,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,10000,set_robust_list,1.0,0.0,0.0,0.0001,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,10000,set_tid_address,1.0,0.0,0.0,0.0001,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,50000,access,1.0,6e-06,0.9,2e-05,0.00012,6.0,1e-06,6e-06
tb_cpu,alloc,1000000,50000,arch_prctl,1.0,4e-06,0.6,2e-05,8e-05,4.0,1e-06,4e-06
tb_cpu,alloc,1000000,50000,brk,3.0,4e-06,0.6,6e-05,8e-05,1.3333333333333333,3e-06,4e-06
tb_cpu,alloc,1000000,50000,close,4.0,1.6e-05,2.4,8e-05,0.00032,4.0,4e-06,1.6e-05
tb_cpu,alloc,1000000,50000,execve,1.0,0.000256,38.32,2e-05,0.00512,256.0,1e-06,0.000256
tb_cpu,alloc,1000000,50000,fstat,4.0,1.7e-05,2.54,8e-05,0.00034,4.25,4e-06,1.7e-05
tb_cpu,alloc,1000000,50000,futex,1.0,0.0,0.0,2e-05,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,50000,getrandom,1.0,0.0,0.0,2e-05,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,50000,mmap,21.0,0.000173,25.9,0.00042,0.00346,8.238095238095237,2.1e-05,0.000173
tb_cpu,alloc,1000000,50000,mprotect,6.0,0.0,0.0,0.00012,0.0,0.0,6e-06,0.0
tb_cpu,alloc,1000000,50000,newfstatat,8.0,4.7e-05,7.04,0.00016,0.00094,5.875,8e-06,4.7e-05
tb_cpu,alloc,1000000,50000,openat,15.0,0.000107,16.02,0.0003,0.00214,7.133333333333334,1.5e-05,0.000107
tb_cpu,alloc,1000000,50000,pread64,2.0,8e-06,1.2,4e-05,0.00016,4.0,2e-06,8e-06
tb_cpu,alloc,1000000,50000,prlimit64,1.0,0.0,0.0,2e-05,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,50000,read,4.0,1.9e-05,2.84,8e-05,0.00038,4.75,4e-06,1.9e-05
tb_cpu,alloc,1000000,50000,rseq,1.0,3e-06,0.45,2e-05,6e-05,3.0,1e-06,3e-06
tb_cpu,alloc,1000000,50000,set_robust_list,1.0,4e-06,0.6,2e-05,8e-05,4.0,1e-06,4e-06
tb_cpu,alloc,1000000,50000,set_tid_address,1.0,4e-06,0.6,2e-05,8e-05,4.0,1e-06,4e-06
tb_cpu,alloc,1000000,100000,access,1.0,0.0,0.0,1e-05,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,100000,arch_prctl,1.0,3e-06,0.92,1e-05,3e-05,3.0,1e-06,3e-06
tb_cpu,alloc,1000000,100000,brk,3.0,9e-06,2.75,3e-05,9e-05,3.0,3e-06,9e-06
tb_cpu,alloc,1000000,100000,close,4.0,1.6e-05,4.89,4e-05,0.00016,4.0,4e-06,1.6e-05
tb_cpu,alloc,1000000,100000,execve,1.0,0.0,0.0,1e-05,0.0,0.0,1e-06,0.0
tb_cpu,alloc,1000000,100000,fstat,4.0,1.2e-05,3.67,4e-05,0.00012,3.0,4e-06,1.2e-05
tb_cpu,alloc,1000000,100000,futex,1.0,4e-06,1.22,1e-05,4e-05,4.0,1e-06,4e-06
tb_cpu,alloc,1000000,100000,getrandom,1.0,4e-06,1.22,1e-05,4e-05,4.0,1e-06,4e-06
tb_cpu,alloc,1000000,100000,mmap,21.0,0.000165,50.46,0.00021,0.00165,7.857142857142857,2.1e-05,0.000165
tb_cpu,alloc,1000000,100000,mprotect,6.0,4e-05,12.23,6e-05,0.0004,6.666666666666667,6e-06,4e-05
tb_cpu,alloc,1000000,100000,newfstatat,8.0,0.0,0.0,8e-05,0.0,0.0,8e-06,0.0
tb_cpu,alloc,1000000,100000,openat,15.0,4.1e-05,12.54,0.00015,0.00041,2.7333333333333334,1.5e-05,4.1e-05
tb_cpu,alloc,1000000,100000,pread64,2.0,8e-06,2.45,2e-05,8e-05,4.0,2e-06,8e-06
tb_cpu,alloc,1000000,100000,prlimit64,1.0,3e-06,0.92,1e-05,3e-05,3.0,1e-06,3e-06
tb_cpu,alloc,1000000,100000,read,4.0,1.2e-05,3.67,4e-05,0.00012,3.0,4e-06,1.2e-05
tb_cpu,alloc,1000000,100000,rseq,1.0,3e-06,0.92,1e-05,3e-05,3.0,1e-06,3e-06
