backend,variant,key,E_iters_mean,E_bytes_mean,class
tb_cpu,alloc,file_io,-1.3636415733997331,0.3516546926483307,mixed
tb_cpu,alloc,memory,-1.6005492556740764,0.5685244788982858,mixed
tb_cpu,alloc,other,-2.8934109258163847,1.1150453778500802,mixed
tb_cpu,alloc,sync,-1.0595823072202672,-0.1858309835500801,mixed
tb_cpu,baseline,file_io,-0.3719992949148856,-0.15291915031988051,mixed
tb_cpu,baseline,memory,-1.1251616607489467,0.36776124642489205,mixed
tb_cpu,baseline,other,-1.1269787231181914,-0.9795602720205636,mixed
tb_cpu,baseline,sync,-0.7543448019445972,0.28571428571428564,mixed
tb_cpu,kernels,file_io,-1.1952286603123414,-0.6186349343323567,mixed
tb_cpu,kernels,memory,-1.2840931047064403,-0.1418107170275514,mixed
tb_cpu,kernels,other,-1.4690349021760158,0.12505134028391723,mixed
tb_cpu,kernels,sync,-1.0038886072372648,0.00782658433576186,mixed
tb_cuda,alloc,file_io,-1.0467646342665284,-0.9263762407114986,mixed
tb_cuda,alloc,memory,-1.0007320170079692,-0.7903647281238019,mixed
tb_cuda,alloc,other,-1.114753289662149,-0.24271513783102097,mixed
tb_cuda,alloc,sync,-0.9201349844043647,-0.1546238256906891,mixed
tb_cuda,baseline,file_io,-1.1160038321346897,0.30879433521065025,mixed
tb_cuda,baseline,memory,-1.027780893390782,0.2495830419720205,mixed
tb_cuda,baseline,other,-0.7354790522719284,1.41606706042954,mixed
tb_cuda,baseline,sync,-1.1658209728019724,-0.1703592558912318,mixed
tb_cuda,kernels,file_io,-1.0933850461261265,0.7563162465446907,mixed
tb_cuda,kernels,memory,-1.0923754961288288,0.8854513252796897,mixed
tb_cuda,kernels,other,-0.9908005557622733,1.3417874053268466,mixed
tb_cuda,kernels,sync,-0.9732722999818095,-0.16619180738866618,mixed
