backend,variant,key,iterations,vary_x1,vary_x2,metric,y1,y2,elasticity
tb_cpu,alloc,file_io,100,1000000,2500000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,file_io,100,2500000,5000000,usec_per_iter,0.0,1.64,nan
tb_cpu,alloc,file_io,100,5000000,7500000,usec_per_iter,1.64,0.0,nan
tb_cpu,alloc,file_io,100,7500000,10000000,usec_per_iter,0.0,1.6400000000000003,nan
tb_cpu,alloc,memory,100,1000000,2500000,usec_per_iter,0.46,0.0,nan
tb_cpu,alloc,memory,100,2500000,5000000,usec_per_iter,0.0,2.05,nan
tb_cpu,alloc,memory,100,5000000,7500000,usec_per_iter,2.05,0.0,nan
tb_cpu,alloc,memory,100,7500000,10000000,usec_per_iter,0.0,2.39,nan
tb_cpu,alloc,other,100,1000000,2500000,usec_per_iter,0.09,0.0,nan
tb_cpu,alloc,other,100,2500000,5000000,usec_per_iter,0.0,3.7400000000000007,nan
tb_cpu,alloc,other,100,5000000,7500000,usec_per_iter,3.7400000000000007,0.0,nan
tb_cpu,alloc,other,100,7500000,10000000,usec_per_iter,0.0,0.92,nan
tb_cpu,alloc,sync,100,1000000,2500000,usec_per_iter,0.05,0.0,nan
tb_cpu,alloc,sync,100,2500000,5000000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,sync,100,5000000,7500000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,sync,100,7500000,10000000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,file_io,5000,1000000,2500000,usec_per_iter,0.0254,0.0,nan
tb_cpu,alloc,file_io,5000,2500000,5000000,usec_per_iter,0.0,0.03,nan
tb_cpu,alloc,file_io,5000,5000000,7500000,usec_per_iter,0.03,0.0322,0.17453800456074875
tb_cpu,alloc,file_io,5000,7500000,10000000,usec_per_iter,0.0322,0.0,nan
tb_cpu,alloc,memory,5000,1000000,2500000,usec_per_iter,0.04819999999999999,0.011999999999999999,-1.5174794668331537
tb_cpu,alloc,memory,5000,2500000,5000000,usec_per_iter,0.011999999999999999,0.041600000000000005,1.7935491225325737
tb_cpu,alloc,memory,5000,5000000,7500000,usec_per_iter,0.041600000000000005,0.04340000000000001,0.1044708237332271
tb_cpu,alloc,memory,5000,7500000,10000000,usec_per_iter,0.04340000000000001,0.0,nan
tb_cpu,alloc,other,5000,1000000,2500000,usec_per_iter,0.011800000000000003,0.0018,-2.052091984738905
tb_cpu,alloc,other,5000,2500000,5000000,usec_per_iter,0.0018,0.0698,5.277158224767339
tb_cpu,alloc,other,5000,5000000,7500000,usec_per_iter,0.0698,0.0698,0.0
tb_cpu,alloc,other,5000,7500000,10000000,usec_per_iter,0.0698,0.0,nan
tb_cpu,alloc,sync,5000,1000000,2500000,usec_per_iter,0.001,0.0008,-0.24352920263396968
tb_cpu,alloc,sync,5000,2500000,5000000,usec_per_iter,0.0008,0.0008,0.0
tb_cpu,alloc,sync,5000,5000000,7500000,usec_per_iter,0.0008,0.0,nan
tb_cpu,alloc,sync,5000,7500000,10000000,usec_per_iter,0.0,0.0,nan
