backend,variant,key,iterations,vary_x1,vary_x2,metric,y1,y2,elasticity
tb_cpu,alloc,access,100,1000000,2500000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,access,100,2500000,5000000,usec_per_iter,0.0,0.14,nan
tb_cpu,alloc,access,100,5000000,7500000,usec_per_iter,0.14,0.0,nan
tb_cpu,alloc,access,100,7500000,10000000,usec_per_iter,0.0,0.07,nan
tb_cpu,alloc,arch_prctl,100,1000000,2500000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,arch_prctl,100,2500000,5000000,usec_per_iter,0.0,0.04,nan
tb_cpu,alloc,arch_prctl,100,5000000,7500000,usec_per_iter,0.04,0.0,nan
tb_cpu,alloc,arch_prctl,100,7500000,10000000,usec_per_iter,0.0,0.04,nan
tb_cpu,alloc,brk,100,1000000,2500000,usec_per_iter,0.1,0.0,nan
tb_cpu,alloc,brk,100,2500000,5000000,usec_per_iter,0.0,0.06,nan
tb_cpu,alloc,brk,100,5000000,7500000,usec_per_iter,0.06,0.0,nan
tb_cpu,alloc,brk,100,7500000,10000000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,close,100,1000000,2500000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,close,100,2500000,5000000,usec_per_iter,0.0,0.15,nan
tb_cpu,alloc,close,100,5000000,7500000,usec_per_iter,0.15,0.0,nan
tb_cpu,alloc,close,100,7500000,10000000,usec_per_iter,0.0,0.15,nan
tb_cpu,alloc,execve,100,1000000,2500000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,execve,100,2500000,5000000,usec_per_iter,0.0,2.62,nan
tb_cpu,alloc,execve,100,5000000,7500000,usec_per_iter,2.62,0.0,nan
tb_cpu,alloc,execve,100,7500000,10000000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,fstat,100,1000000,2500000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,fstat,100,2500000,5000000,usec_per_iter,0.0,0.17,nan
tb_cpu,alloc,fstat,100,5000000,7500000,usec_per_iter,0.17,0.0,nan
tb_cpu,alloc,fstat,100,7500000,10000000,usec_per_iter,0.0,0.17,nan
tb_cpu,alloc,futex,100,1000000,2500000,usec_per_iter,0.05,0.0,nan
tb_cpu,alloc,futex,100,2500000,5000000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,futex,100,5000000,7500000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,futex,100,7500000,10000000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,getrandom,100,1000000,2500000,usec_per_iter,0.05,0.0,nan
tb_cpu,alloc,getrandom,100,2500000,5000000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,getrandom,100,5000000,7500000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,getrandom,100,7500000,10000000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,mmap,100,1000000,2500000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,mmap,100,2500000,5000000,usec_per_iter,0.0,1.77,nan
tb_cpu,alloc,mmap,100,5000000,7500000,usec_per_iter,1.77,0.0,nan
tb_cpu,alloc,mmap,100,7500000,10000000,usec_per_iter,0.0,2.19,nan
tb_cpu,alloc,mprotect,100,1000000,2500000,usec_per_iter,0.36,0.0,nan
tb_cpu,alloc,mprotect,100,2500000,5000000,usec_per_iter,0.0,0.22,nan
tb_cpu,alloc,mprotect,100,5000000,7500000,usec_per_iter,0.22,0.0,nan
