backend,variant,key,bytes,vary_x1,vary_x2,metric,y1,y2,elasticity
tb_cpu,alloc,control_io,1000000,100,5000,usec_per_iter,0.09,0.0034,-0.837427140423886
tb_cpu,alloc,control_io,1000000,5000,10000,usec_per_iter,0.0034,0.0,nan
tb_cpu,alloc,control_io,1000000,10000,50000,usec_per_iter,0.0,0.005279999999999999,nan
tb_cpu,alloc,control_io,1000000,50000,100000,usec_per_iter,0.005279999999999999,0.00014,-5.237039197300848
tb_cpu,alloc,file_io,1000000,100,5000,usec_per_iter,0.0,0.0322,nan
tb_cpu,alloc,file_io,1000000,5000,10000,usec_per_iter,0.0322,0.0,nan
tb_cpu,alloc,file_io,1000000,10000,50000,usec_per_iter,0.0,0.0044,nan
tb_cpu,alloc,file_io,1000000,50000,100000,usec_per_iter,0.0044,0.00089,-2.3056262825582627
tb_cpu,alloc,memory,1000000,100,5000,usec_per_iter,0.46,0.04819999999999999,-0.5766498472264725
tb_cpu,alloc,memory,1000000,5000,10000,usec_per_iter,0.04819999999999999,0.0,nan
tb_cpu,alloc,memory,1000000,10000,50000,usec_per_iter,0.0,0.00354,nan
tb_cpu,alloc,memory,1000000,50000,100000,usec_per_iter,0.00354,0.00214,-0.7261385636818505
tb_cpu,alloc,other,1000000,100,5000,usec_per_iter,0.0,0.0016,nan
tb_cpu,alloc,other,1000000,5000,10000,usec_per_iter,0.0016,0.0,nan
tb_cpu,alloc,other,1000000,10000,50000,usec_per_iter,0.0,0.00014,nan
tb_cpu,alloc,other,1000000,50000,100000,usec_per_iter,0.00014,6e-05,-1.2223924213364488
tb_cpu,alloc,sync,1000000,100,5000,usec_per_iter,0.05,0.001,-0.9999999999999999
tb_cpu,alloc,sync,1000000,5000,10000,usec_per_iter,0.001,0.0,nan
tb_cpu,alloc,sync,1000000,10000,50000,usec_per_iter,0.0,0.0,nan
tb_cpu,alloc,sync,1000000,50000,100000,usec_per_iter,0.0,4e-05,nan
tb_cpu,alloc,control_io,5000000,100,5000,usec_per_iter,2.6900000000000004,0.053,-1.0038296179738282
tb_cpu,alloc,control_io,5000000,5000,10000,usec_per_iter,0.053,0.0014,-5.242493627392956
tb_cpu,alloc,control_io,5000000,10000,50000,usec_per_iter,0.0014,0.005679999999999999,0.8701665254012656
tb_cpu,alloc,control_io,5000000,50000,100000,usec_per_iter,0.005679999999999999,4e-05,-7.149747119504681
tb_cpu,alloc,file_io,5000000,100,5000,usec_per_iter,2.63,0.0456,-1.036505000871715
tb_cpu,alloc,file_io,5000000,5000,10000,usec_per_iter,0.0456,0.0095,-2.2630344058337934
tb_cpu,alloc,file_io,5000000,10000,50000,usec_per_iter,0.0095,0.00446,-0.4698180816623975
tb_cpu,alloc,file_io,5000000,50000,100000,usec_per_iter,0.00446,0.0,nan
tb_cpu,alloc,memory,5000000,100,5000,usec_per_iter,2.05,0.041600000000000005,-0.9962862947015516
tb_cpu,alloc,memory,5000000,5000,10000,usec_per_iter,0.041600000000000005,0.019999999999999997,-1.0565835283663678
tb_cpu,alloc,memory,5000000,10000,50000,usec_per_iter,0.019999999999999997,0.00432,-0.9521814165420442
tb_cpu,alloc,memory,5000000,50000,100000,usec_per_iter,0.00432,0.00011,-5.295455883526171
tb_cpu,alloc,other,5000000,100,5000,usec_per_iter,0.06,0.0012,-1.0
tb_cpu,alloc,other,5000000,5000,10000,usec_per_iter,0.0012,0.0007,-0.7776075786635512
tb_cpu,alloc,other,5000000,10000,50000,usec_per_iter,0.0007,0.00014,-1.0000000000000004
tb_cpu,alloc,other,5000000,50000,100000,usec_per_iter,0.00014,0.0,nan
tb_cpu,alloc,sync,5000000,100,5000,usec_per_iter,0.0,0.0008,nan
tb_cpu,alloc,sync,5000000,5000,10000,usec_per_iter,0.0008,0.0004,-1.0
