% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 85.73    0.035947        3994         9           futex
  2.35    0.000985          54        18         5 openat
  2.24    0.000940          26        35           mmap
  2.12    0.000890          63        14           brk
  1.57    0.000658          38        17           munmap
  1.10    0.000462         154         3           rt_sigprocmask
  1.07    0.000448          37        12           read
  0.93    0.000392          28        14           mprotect
  0.63    0.000264          18        14           fstat
  0.59    0.000246          18        13           close
  0.45    0.000187         187         1           clone3
  0.29    0.000121          30         4           newfstatat
  0.15    0.000062          62         1           sched_yield
  0.15    0.000061          61         1           write
  0.13    0.000055          27         2           pread64
  0.08    0.000035          35         1           rt_sigaction
  0.08    0.000034          17         2           lseek
  0.08    0.000034          34         1           madvise
  0.07    0.000028          28         1           prlimit64
  0.06    0.000025          25         1           set_robust_list
  0.05    0.000022          22         1           getrandom
  0.05    0.000020          20         1           rseq
  0.03    0.000013          13         1           set_tid_address
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.041929         248       169         6 total
