% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 98.00    0.195208       21689         9           futex
  0.49    0.000985          51        19           munmap
  0.47    0.000942          15        62           brk
  0.32    0.000638          17        37           mmap
  0.13    0.000268          14        18         5 openat
  0.13    0.000249          17        14           mprotect
  0.10    0.000198          14        14           fstat
  0.09    0.000175          13        13           close
  0.07    0.000145          12        12           read
  0.04    0.000074          24         3           rt_sigprocmask
  0.02    0.000046          11         4           newfstatat
  0.02    0.000046          46         1           set_robust_list
  0.02    0.000037          37         1           clone3
  0.02    0.000030          30         1           write
  0.01    0.000028          28         1         1 ioctl
  0.01    0.000027          13         2           lseek
  0.01    0.000021          10         2           pread64
  0.01    0.000016          16         1           rseq
  0.01    0.000015          15         1           madvise
  0.01    0.000013          13         1           getrandom
  0.01    0.000012          12         1           set_tid_address
  0.01    0.000010          10         1           rt_sigaction
  0.01    0.000010          10         1           prlimit64
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.199193         901       221         7 total
