variant,bytes,iterations,key,calls,seconds,pct_time_sum,calls_per_iter,usec_per_iter,usec_per_call,calls_per_byte,usec_per_byte
alloc,1000000,100,brk,6,8.999999999999999e-05,0.3,0.06,0.8999999999999999,14.999999999999998,6e-06,8.999999999999999e-05
alloc,1000000,100,clone3,2,6.6e-05,0.19,0.02,0.66,33.0,2e-06,6.6e-05
alloc,1000000,100,close,10,0.000186,0.62,0.1,1.86,18.6,1e-05,0.000186
alloc,1000000,100,execve,2,0.001017,3.79,0.02,10.169999999999998,508.49999999999994,2e-06,0.001017
alloc,1000000,100,faccessat,2,3e-05,0.11,0.02,0.3,15.0,2e-06,3e-05
alloc,1000000,100,fstat,12,0.000361,1.23,0.12,3.61,30.083333333333332,1.2e-05,0.000361
alloc,1000000,100,futex,208,0.05423599999999999,183.16,2.08,542.3599999999999,260.74999999999994,0.000208,0.05423599999999999
alloc,1000000,100,getrandom,2,1.2e-05,0.04,0.02,0.12,6.0,2e-06,1.2e-05
alloc,1000000,100,ioctl,2,0.00016700000000000002,0.5,0.02,1.6700000000000004,83.50000000000001,2e-06,0.00016700000000000002
alloc,1000000,100,madvise,2,1.8e-05,0.05,0.02,0.18,9.0,2e-06,1.8e-05
alloc,1000000,100,mmap,42,0.001248,4.45,0.42,12.48,29.714285714285715,4.2e-05,0.001248
alloc,1000000,100,mprotect,20,0.00025299999999999997,0.8300000000000001,0.2,2.53,12.649999999999999,2e-05,0.00025299999999999997
alloc,1000000,100,munmap,19,0.000825,2.66,0.19,8.25,43.421052631578945,1.9e-05,0.000825
alloc,1000000,100,openat,10,0.000237,0.79,0.1,2.37,23.7,1e-05,0.000237
alloc,1000000,100,pread64,4,8.5e-05,0.28,0.04,0.85,21.25,4e-06,8.5e-05
alloc,1000000,100,prlimit64,2,1.7e-05,0.05,0.02,0.17,8.5,2e-06,1.7e-05
alloc,1000000,100,read,8,0.00010899999999999999,0.37,0.08,1.09,13.625,8e-06,0.000109
alloc,1000000,100,rseq,2,3.5e-05,0.12,0.02,0.35,17.5,2e-06,3.5e-05
alloc,1000000,100,rt_sigaction,2,1.4e-05,0.04,0.02,0.14,7.0,2e-06,1.4e-05
alloc,1000000,100,rt_sigprocmask,6,4.6e-05,0.14,0.06,0.46,7.666666666666667,6e-06,4.6e-05
alloc,1000000,100,set_robust_list,2,2.4e-05,0.08,0.02,0.24,12.0,2e-06,2.4e-05
alloc,1000000,100,set_tid_address,2,2.7e-05,0.1,0.02,0.27,13.5,2e-06,2.7e-05
alloc,1000000,100,write,2,3.4e-05,0.12000000000000001,0.02,0.34,17.0,2e-06,3.4e-05
alloc,1000000,5000,brk,6,3.7e-05,0.0,0.0012,0.0074,6.166666666666667,6e-06,3.7e-05
alloc,1000000,5000,clone3,2,3.6e-05,0.0,0.0004,0.0072,18.0,2e-06,3.6e-05
alloc,1000000,5000,close,10,2.6e-05,0.0,0.002,0.0052,2.6,1e-05,2.6e-05
