variant,key,E_iters_mean,E_bytes_mean,class
alloc,control_io,-0.9278196130946214,-0.3465154679252459,mixed
alloc,file_io,-0.9984974637436255,1.2700171814260823,mixed
alloc,memory,-0.8089851178901382,-0.15025161063058626,mixed
alloc,other,-1.001018162901752,-0.010059747950082276,mixed
alloc,sync,0.0004659504958623617,-0.07216676370716792,mostly_constant
baseline,control_io,-1.0064770230259088,-0.36978834736334587,mixed
baseline,file_io,-0.970060649729248,0.9493515641373728,mixed
baseline,memory,-1.0315699546939774,0.48198268535299205,mixed
baseline,other,-0.9479711294832974,0.6313038641409882,mixed
baseline,sync,-1.031110760162961,0.10218214031181118,mixed
