variant,key,iterations,vary_x1,vary_x2,metric,y1,y2,elasticity
alloc,control_io,100,1000000,5000000,usec_per_iter,1.6700000000000004,0.62,-0.6156555774637468
alloc,control_io,100,5000000,10000000,usec_per_iter,0.62,1.64,1.4033556942312082
alloc,file_io,100,1000000,5000000,usec_per_iter,6.51,1.13,-1.0880331636079368
alloc,file_io,100,5000000,10000000,usec_per_iter,1.13,7.489999999999998,2.728642946043563
alloc,memory,100,1000000,5000000,usec_per_iter,24.34,28.31,0.09387998778773231
alloc,memory,100,5000000,10000000,usec_per_iter,28.31,47.16,0.7362519690740157
alloc,other,100,1000000,5000000,usec_per_iter,16.49,8.180000000000001,-0.43559430316673176
alloc,other,100,5000000,10000000,usec_per_iter,8.180000000000001,16.46,1.0087915874798767
alloc,sync,100,1000000,5000000,usec_per_iter,542.3599999999999,527.35,-0.017438089816735138
alloc,sync,100,5000000,10000000,usec_per_iter,527.35,502.06,-0.07090100290246776
alloc,control_io,5000,1000000,5000000,usec_per_iter,0.0,0.0436,nan
alloc,control_io,5000,5000000,10000000,usec_per_iter,0.0436,0.0304,-0.5202568113333405
alloc,file_io,5000,1000000,5000000,usec_per_iter,0.0268,0.054,0.435296169945387
alloc,file_io,5000,5000000,10000000,usec_per_iter,0.054,0.144,1.4150374992788435
alloc,memory,5000,1000000,5000000,usec_per_iter,0.30979999999999996,0.6588,0.4687929024734032
alloc,memory,5000,5000000,10000000,usec_per_iter,0.6588,0.6616000000000001,0.006118679444919942
alloc,other,5000,1000000,5000000,usec_per_iter,0.123,0.1428,0.0927408838700252
alloc,other,5000,5000000,10000000,usec_per_iter,0.1428,0.23919999999999997,0.7442214101690049
alloc,sync,5000,1000000,5000000,usec_per_iter,512.9854,501.1032,-0.014561181049319137
alloc,sync,5000,5000000,10000000,usec_per_iter,501.1032,486.7045999999999,-0.0420613406671622
alloc,control_io,100000,1000000,5000000,usec_per_iter,0.00314,0.00241,-0.16440277091362052
alloc,control_io,100000,5000000,10000000,usec_per_iter,0.00241,0.00115,-1.0673992852855858
alloc,file_io,100000,1000000,5000000,usec_per_iter,0.0017299999999999998,0.00431,0.5671647775622686
alloc,file_io,100000,5000000,10000000,usec_per_iter,0.00431,0.00879,1.0281752960543047
alloc,memory,100000,1000000,5000000,usec_per_iter,0.07157000000000001,0.09245,0.15905675149373563
alloc,memory,100000,5000000,10000000,usec_per_iter,0.09245,0.15557,0.7508186541932971
alloc,other,100000,1000000,5000000,usec_per_iter,0.01228,0.01463,0.10879717133555865
alloc,other,100000,5000000,10000000,usec_per_iter,0.01463,0.01351,-0.11490209481280214
alloc,sync,100000,1000000,5000000,usec_per_iter,521.4667,509.14407,-0.014858849952104337
alloc,sync,100000,5000000,10000000,usec_per_iter,509.14407,487.51671,-0.0626222772468442
baseline,control_io,100,1000000,5000000,usec_per_iter,1.2200000000000002,1.6,0.1684766889146292
baseline,control_io,100,5000000,10000000,usec_per_iter,1.6,1.2300000000000002,-0.37941358954812227
baseline,file_io,100,1000000,5000000,usec_per_iter,3.81,4.01,0.03178877034311379
baseline,file_io,100,5000000,10000000,usec_per_iter,4.01,8.37,1.0616253860954235
baseline,memory,100,1000000,5000000,usec_per_iter,17.2,33.54,0.41494571950628123
baseline,memory,100,5000000,10000000,usec_per_iter,33.54,55.23,0.7195694385067166
baseline,other,100,1000000,5000000,usec_per_iter,8.319999999999999,7.969999999999999,-0.026703584959045873
baseline,other,100,5000000,10000000,usec_per_iter,7.969999999999999,22.12,1.4726997562442352
baseline,sync,100,1000000,5000000,usec_per_iter,4.03,3.15,-0.1530745120502667
baseline,sync,100,5000000,10000000,usec_per_iter,3.15,6.08,0.9487194950563066
baseline,control_io,5000,1000000,5000000,usec_per_iter,0.0136,0.0174,0.15309718478411055
baseline,control_io,5000,5000000,10000000,usec_per_iter,0.0174,0.0144,-0.2730184944064159
baseline,file_io,5000,1000000,5000000,usec_per_iter,0.06299999999999999,0.0776,0.12950651851018505
baseline,file_io,5000,5000000,10000000,usec_per_iter,0.0776,0.1498,0.9489090662716233
baseline,memory,5000,1000000,5000000,usec_per_iter,0.35559999999999997,0.6016,0.32668937703889783
baseline,memory,5000,5000000,10000000,usec_per_iter,0.6016,1.7750000000000004,1.5609425524891316
baseline,other,5000,1000000,5000000,usec_per_iter,0.1322,0.1274,-0.022979565719058095
baseline,other,5000,5000000,10000000,usec_per_iter,0.1274,0.35899999999999993,1.4946185664541127
baseline,sync,5000,1000000,5000000,usec_per_iter,0.1056,0.10240000000000002,-0.019119506523998103
baseline,sync,5000,5000000,10000000,usec_per_iter,0.10240000000000002,0.1786,0.8025163651212227
baseline,control_io,100000,1000000,5000000,usec_per_iter,0.00161,0.0014,-0.08683897731959321
baseline,control_io,100000,5000000,10000000,usec_per_iter,0.0014,0.00085,-0.719892080807265
baseline,file_io,100000,1000000,5000000,usec_per_iter,0.00778,0.00406,-0.4040996919185531
baseline,file_io,100000,5000000,10000000,usec_per_iter,0.00406,0.006629999999999999,0.7075291429274115
baseline,memory,100000,1000000,5000000,usec_per_iter,0.04411999999999999,0.05682,0.15718231817848924
