variant,key,iterations,vary_x1,vary_x2,metric,y1,y2,elasticity
alloc,brk,100,1000000,5000000,usec_per_iter,0.61,0.2,-0.6928764272321563
alloc,brk,100,5000000,10000000,usec_per_iter,0.2,0.32,0.6780719051126375
alloc,clone3,100,1000000,5000000,usec_per_iter,0.66,0.64,-0.019119506523998103
alloc,clone3,100,5000000,10000000,usec_per_iter,0.64,2.02,1.6582114827517946
alloc,close,100,1000000,5000000,usec_per_iter,1.13,0.0,nan
alloc,close,100,5000000,10000000,usec_per_iter,0.0,0.69,nan
alloc,execve,100,1000000,5000000,usec_per_iter,2.47,0.0,nan
alloc,execve,100,5000000,10000000,usec_per_iter,0.0,4.22,nan
alloc,faccessat,100,1000000,5000000,usec_per_iter,0.11,0.0,nan
alloc,faccessat,100,5000000,10000000,usec_per_iter,0.0,0.14,nan
alloc,fstat,100,1000000,5000000,usec_per_iter,1.94,0.69,-0.6423060165785649
alloc,fstat,100,5000000,10000000,usec_per_iter,0.69,2.36,1.7741185925836722
alloc,futex,100,1000000,5000000,usec_per_iter,314.06999999999994,236.6,-0.1759899759206675
alloc,futex,100,5000000,10000000,usec_per_iter,236.6,219.7,-0.10691520391651163
alloc,getrandom,100,1000000,5000000,usec_per_iter,0.12,0.52,0.9110864466810965
alloc,getrandom,100,5000000,10000000,usec_per_iter,0.52,0.0,nan
alloc,ioctl,100,1000000,5000000,usec_per_iter,1.62,0.62,-0.5967685629666182
alloc,ioctl,100,5000000,10000000,usec_per_iter,0.62,0.62,0.0
alloc,madvise,100,1000000,5000000,usec_per_iter,0.18,0.16,-0.07318271475179147
alloc,madvise,100,5000000,10000000,usec_per_iter,0.16,0.2,0.32192809488736257
alloc,mmap,100,1000000,5000000,usec_per_iter,4.920000000000001,6.07,0.13051144933544653
alloc,mmap,100,5000000,10000000,usec_per_iter,6.07,7.16,0.23826307100857433
alloc,mprotect,100,1000000,5000000,usec_per_iter,1.69,1.62,-0.026283946316830297
