variant,key,bytes,vary_x1,vary_x2,metric,y1,y2,elasticity
alloc,control_io,1000000,100,5000,usec_per_iter,1.62,0.0,nan
alloc,control_io,1000000,5000,100000,usec_per_iter,0.0,0.00235,nan
alloc,file_io,1000000,100,5000,usec_per_iter,3.9799999999999995,0.0028,-1.855668453642651
alloc,file_io,1000000,5000,100000,usec_per_iter,0.0028,0.0,nan
alloc,memory,1000000,100,5000,usec_per_iter,13.440000000000003,0.0,nan
alloc,memory,1000000,5000,100000,usec_per_iter,0.0,0.05588,nan
alloc,other,1000000,100,5000,usec_per_iter,6.44,0.0,nan
alloc,other,1000000,5000,100000,usec_per_iter,0.0,0.00766,nan
alloc,sync,1000000,100,5000,usec_per_iter,314.06999999999994,266.5866,-0.041900762560999234
alloc,sync,1000000,5000,100000,usec_per_iter,266.5866,258.05099,-0.01086276739408944
alloc,control_io,5000000,100,5000,usec_per_iter,0.62,0.0174,-0.9134019065993668
alloc,control_io,5000000,5000,100000,usec_per_iter,0.0174,0.00121,-0.8898825406214287
alloc,file_io,5000000,100,5000,usec_per_iter,0.14,0.042800000000000005,-0.3029389955982252
alloc,file_io,5000000,5000,100000,usec_per_iter,0.042800000000000005,0.00276,-0.9150708983772236
alloc,memory,5000000,100,5000,usec_per_iter,13.84,0.4972000000000001,-0.8502827986746614
alloc,memory,5000000,5000,100000,usec_per_iter,0.4972000000000001,0.0652,-0.6781423388992761
alloc,other,5000000,100,5000,usec_per_iter,3.9200000000000004,0.1134,-0.9056504873756757
alloc,other,5000000,5000,100000,usec_per_iter,0.1134,0.007930000000000001,-0.8880193931652252
alloc,sync,5000000,100,5000,usec_per_iter,236.6,261.2982,0.0253810706601233
alloc,sync,5000000,5000,100000,usec_per_iter,261.2982,262.2554,0.001220587789734131
alloc,control_io,10000000,100,5000,usec_per_iter,0.62,0.0134,-0.9801743920630686
alloc,control_io,10000000,5000,100000,usec_per_iter,0.0134,0.0,nan
alloc,file_io,10000000,100,5000,usec_per_iter,3.76,0.093,-0.9456935038718641
alloc,file_io,10000000,5000,100000,usec_per_iter,0.093,0.00504,-0.9731154672281631
alloc,memory,10000000,100,5000,usec_per_iter,19.069999999999997,0.2986,-1.062561955213871
alloc,memory,10000000,5000,100000,usec_per_iter,0.2986,0.04325,-0.6449533787727444
alloc,other,10000000,100,5000,usec_per_iter,11.56,0.07579999999999999,-1.2850660240500926
alloc,other,10000000,5000,100000,usec_per_iter,0.07579999999999999,0.00474,-0.9253367470160151
alloc,sync,10000000,100,5000,usec_per_iter,219.7,250.3806,0.033414727013168555
alloc,sync,10000000,5000,100000,usec_per_iter,250.3806,247.05963,-0.004457152532763139
baseline,control_io,1000000,100,5000,usec_per_iter,0.72,0.009,-1.1201433704744526
baseline,control_io,1000000,5000,100000,usec_per_iter,0.009,0.00065,-0.8772504527952805
baseline,file_io,1000000,100,5000,usec_per_iter,0.9499999999999998,0.04820000000000001,-0.7620361535199531
baseline,file_io,1000000,5000,100000,usec_per_iter,0.04820000000000001,0.00435,-0.802869868308549
baseline,memory,1000000,100,5000,usec_per_iter,6.730000000000001,0.2204,-0.8739433128629668
baseline,memory,1000000,5000,100000,usec_per_iter,0.2204,0.01223,-0.9652238129241377
baseline,other,1000000,100,5000,usec_per_iter,3.7100000000000004,0.0912,-0.9472675015917055
baseline,other,1000000,5000,100000,usec_per_iter,0.0912,0.008000000000000002,-0.8123600953543587
baseline,sync,1000000,100,5000,usec_per_iter,3.28,0.0732,-0.9719787626849025
baseline,sync,1000000,5000,100000,usec_per_iter,0.0732,0.00129,-1.3481021779701776
baseline,control_io,5000000,100,5000,usec_per_iter,1.03,0.0128,-1.121636785931397
baseline,control_io,5000000,5000,100000,usec_per_iter,0.0128,0.00107,-0.8284406935695512
baseline,file_io,5000000,100,5000,usec_per_iter,0.11,0.0534,-0.18473041156034187
baseline,file_io,5000000,5000,100000,usec_per_iter,0.0534,0.00016,-1.9395565688589702
baseline,memory,5000000,100,5000,usec_per_iter,15.099999999999998,0.32199999999999995,-0.9836083458403587
baseline,memory,5000000,5000,100000,usec_per_iter,0.32199999999999995,0.007460000000000001,-1.25678658422374
baseline,other,5000000,100,5000,usec_per_iter,0.75,0.05560000000000001,-0.6651008957931879
baseline,other,5000000,5000,100000,usec_per_iter,0.05560000000000001,0.0029300000000000007,-0.9824578799012353
baseline,sync,5000000,100,5000,usec_per_iter,1.13,0.072,-0.703806390931231
baseline,sync,5000000,5000,100000,usec_per_iter,0.072,0.00392,-0.971573625222764
baseline,control_io,10000000,100,5000,usec_per_iter,0.61,0.0072,-1.1348036361201013
baseline,control_io,10000000,5000,100000,usec_per_iter,0.0072,0.00041,-0.9565871992646697
baseline,file_io,10000000,100,5000,usec_per_iter,3.33,0.0656,-1.0038672782791174
baseline,file_io,10000000,5000,100000,usec_per_iter,0.0656,0.00224,-1.1273036178485567
baseline,memory,10000000,100,5000,usec_per_iter,35.15,0.279,-1.236232023356457
baseline,memory,10000000,5000,100000,usec_per_iter,0.279,0.020370000000000003,-0.8736256489562045
baseline,other,10000000,100,5000,usec_per_iter,13.099999999999998,0.10680000000000002,-1.2293919478463775
baseline,other,10000000,5000,100000,usec_per_iter,0.10680000000000002,0.004580000000000001,-1.0512484564129203
baseline,sync,10000000,100,5000,usec_per_iter,3.17,0.0804,-0.9392768615081949
baseline,sync,10000000,5000,100000,usec_per_iter,0.0804,0.00189,-1.2519267426604963
