variant,key,bytes,vary_x1,vary_x2,metric,y1,y2,elasticity
alloc,brk,1000000,100,5000,usec_per_iter,0.8999999999999999,0.0074,-1.227220483226365
alloc,brk,1000000,5000,100000,usec_per_iter,0.0074,0.00016,-1.2798411586392837
alloc,clone3,1000000,100,5000,usec_per_iter,0.66,0.0072,-1.1549417789029535
alloc,clone3,1000000,5000,100000,usec_per_iter,0.0072,0.00017,-1.2504581604382716
alloc,close,1000000,100,5000,usec_per_iter,1.86,0.0052,-1.502975093183628
alloc,close,1000000,5000,100000,usec_per_iter,0.0052,0.00042,-0.8399145729758607
alloc,execve,1000000,100,5000,usec_per_iter,10.169999999999998,0.0,nan
alloc,execve,1000000,5000,100000,usec_per_iter,0.0,0.0,nan
alloc,faccessat,1000000,100,5000,usec_per_iter,0.3,0.0,nan
alloc,faccessat,1000000,5000,100000,usec_per_iter,0.0,0.0,nan
alloc,fstat,1000000,100,5000,usec_per_iter,3.61,0.0026,-1.849670003540166
alloc,fstat,1000000,5000,100000,usec_per_iter,0.0026,0.01054,0.46722002177627336
alloc,futex,1000000,100,5000,usec_per_iter,542.3599999999999,512.9706000000001,-0.014241085476704432
alloc,futex,1000000,5000,100000,usec_per_iter,512.9706000000001,521.41693,0.005451567819260088
alloc,getrandom,1000000,100,5000,usec_per_iter,0.12,0.0026,-0.9795393054789113
alloc,getrandom,1000000,5000,100000,usec_per_iter,0.0026,8e-05,-1.1620664904096114
alloc,ioctl,1000000,100,5000,usec_per_iter,1.6700000000000004,0.0,nan
alloc,ioctl,1000000,5000,100000,usec_per_iter,0.0,0.00314,nan
alloc,madvise,1000000,100,5000,usec_per_iter,0.18,0.0038,-0.9861792169434447
alloc,madvise,1000000,5000,100000,usec_per_iter,0.0038,0.0001,-1.2142560908525148
alloc,mmap,1000000,100,5000,usec_per_iter,12.48,0.0826,-1.2826798192224107
alloc,mmap,1000000,5000,100000,usec_per_iter,0.0826,0.00335,-1.0698717515526326
alloc,mprotect,1000000,100,5000,usec_per_iter,2.53,0.0394,-1.0639530390394905
alloc,mprotect,1000000,5000,100000,usec_per_iter,0.0394,0.00126,-1.1491861691820362
alloc,munmap,1000000,100,5000,usec_per_iter,8.25,0.1766,-0.9826325626983771
alloc,munmap,1000000,5000,100000,usec_per_iter,0.1766,0.06670000000000001,-0.32502314837805996
alloc,openat,1000000,100,5000,usec_per_iter,2.37,0.0062,-1.519954236932553
alloc,openat,1000000,5000,100000,usec_per_iter,0.0062,0.00032,-0.9894020241411912
alloc,pread64,1000000,100,5000,usec_per_iter,0.85,0.0,nan
alloc,pread64,1000000,5000,100000,usec_per_iter,0.0,0.00016,nan
alloc,prlimit64,1000000,100,5000,usec_per_iter,0.17,0.0024,-1.0890349299543793
alloc,prlimit64,1000000,5000,100000,usec_per_iter,0.0024,0.0002,-0.8294822176616033
alloc,read,1000000,100,5000,usec_per_iter,1.09,0.0034,-1.4749804731707006
alloc,read,1000000,5000,100000,usec_per_iter,0.0034,0.00069,-0.5323703747133948
alloc,rseq,1000000,100,5000,usec_per_iter,0.35,0.0038,-1.1561619350078727
alloc,rseq,1000000,5000,100000,usec_per_iter,0.0038,0.00021,-0.966591320779728
alloc,rt_sigaction,1000000,100,5000,usec_per_iter,0.14,0.003,-0.9823638891204831
alloc,rt_sigaction,1000000,5000,100000,usec_per_iter,0.003,0.00011,-1.1035322585538951
alloc,rt_sigprocmask,1000000,100,5000,usec_per_iter,0.46,0.0916,-0.4125219139979051
alloc,rt_sigprocmask,1000000,5000,100000,usec_per_iter,0.0916,0.00081,-1.5782960128765071
alloc,set_robust_list,1000000,100,5000,usec_per_iter,0.24,0.0026,-1.1567231256144692
alloc,set_robust_list,1000000,5000,100000,usec_per_iter,0.0026,6e-05,-1.2580971253870454
alloc,set_tid_address,1000000,100,5000,usec_per_iter,0.27,0.0072,-0.9264620703782656
alloc,set_tid_address,1000000,5000,100000,usec_per_iter,0.0072,0.0001,-1.4275862221634468
alloc,write,1000000,100,5000,usec_per_iter,0.34,0.012,-0.8548106601577162
alloc,write,1000000,5000,100000,usec_per_iter,0.012,0.00014,-1.4857868126113822
alloc,sched_yield,1000000,5000,100000,usec_per_iter,0.0148,0.04977000000000001,0.40483764948114165
alloc,brk,5000000,100,5000,usec_per_iter,0.4,0.009,-0.9698920391079108
alloc,brk,5000000,5000,100000,usec_per_iter,0.009,0.00085,-0.7877017341187534
alloc,clone3,5000000,100,5000,usec_per_iter,1.1099999999999999,0.0072,-1.2878334972196794
alloc,clone3,5000000,5000,100000,usec_per_iter,0.0072,0.00207,-0.4161027438095819
alloc,close,5000000,100,5000,usec_per_iter,0.26,0.01,-0.8328418655771436
alloc,close,5000000,5000,100000,usec_per_iter,0.01,0.00109,-0.7398549651179462
alloc,execve,5000000,100,5000,usec_per_iter,0.0,0.0,nan
alloc,execve,5000000,5000,100000,usec_per_iter,0.0,0.00182,nan
