variant,bytes,iterations,key,calls,seconds,usec_per_iter,calls_per_iter
kernels,10000000,100,control_io,2,0.000116,1.16,0.02
kernels,10000000,100,file_io,96,0.0014659999999999,14.659999999999998,0.96
kernels,10000000,100,memory,133,0.003765,37.65,1.33
kernels,10000000,100,other,60,0.001338,13.38,0.6
kernels,10000000,100,sync,18,0.006998,69.98,0.18
kernels,10000000,5000,control_io,2,1e-05,0.002,0.0004
kernels,10000000,5000,file_io,96,0.0016789999999999,0.3357999999999999,0.0192
kernels,10000000,5000,memory,146,0.005186,1.0372,0.0292
kernels,10000000,5000,other,60,0.002129,0.4258,0.012
kernels,10000000,5000,sync,23,0.153062,30.6124,0.0046
kernels,10000000,100000,control_io,2,7.500000000000001e-05,0.00075,2e-05
kernels,10000000,100000,file_io,96,0.0019309999999999,0.0193099999999999,0.00096
kernels,10000000,100000,memory,387,0.043167,0.43167,0.00387
kernels,10000000,100000,other,60,0.001179,0.01179,0.0006
kernels,10000000,100000,sync,31,10.868035,108.68035,0.00031
