metric,iterations,key,value
calls_per_iter,100,memory,1.33
calls_per_iter,100,file_io,0.96
calls_per_iter,100,other,0.6
calls_per_iter,100,sync,0.18
calls_per_iter,100,control_io,0.02
calls_per_iter,5000,memory,0.0292
calls_per_iter,5000,file_io,0.0192
calls_per_iter,5000,other,0.012
calls_per_iter,5000,sync,0.0046
calls_per_iter,5000,control_io,0.0004
calls_per_iter,100000,memory,0.00387
calls_per_iter,100000,file_io,0.00096
calls_per_iter,100000,other,0.0006
calls_per_iter,100000,sync,0.00031
calls_per_iter,100000,control_io,2e-05
usec_per_iter,100,sync,69.98
usec_per_iter,100,memory,37.65
usec_per_iter,100,file_io,14.659999999999998
usec_per_iter,100,other,13.38
usec_per_iter,100,control_io,1.16
usec_per_iter,5000,sync,30.6124
usec_per_iter,5000,memory,1.0372
usec_per_iter,5000,other,0.4258
usec_per_iter,5000,file_io,0.3357999999999999
usec_per_iter,5000,control_io,0.002
usec_per_iter,100000,sync,108.68035
usec_per_iter,100000,memory,0.43167
usec_per_iter,100000,file_io,0.0193099999999999
usec_per_iter,100000,other,0.01179
usec_per_iter,100000,control_io,0.00075
