% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 37.14    0.644201          20     31589      1642 stat
 16.11    0.279409          35      7895       904 openat
 10.31    0.178846          28      6202      5521 ioctl
  8.63    0.149655           5     26539         5 lstat
  5.89    0.102150           8     11575        10 read
  4.89    0.084782           7     10677           munmap
  4.47    0.077588           6     11479           mmap
  3.78    0.065520           5     12407           fstat
  3.03    0.052516           4     11022         6 lseek
  2.78    0.048222           6      6983           close
  0.90    0.015580          28       542        97 futex
  0.88    0.015306           6      2476           getdents64
  0.65    0.011312           3      2856           brk
  0.13    0.002197          12       173       149 newfstatat
  0.13    0.002174          11       192           mprotect
  0.04    0.000717           2       333           write
  0.03    0.000582         582         1           execve
  0.03    0.000509          22        23        23 mkdir
  0.03    0.000482          18        26           clone3
  0.02    0.000375           5        70           fcntl
  0.02    0.000322           6        53           rt_sigprocmask
  0.02    0.000288           4        67           rt_sigaction
  0.01    0.000250           3        63           getpid
  0.01    0.000239          23        10           sched_setaffinity
  0.01    0.000169           9        18        13 readlink
  0.01    0.000163           8        19        16 unlink
  0.01    0.000157           6        25           getrandom
  0.01    0.000125          12        10           clock_nanosleep
  0.01    0.000090           9        10         2 access
  0.00    0.000081           7        11           getcwd
  0.00    0.000056           3        15        15 symlink
  0.00    0.000055           6         8           dup
  0.00    0.000052           8         6           pread64
  0.00    0.000035          35         1           readlinkat
  0.00    0.000033          11         3           pipe2
  0.00    0.000031           3         9           socket
  0.00    0.000031           7         4           eventfd2
  0.00    0.000025          25         1           link
  0.00    0.000023           0        27         4 connect
  0.00    0.000023           2         9           statx
  0.00    0.000020           4         5           sched_get_priority_max
  0.00    0.000020           2         9           sched_getaffinity
  0.00    0.000020           6         3           prlimit64
  0.00    0.000019          19         1           mremap
  0.00    0.000016           0        37           poll
  0.00    0.000013           2         5           sched_get_priority_min
  0.00    0.000012           2         5           uname
  0.00    0.000011          11         1           arch_prctl
  0.00    0.000010          10         1           set_robust_list
  0.00    0.000009           9         1           set_tid_address
  0.00    0.000009           9         1           rseq
  0.00    0.000008           8         1           sysinfo
  0.00    0.000008           8         1           epoll_create1
  0.00    0.000007           3         2           bind
  0.00    0.000007           2         3           setsockopt
  0.00    0.000007           3         2           get_mempolicy
  0.00    0.000006           6         1           listen
  0.00    0.000006           3         2           geteuid
  0.00    0.000002           1         2           gettid
  0.00    0.000002           1         2           fadvise64
  0.00    0.000000           0         1           open
  0.00    0.000000           0         1           sendto
  0.00    0.000000           0         2           recvfrom
  0.00    0.000000           0         2           recvmsg
  0.00    0.000000           0        14           getsockname
  0.00    0.000000           0         1           getpeername
  0.00    0.000000           0         2           getsockopt
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         8           mbind
  0.00    0.000000           0         1           sendmmsg
------ ----------- ----------- --------- --------- -----------------------
100.00    1.734583          12    143549      8407 total
