% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -----------------------
 29.43    0.480798          15     31589      1642 stat
 16.69    0.272646          34      7895       904 openat
 11.25    0.183739          29      6202      5521 ioctl
 11.22    0.183344           6     26539         5 lstat
  6.94    0.113356          10     10677           munmap
  5.90    0.096381           8     11577        11 read
  5.64    0.092224           8     11479           mmap
  3.73    0.060986           4     12407           fstat
  2.97    0.048540           4     11022         6 lseek
  2.79    0.045638           6      6983           close
  1.26    0.020535          24       839       117 futex
  0.92    0.015010           6      2476           getdents64
  0.69    0.011230           3      2869           brk
  0.13    0.002194          12       173       149 newfstatat
  0.13    0.002188          11       192           mprotect
  0.05    0.000803           2       335           write
  0.03    0.000501          19        26           clone3
  0.03    0.000499          21        23        23 mkdir
  0.03    0.000485           9        53           rt_sigprocmask
  0.02    0.000351           5        70           fcntl
  0.02    0.000311           4        67           rt_sigaction
  0.01    0.000228          22        10           sched_setaffinity
  0.01    0.000227           8        27         4 connect
  0.01    0.000193           7        25           getrandom
  0.01    0.000179           2        64           getpid
  0.01    0.000129           7        18        13 readlink
  0.01    0.000118         118         1           execve
  0.01    0.000112          11        10           clock_nanosleep
  0.01    0.000083           4        19        16 unlink
  0.00    0.000078           2        38           poll
  0.00    0.000069           6        10         2 access
  0.00    0.000067          67         1           readlinkat
  0.00    0.000066           4        14           getsockname
  0.00    0.000049           8         6           pread64
  0.00    0.000048           4        11           getcwd
  0.00    0.000045           3        15        15 symlink
  0.00    0.000042          10         4           eventfd2
  0.00    0.000041           4         9           sched_getaffinity
  0.00    0.000036           4         9           socket
  0.00    0.000034          11         3           pipe2
  0.00    0.000030           3         8           dup
  0.00    0.000022           2         9           statx
  0.00    0.000019           3         5           sched_get_priority_max
  0.00    0.000017           3         5           uname
  0.00    0.000017           8         2           gettid
  0.00    0.000016           3         5           sched_get_priority_min
  0.00    0.000016           5         3           prlimit64
  0.00    0.000014          14         1           mremap
  0.00    0.000012          12         1           link
  0.00    0.000011           5         2           getsockopt
  0.00    0.000011          11         1           sendmmsg
  0.00    0.000010          10         1           open
  0.00    0.000010           5         2           bind
  0.00    0.000010          10         1           rseq
  0.00    0.000009           9         1           sendto
  0.00    0.000009           9         1           arch_prctl
  0.00    0.000009           9         1           set_tid_address
  0.00    0.000009           4         2           get_mempolicy
  0.00    0.000009           9         1           set_robust_list
  0.00    0.000009           9         1           epoll_create1
  0.00    0.000008           8         1           sysinfo
  0.00    0.000007           3         2           recvmsg
  0.00    0.000005           5         1           listen
  0.00    0.000005           1         3           setsockopt
  0.00    0.000004           2         2           recvfrom
  0.00    0.000002           2         1           getpeername
  0.00    0.000002           1         2           fadvise64
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         2           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         8           mbind
------ ----------- ----------- --------- --------- -----------------------
100.00    1.633905          11    143865      8428 total
