run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,be_phase_types,be_granularities,be_processes,be_phase_count,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms,total_active_ms,wall_time_ms,aggregate_throughput_phases_per_s,per_process_throughput_phases_per_s
be_chunked_alone/chunked1/none/delay_0/r1,out_core/be_chunked_alone/chunked1/none/delay_0/r1,be_chunked_alone,chunked1,none,0,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,57.100452525,57.000452,58.00046,59.21046946999999,60.000475,56.000443,0.722168443503664,4568.036202,4806.038083,16.645727440857648,16.645727440857648
be_chunked_alone/chunked1/none/delay_0/r2,out_core/be_chunked_alone/chunked1/none/delay_0/r2,be_chunked_alone,chunked1,none,0,2,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,57.0879530625,57.000452,58.00046005,58.63046603999998,61.000485,56.000444,0.7826300120736568,4567.036245,4802.038112,16.659592892460577,16.659592892460577
be_chunked_alone/chunked1/none/delay_0/r3,out_core/be_chunked_alone/chunked1/none/delay_0/r3,be_chunked_alone,chunked1,none,0,3,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,57.575457575,57.0004535,58.000461,60.31047926999993,69.000548,56.000445,1.421144703123335,4606.036606,4815.03827,16.614613532448622,16.614613532448622
be_chunked_alone/chunked1/none/delay_0/r4,out_core/be_chunked_alone/chunked1/none/delay_0/r4,be_chunked_alone,chunked1,none,0,4,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,58.075462225,58.000461,59.05047035,70.31055947999994,79.000629,56.000445,2.754879568086265,4646.036978,4868.038743,16.43372294746751,16.43372294746751
be_chunked_alone/chunked1/none/delay_0/r5,out_core/be_chunked_alone/chunked1/none/delay_0/r5,be_chunked_alone,chunked1,none,0,5,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,57.162955499999995,57.000454,58.000463,59.21047167999999,60.000478,56.000446,0.7368096554671509,4573.03644,4813.038352,16.62151725152096,16.62151725152096
be_long_alone/long1/none/delay_0/r1,out_core/be_long_alone/long1/none/delay_0/r1,be_long_alone,long1,none,0,1,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.6250920875,12.000095,12.050096299999996,13.000103,13.000103,11.000087,0.5819045253329507,930.007367,1139.009024,70.23649357847405,70.23649357847405
be_long_alone/long1/none/delay_0/r2,out_core/be_long_alone/long1/none/delay_0/r2,be_long_alone,long1,none,0,2,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.4625909,11.000088,12.000095049999999,13.000103,13.000103,11.000087,0.5498891879331341,917.0072720000001,1138.00903,70.29821195707034,70.29821195707034
be_long_alone/long1/none/delay_0/r3,out_core/be_long_alone/long1/none/delay_0/r3,be_long_alone,long1,none,0,3,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.287589725,11.000088,12.000096,12.000096,12.000096,11.000087,0.45545588027220674,903.007178,1141.009068,70.11337792453021,70.11337792453021
be_long_alone/long1/none/delay_0/r4,out_core/be_long_alone/long1/none/delay_0/r4,be_long_alone,long1,none,0,4,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.3375903,11.000088,12.000096,12.000096,12.000096,11.000087,0.4758441373522065,907.007224,1149.009144,69.62520743873209,69.62520743873209
be_long_alone/long1/none/delay_0/r5,out_core/be_long_alone/long1/none/delay_0/r5,be_long_alone,long1,none,0,5,1,0,1,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,1,80,80,11.50009165,11.000088,12.000096,13.00010321,13.000104,11.000087,0.5511827558988307,920.007332,1133.009028,70.6084400238336,70.6084400238336
lc_vs_be_chunked/chunked1/naive/delay_50/r1,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r1,lc_vs_be_chunked,chunked1,naive,50,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,57.6754572875,58.000459,59.00046705,61.63048882999998,64.000507,56.000444,1.0406384904417763,4614.036583,4833.038319,16.55273447460535,16.55273447460535
lc_vs_be_chunked/chunked1/naive/delay_50/r2,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r2,lc_vs_be_chunked,chunked1,naive,50,2,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,57.175454075,57.000453,58.000461,58.000461,58.000461,56.000444,0.6319599000050147,4574.036326,4806.038163,16.645727163777412,16.645727163777412
lc_vs_be_chunked/chunked1/naive/delay_50/r3,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r3,lc_vs_be_chunked,chunked1,naive,50,3,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,57.262955325,57.000453,58.000462,59.21047068,60.000477,56.000445,0.6888634590541662,4581.036426,4815.038288,16.614613470338412,16.614613470338412
lc_vs_be_chunked/chunked1/naive/delay_50/r4,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r4,lc_vs_be_chunked,chunked1,naive,50,4,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,57.4754576375,58.000461,58.000462,59.42047335999999,61.000486,56.000445,0.8263911290333074,4598.0366109999995,4812.038314,16.624971535918654,16.624971535918654
lc_vs_be_chunked/chunked1/naive/delay_50/r5,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r5,lc_vs_be_chunked,chunked1,naive,50,5,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,57.650459575,58.000462,58.000463,60.05047839999997,64.00051,56.000447,0.9014827041456297,4612.036766,4828.038487,16.56987619618369,16.56987619618369
lc_vs_be_chunked/chunked1/none/delay_0/r1,out_core/lc_vs_be_chunked/chunked1/none/delay_0/r1,lc_vs_be_chunked,chunked1,none,0,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,57.5254558875,58.000459,59.000468,60.63048082999998,63.000499,55.000435,1.4140009644058076,4602.036471,4839.038359,16.532210341174526,16.532210341174526
lc_vs_be_chunked/chunked1/none/delay_0/r2,out_core/lc_vs_be_chunked/chunked1/none/delay_0/r2,lc_vs_be_chunked,chunked1,none,0,2,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,56.787950875,57.000453,58.000461,58.000461,58.000461,54.000429,0.9768762781019346,4543.03607,4779.037942,16.739770843192023,16.739770843192023
lc_vs_be_chunked/chunked1/none/delay_0/r3,out_core/lc_vs_be_chunked/chunked1/none/delay_0/r3,lc_vs_be_chunked,chunked1,none,0,3,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,57.150454325,57.000454,58.00046105,59.000469,59.000469,55.000437,1.0323951395265512,4572.036346,4788.038067,16.70830492167012,16.70830492167012
lc_vs_be_chunked/chunked1/none/delay_0/r4,out_core/lc_vs_be_chunked/chunked1/none/delay_0/r4,lc_vs_be_chunked,chunked1,none,0,4,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,56.9754536125,57.000454,58.000462,59.050470399999966,63.000502,55.000437,1.0905317739875313,4558.036289,4796.038181,16.680434346191873,16.680434346191873
lc_vs_be_chunked/chunked1/none/delay_0/r5,out_core/lc_vs_be_chunked/chunked1/none/delay_0/r5,lc_vs_be_chunked,chunked1,none,0,5,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,57.0879549375,57.000454,58.000463,58.84046950999998,62.000494,55.000438,0.9703757126983837,4567.036395,4801.038266,16.663062356020806,16.663062356020806
lc_vs_be_chunked/chunked1/proper/delay_50/r1,out_core/lc_vs_be_chunked/chunked1/proper/delay_50/r1,lc_vs_be_chunked,chunked1,proper,50,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,57.150453225,57.000452,58.00046,58.210461679999995,59.000468,56.000444,0.7133504704585357,4572.036258,4807.038119,16.642264533704648,16.642264533704648
lc_vs_be_chunked/chunked1/proper/delay_50/r2,out_core/lc_vs_be_chunked/chunked1/proper/delay_50/r2,lc_vs_be_chunked,chunked1,proper,50,2,0,1,1,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH,UNK,1,80,80,57.4004560125,57.000453,58.000461,59.00046821,59.000469,55.000437,0.6675152793225984,4592.036481,4808.038185,16.638802963250594,16.638802963250594
