case,worker_config,policy,delay_us,total_be_workers,long_be_workers,chunked_be_workers,start_order,n,be_processes_mean,be_processes_median,be_processes_stdev,be_processes_min,be_processes_max,be_phase_count_mean,be_phase_count_median,be_phase_count_stdev,be_phase_count_min,be_phase_count_max,mean_ms_mean,mean_ms_median,mean_ms_stdev,mean_ms_min,mean_ms_max,p50_ms_mean,p50_ms_median,p50_ms_stdev,p50_ms_min,p50_ms_max,p95_ms_mean,p95_ms_median,p95_ms_stdev,p95_ms_min,p95_ms_max,p99_ms_mean,p99_ms_median,p99_ms_stdev,p99_ms_min,p99_ms_max,max_ms_mean,max_ms_median,max_ms_stdev,max_ms_min,max_ms_max,min_ms_mean,min_ms_median,min_ms_stdev,min_ms_min,min_ms_max,stdev_ms_mean,stdev_ms_median,stdev_ms_stdev,stdev_ms_min,stdev_ms_max,total_active_ms_mean,total_active_ms_median,total_active_ms_stdev,total_active_ms_min,total_active_ms_max,wall_time_ms_mean,wall_time_ms_median,wall_time_ms_stdev,wall_time_ms_min,wall_time_ms_max,aggregate_throughput_phases_per_s_mean,aggregate_throughput_phases_per_s_median,aggregate_throughput_phases_per_s_stdev,aggregate_throughput_phases_per_s_min,aggregate_throughput_phases_per_s_max,per_process_throughput_phases_per_s_mean,per_process_throughput_phases_per_s_median,per_process_throughput_phases_per_s_stdev,per_process_throughput_phases_per_s_min,per_process_throughput_phases_per_s_max
be_chunked_alone,chunked1,none,0,1,0,1,be_first,5,1.0,1.0,0.0,1.0,1.0,80.0,80.0,0.0,80.0,80.0,57.4004561775,57.162955499999995,0.42729545208776043,57.0879530625,58.075462225,57.2004545,57.0004535,0.4472172291113127,57.000452,58.000461,58.21046288,58.000461,0.4695784511334736,58.00046,59.05047035,61.53448918799997,59.21047167999999,4.943508003451338,58.63046603999998,70.31055947999994,65.800523,61.000485,8.288612700832903,60.000475,79.000629,56.0004446,56.000445,1.1401754247132205e-06,56.000443,56.000446,1.2835264764508143,0.7826300120736568,0.8730317989775633,0.722168443503664,2.754879568086265,4592.0364942,4573.03644,34.18363616702063,4567.036245,4646.036978,4820.838312,4813.038352,26.901927664581777,4802.038112,4868.038743,16.595034812951063,16.62151725152096,0.09198322117319689,16.43372294746751,16.659592892460577,16.595034812951063,16.62151725152096,0.09198322117319689,16.43372294746751,16.659592892460577
be_long_alone,long1,none,0,1,1,0,be_first,5,1.0,1.0,0.0,1.0,1.0,80.0,80.0,0.0,80.0,80.0,11.4425909325,11.4625909,0.13422323750119433,11.287589725,11.6250920875,11.2000894,11.000088,0.44721672599512646,11.000088,12.000095,12.010095869999999,12.000096,0.02236092015608804,12.000095049999999,12.050096299999996,12.600100242,13.000103,0.5477264299036547,12.000096,13.00010321,12.600100399999999,13.000103,0.5477265741374069,12.000096,13.000104,11.000087,11.000087,0.0,11.000087,11.000087,0.5228552973578657,0.5498891879331341,0.05425130887832003,0.45545588027220674,0.5819045253329507,915.4072746,917.0072720000001,10.737859000095582,903.007178,930.007367,1140.0090588,1139.009024,5.830998370998228,1133.009028,1149.009144,70.17634618452806,70.23649357847405,0.3580827349811523,69.62520743873209,70.6084400238336,70.17634618452806,70.23649357847405,0.3580827349811523,69.62520743873209,70.6084400238336
lc_vs_be_chunked,chunked1,naive,50,1,0,1,be_first,5,1.0,1.0,0.0,1.0,1.0,80.0,80.0,0.0,80.0,80.0,57.44795678,57.4754576375,0.22472395435469322,57.175454075,57.6754572875,57.6004576,58.000459,0.5477267567125051,57.000453,58.000462,58.20046301,58.000462,0.4472158539291728,58.000461,59.00046705,59.66247445399999,59.42047335999999,1.3274777125001571,58.000461,61.63048882999998,61.4004882,61.000486,2.6077015359171583,58.000461,64.00051,56.000445,56.000445,1.224744871200184e-06,56.000444,56.000447,0.8178671365359789,0.8263911290333074,0.16423667915101367,0.6319599000050147,1.0406384904417763,4595.8365424,4598.0366109999995,17.977916348375363,4574.036326,4614.036583,4818.8383142,4815.038288,11.300524196397115,4806.038163,4833.038319,16.601584568164704,16.614613470338412,0.03891344174718853,16.55273447460535,16.645727163777412,16.601584568164704,16.614613470338412,0.03891344174718853,16.55273447460535,16.645727163777412
lc_vs_be_chunked,chunked1,none,0,1,0,1,be_first,5,1.0,1.0,0.0,1.0,1.0,80.0,80.0,0.0,80.0,80.0,57.1054539275,57.0879549375,0.2722320549994703,56.787950875,57.5254558875,57.200454799999996,57.000454,0.44721594337154436,57.000453,58.000459,58.20046301,58.000462,0.4472163849955069,58.000461,59.000468,59.10447014799998,59.000469,0.9527556545200265,58.000461,60.63048082999998,61.000485,62.000494,2.3452265349747115,58.000461,63.000502,54.8004352,55.000437,0.4472170614066523,54.000429,55.000438,1.0968359737440416,1.0323951395265512,0.18382635934012365,0.9703757126983837,1.4140009644058076,4568.4363142,4567.036395,21.77856439995769,4543.03607,4602.036471,4800.638163,4796.038181,23.028389740206592,4779.037942,4839.038359,16.66475656164987,16.680434346191873,0.07959391609742575,16.532210341174526,16.739770843192023,16.66475656164987,16.680434346191873,0.07959391609742575,16.532210341174526,16.739770843192023
lc_vs_be_chunked,chunked1,proper,50,1,0,1,be_first,5,1.0,1.0,0.0,1.0,1.0,80.0,80.0,0.0,80.0,80.0,57.3179558475,57.4004560125,0.144049925544973,57.150453225,57.46295765,57.0004535,57.000454,9.999999992515995e-07,57.000452,57.000454500000004,58.0004616,58.000462,1.1401754268943759e-06,58.00046,58.000463,58.862468095999986,58.840468719999976,0.5216075210244182,58.210461679999995,59.63047403999998,60.600482,61.000486,1.5165877818845508,59.000468,62.000494,55.8004436,56.000445,0.44721728501288965,55.000437,56.000446,0.7447782398685777,0.7621441265647316,0.05444272667739262,0.6675152793225984,0.805053749312068,4585.4364678,4592.036481,11.523994043597723,4572.036258,4597.036612,4811.438261,4808.038185,7.021478014822948,4806.038316,4823.038407,16.627073189739075,16.638802963250594,0.02423165170218962,16.58705431080346,16.645726633861482,16.627073189739075,16.638802963250594,0.02423165170218962,16.58705431080346,16.645726633861482
lc_vs_be_long,long1,naive,50,1,1,0,be_first,5,1.0,1.0,0.0,1.0,1.0,80.0,80.0,0.0,80.0,80.0,11.570091955,11.587591825,0.04293919192577641,11.5125917375,11.6125924,11.9000943,12.000095,0.22360836299756323,11.5000915,12.000095,12.01009607,12.000096,0.022360836299755292,12.000096,12.050096349999997,12.326098481999995,12.210097469999994,0.3875982975064797,12.000096,13.000104,12.8001018,13.000103,0.4472168377987351,12.000096,13.000104,11.000087,11.000087,0.0,11.000087,11.000087,0.5304287372414902,0.5203192842978208,0.031657377206403645,0.5017414786606211,0.5844821228408501,925.6073564,927.007346,3.435135354062084,921.007339,929.007392,1148.2091262000001,1148.009113,2.387484219981756,1145.009125,1151.00915,69.67396004219452,69.68585797280164,0.14491157457174594,69.50422592209627,69.86843882139367,69.67396004219452,69.68585797280164,0.14491157457174594,69.50422592209627,69.86843882139367
lc_vs_be_long,long1,none,0,1,1,0,be_first,5,1.0,1.0,0.0,1.0,1.0,80.0,80.0,0.0,80.0,80.0,11.7750936025,11.7250933625,0.1131933792008447,11.6750926625,11.950095274999999,12.0000952,12.000095,4.4721359516526307e-07,12.000095,12.000096,13.000103209999999,13.000103,4.421538197949876e-07,13.000103,13.000104,13.326106323999996,13.210105469999993,0.3875983566148744,13.000104,14.000112000000001,13.8001098,14.000111,0.4472168377992937,13.000104,14.000112,11.000087,11.000087,0.0,11.000087,11.000087,0.6719660839715202,0.65168263663189,0.0640207195054267,0.5948134475311818,0.7614172179460535,942.0074882,938.007469,9.055470336067598,934.007413,956.007622,1162.0092358,1161.009241,4.94980403686018,1158.009177,1170.009324,68.84726466815451,68.90556696266641,0.292286606398826,68.37552347574282,69.08408118772621,68.84726466815451,68.90556696266641,0.292286606398826,68.37552347574282,69.08408118772621
lc_vs_be_long,long1,proper,50,1,1,0,be_first,5,1.0,1.0,0.0,1.0,1.0,80.0,80.0,0.0,80.0,80.0,11.607592225,11.612592574999999,0.033773402767688705,11.5500916625,11.6375921,12.000095,12.000095,0.0,12.000095,12.000095,12.000096,12.000096,0.0,12.000096,12.000096,12.684101029999997,13.000103,0.4327039743983438,12.210097469999994,13.000104,13.0001034,13.000103,5.47722558068201e-07,13.000103,13.000104,11.0000868,11.000087,4.47213595959674e-07,11.000086,11.000087,0.534664112695102,0.5335320782291906,0.017551748776231207,0.5154306746758031,0.5624078189068175,928.607378,929.007406,2.701872221415083,924.007333,931.007368,1147.6091222,1148.009139,1.816617516427964,1145.009075,1150.009142,69.71028624841718,69.68585639456307,0.11037687768823155,69.56466438246801,69.86844187239302,69.71028624841718,69.68585639456307,0.11037687768823155,69.56466438246801,69.86844187239302
lc_vs_mixed,mixed2,naive,50,2,1,1,be_first,5,2.0,2.0,0.0,2.0,2.0,160.0,160.0,0.0,160.0,160.0,35.545282745,35.5502834875,0.041316972345935746,35.47528145625,35.58153341875,35.800284600000005,36.000285500000004,0.2738631957826764,35.5002815,36.0002865,59.21047108,59.000471,0.4421571474174446,59.000468,60.000477,61.174486628,60.82048355999999,0.9452478393635831,60.41048169,62.82049914999999,66.40052779999999,66.000526,1.673332961537455,64.000509,68.000541,11.400090200000001,11.000087,0.5477269392856258,11.000087,12.000095,22.27162176632309,22.257943266402155,0.07500674067850586,22.184502229632646,22.388068332951995,5687.2452392000005,5688.045358,6.610715575349838,5676.045033,5693.045347,4889.4388938,4886.03892,22.188044973581455,4857.03853,4917.039064,32.724131056171245,32.7463621595548,0.14868231418481534,32.53990824914057,32.9418840331909,16.362065528085623,16.3731810797774,0.07434115709240767,16.269954124570283,16.47094201659545
lc_vs_mixed,mixed2,none,0,2,1,1,be_first,5,2.0,2.0,0.0,2.0,2.0,160.0,160.0,0.0,160.0,160.0,35.45903203875,35.38778219375,0.11358953273410374,35.36903051875,35.63153380625,36.1002868,36.0002865,0.22360830709624746,36.000285500000004,36.5002895,58.80046781,59.000469,0.447217402405984,58.000461,59.000470050000004,61.656490284,61.82049214999999,1.2048456286107467,60.41048087,63.41050328,66.2005264,66.000523,1.303850950113278,65.000517,68.000542,11.0000876,11.000088,5.477225570952503e-07,11.000087,11.000088,22.179681517325566,22.141230196391955,0.10985986577027719,22.072275885204714,22.35850123578415,5673.4451262,5662.045151,18.174325237456827,5659.044883,5701.045409,4877.2387908,4880.038912,17.641040803683193,4848.038452,4892.038912,32.80579173890458,32.78662381288815,0.11904322747746865,32.70619937374693,33.003038565833556,16.40289586945229,16.393311906444076,0.059521613738734325,16.353099686873463,16.501519282916778
