case,worker_config,policy,delay_us,total_be_workers,long_be_workers,chunked_be_workers,start_order,n,count_mean,count_median,count_stdev,count_min,count_max,mean_ms_mean,mean_ms_median,mean_ms_stdev,mean_ms_min,mean_ms_max,p50_ms_mean,p50_ms_median,p50_ms_stdev,p50_ms_min,p50_ms_max,p95_ms_mean,p95_ms_median,p95_ms_stdev,p95_ms_min,p95_ms_max,p99_ms_mean,p99_ms_median,p99_ms_stdev,p99_ms_min,p99_ms_max,max_ms_mean,max_ms_median,max_ms_stdev,max_ms_min,max_ms_max,min_ms_mean,min_ms_median,min_ms_stdev,min_ms_min,min_ms_max,stdev_ms_mean,stdev_ms_median,stdev_ms_stdev,stdev_ms_min,stdev_ms_max
lc_alone,lc_only,none,0,0,0,0,be_first,5,50.0,50.0,0.0,50.0,50.0,19.840157672,19.82015726,0.046904530700815954,19.8001574,19.90015856,20.0001588,20.000159,4.47213595959674e-07,20.000158,20.000159,20.11016037,20.00016,0.2459694229046239,20.000159,20.550163849999997,20.604164232,20.51016357,0.4171720993064673,20.00016,21.000168,20.800165800000002,21.000167,0.4472168377987347,20.00016,21.000168,19.0001506,19.000151,5.477225561222996e-07,19.00015,19.000151,0.4382910275168657,0.4375290236580609,0.02218839633382081,0.4040641998015989,0.4629138325229308
lc_vs_be_chunked,chunked1,naive,50,1,0,1,be_first,5,50.0,50.0,0.0,50.0,50.0,20.324161584,20.36016214,0.08876985164066775,20.22016076,20.4201619,20.0001593,20.000159,4.4721359615827675e-07,20.000159,20.00016,21.0001674,21.000167,5.477225561222996e-07,21.000167,21.000168,21.80817346,22.000175,0.272160215691012,21.51017057,22.020174649999994,22.2001764,22.000175,0.44721672599568507,22.000174,23.000182,19.200152199999998,19.000151,0.4472168377987347,19.00015,20.000158,0.6271540240166894,0.6417501612106763,0.0645874061840222,0.5303102834689581,0.6869091494669721
lc_vs_be_chunked,chunked1,none,0,1,0,1,be_first,5,50.0,50.0,0.0,50.0,50.0,20.424162356,20.42016236,0.08763615943430743,20.34016146,20.54016284,20.0001594,20.000159,5.47722558068201e-07,20.000159,20.00016,21.11016808,21.00016755,0.2459690260024081,21.000167,21.55017085,21.910174377999997,21.510172079999997,0.9721956538192534,21.000167,23.530186729999997,22.4001782,22.000175,1.51658672687575,21.000167,25.000198,19.2001526,19.000151,0.44721717320928106,19.00015,20.000159,0.6229952577338341,0.5573303948281847,0.1503638429517865,0.5194229993584217,0.885490854795799
lc_vs_be_chunked,chunked1,proper,50,1,0,1,be_first,5,50.0,50.0,0.0,50.0,50.0,20.308161484,20.32016116,0.13608934609803952,20.16016054,20.46016306,20.0001592,20.000159,4.47213595959674e-07,20.000159,20.00016,21.0001674,21.000167,5.477225561222996e-07,21.000167,21.000168,21.608172059999998,21.51017108,0.21913659040371566,21.510171059999998,22.00017551,22.000175,22.000175,7.071067806573485e-07,22.000174,22.000176,19.0001508,19.000151,4.4721359437085215e-07,19.00015,19.000151,0.6280593931793899,0.6455550252601153,0.06922295068917111,0.5225567880645166,0.7102801022875417
lc_vs_be_long,long1,naive,50,1,1,0,be_first,5,50.0,50.0,0.0,50.0,50.0,20.328161564000002,20.30016168,0.14669835623475355,20.14015968,20.52016336,20.0001591,20.000159,2.2360679877424794e-07,20.000159,20.000159500000002,21.62017225,21.00016755,0.848976901952098,21.000167,22.55017985,22.812181092,23.000183,0.5755654568889057,22.000174,23.530186729999997,23.4001856,23.000183,1.140184371091053,22.000174,25.000198,19.0001508,19.000151,4.4721359437085215e-07,19.00015,19.000151,0.8676354988675589,0.8628451664539173,0.10994175272667543,0.7287172750612629,1.0119772059540382
lc_vs_be_long,long1,none,0,1,1,0,be_first,5,50.0,50.0,0.0,50.0,50.0,20.264161052000002,20.24016068,0.19869762878197286,20.08015916,20.54016354,20.0001592,20.000159,4.47213595959674e-07,20.000159,20.00016,21.82017365,21.55017085,0.9142012552267591,21.000167,23.00018355,22.302177416,22.510178079999996,0.837276215694274,21.000167,23.000184,22.4001782,23.000182,0.894434346417723,21.000167,23.000184,19.0001504,19.00015,5.477225561222996e-07,19.00015,19.000151,0.8078637902096358,0.8040776782714102,0.11919892576569686,0.6869091625394963,0.9521266084010218
lc_vs_be_long,long1,proper,50,1,1,0,be_first,5,50.0,50.0,0.0,50.0,50.0,20.328161576,20.38016222,0.1905797173962436,20.100159820000002,20.580164,20.0001592,20.000159,4.47213595959674e-07,20.000159,20.00016,22.02017496,22.550178399999997,0.9490859534603413,21.000167,23.000183,22.302177416,23.000182,1.2066661909632184,21.000167,23.510187079999998,22.4001782,23.000182,1.3416515196263519,21.000167,24.000191,19.2001524,19.000151,0.44721728501233066,19.00015,20.000159,0.8395930798143064,0.9035150361002801,0.1908401884019462,0.5602522165440478,1.0279842336132594
lc_vs_mixed,mixed2,naive,50,2,1,1,be_first,5,50.0,50.0,0.0,50.0,50.0,20.652164272,20.68016496,0.11009171013677282,20.46016278,20.74016476,20.6001638,21.000166,0.547726254632571,20.000159500000002,21.000167,22.00017531,22.000175,6.561249891275147e-07,22.000174549999997,22.000176,22.804181432,23.000183,0.5718696157764497,22.000175,23.510186079999997,23.000183,23.000183,0.707112084487672,22.000175,24.00019,19.000151,19.000151,7.071067806573485e-07,19.00015,19.000152,0.9417450266081941,0.9354763134984283,0.07203149481696042,0.8437108751589432,1.0460893527540611
lc_vs_mixed,mixed2,none,0,2,1,1,be_first,5,50.0,50.0,0.0,50.0,50.0,20.464162768,20.42016194,0.21279289537890927,20.20016052,20.70016502,20.2001608,20.000159,0.4472170614055331,20.000159,21.000167,21.71017288,22.000175,0.6859355084701018,21.000167,22.55017985,22.502178816,22.51017957,0.500023875715279,22.00017451,23.000183,22.6001796,23.000182,0.5477267567115929,22.000175,23.000183,19.0001506,19.000151,5.477225561222996e-07,19.00015,19.000151,0.8702660705192943,0.9529835705676015,0.13494237933411043,0.7174274165322391,0.9816764403454075
lc_vs_mixed,mixed2,proper,50,2,1,1,be_first,5,50.0,50.0,0.0,50.0,50.0,20.636164136,20.68016454,0.18297699298713102,20.38016186,20.86016632,20.4001624,20.00016,0.5477267567115929,20.000159,21.000167,22.200176709999997,22.000175,0.44721686015941436,22.000175,23.000182549999998,22.706180745999998,22.51017957,0.5718699017089407,22.000175,23.510187079999998,23.000183,23.000183,0.7071124380407978,22.000175,24.000191,19.0001508,19.000151,4.4721359437085215e-07,19.00015,19.000151,0.9858050696394683,0.9874804397241892,0.12555952568639167,0.8134144411690055,1.1612892209857213
