case,worker_config,policy,delay_us,total_be_workers,long_be_workers,chunked_be_workers,start_order,n,lc_p50_ms_mean,lc_p95_ms_mean,lc_p99_ms_mean,lc_max_ms_mean,be_agg_thr_s_mean,be_per_proc_thr_s_mean,be_wall_ms_mean,be_total_active_ms_mean,be_phase_count_mean,overlap_union_ms_mean,overlap_weighted_ms_mean,overlap_count_mean,max_concurrent_be_mean
lc_alone,lc_only,none,0,0,0,0,be_first,5,20.0001588,20.11016037,20.604164232,20.800165800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lc_vs_be_chunked,chunked1,naive,50,1,0,1,be_first,5,20.0001593,21.0001674,21.80817346,22.2001764,16.601584568164704,16.601584568164704,4818.8383142,4595.8365424,80.0,19.3561539,19.3561539,1.276,1.0
lc_vs_be_chunked,chunked1,none,0,1,0,1,be_first,5,20.0001594,21.11016808,21.910174377999997,22.4001782,16.66475656164987,16.66475656164987,4800.638163,4568.4363142,80.0,19.364153904000002,19.364153904000002,1.328,1.0
lc_vs_be_chunked,chunked1,proper,50,1,0,1,be_first,5,20.0001592,21.0001674,21.608172059999998,22.000175,16.627073189739075,16.627073189739075,4811.438261,4585.4364678,80.0,19.3401538,19.3401538,1.296,1.0
lc_vs_be_long,long1,naive,50,1,1,0,be_first,5,20.0001591,21.62017225,22.812181092,23.4001856,69.67396004219452,69.67396004219452,1148.2091262000001,925.6073564,80.0,15.412122496,15.412122496,1.976,0.944
lc_vs_be_long,long1,none,0,1,1,0,be_first,5,20.0001592,21.82017365,22.302177416,22.4001782,68.84726466815451,68.84726466815451,1162.0092358,942.0074882,80.0,15.408122484,15.408122484,1.992,0.94
lc_vs_be_long,long1,proper,50,1,1,0,be_first,5,20.0001592,22.02017496,22.302177416,22.4001782,69.71028624841718,69.71028624841718,1147.6091222,928.607378,80.0,15.416122484,15.416122484,1.98,0.94
lc_vs_mixed,mixed2,naive,50,2,1,1,be_first,5,20.6001638,22.00017531,22.804181432,23.000183,32.724131056171245,16.362065528085623,4889.4388938,5687.2452392000005,160.0,20.500163052,36.42828976,3.324,2.0
lc_vs_mixed,mixed2,none,0,2,1,1,be_first,5,20.2001608,21.71017288,22.502178816,22.6001796,32.80579173890458,16.40289586945229,4877.2387908,5673.4451262,160.0,20.2921614,36.328288964,3.308,2.0
lc_vs_mixed,mixed2,proper,50,2,1,1,be_first,5,20.4001624,22.200176709999997,22.706180745999998,23.000183,32.68887423053593,16.344437115267965,4894.638941,5692.0452858,160.0,20.444162612,36.492290236,3.276,2.0
