run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,phase_type,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms
lc_alone/lc_only/none/delay_0/r1,out_core/lc_alone/lc_only/none/delay_0/r1,lc_alone,lc_only,none,0,1,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_DECODE_STEP,50,3.160025,3.000024,4.000032,4.000032,4.000032,3.000023,0.3703309606512774
lc_alone/lc_only/none/delay_0/r1,out_core/lc_alone/lc_only/none/delay_0/r1,lc_alone,lc_only,none,0,1,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SUBMISSION,50,2.9400232799999997,3.000024,3.000024,3.000024,3.000024,2.000016,0.2398997954154379
lc_alone/lc_only/none/delay_0/r1,out_core/lc_alone/lc_only/none/delay_0/r1,lc_alone,lc_only,none,0,1,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SYNC,50,3.00002376,3.000024,3.000024,3.000024,3.000024,3.000023,4.314191104556143e-07
lc_alone/lc_only/none/delay_0/r1,out_core/lc_alone/lc_only/none/delay_0/r1,lc_alone,lc_only,none,0,1,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_REQUEST,50,19.88015754,20.000158,20.000159,21.00016651,21.000167,19.00015,0.4351905161173647
lc_alone/lc_only/none/delay_0/r2,out_core/lc_alone/lc_only/none/delay_0/r2,lc_alone,lc_only,none,0,2,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_DECODE_STEP,50,3.2200255799999997,3.000024,4.000032,4.000032,4.000032,3.000023,0.4184553530075303
lc_alone/lc_only/none/delay_0/r2,out_core/lc_alone/lc_only/none/delay_0/r2,lc_alone,lc_only,none,0,2,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SUBMISSION,50,2.9800236,3.000024,3.000024,3.000024,3.000024,2.000016,0.14142245297501166
lc_alone/lc_only/none/delay_0/r2,out_core/lc_alone/lc_only/none/delay_0/r2,lc_alone,lc_only,none,0,2,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SYNC,50,2.96002346,3.000024,3.000024,3.000024,3.000024,2.000016,0.1979502019486688
lc_alone/lc_only/none/delay_0/r2,out_core/lc_alone/lc_only/none/delay_0/r2,lc_alone,lc_only,none,0,2,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_REQUEST,50,19.82015726,20.000159,20.000159,20.510163079999998,21.000167,19.00015,0.4375290236580609
lc_alone/lc_only/none/delay_0/r3,out_core/lc_alone/lc_only/none/delay_0/r3,lc_alone,lc_only,none,0,3,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_DECODE_STEP,50,3.1600251399999997,3.000024,4.000032,4.000032,4.000032,3.000023,0.3703309540381641
lc_alone/lc_only/none/delay_0/r3,out_core/lc_alone/lc_only/none/delay_0/r3,lc_alone,lc_only,none,0,3,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SUBMISSION,50,2.9800236399999998,3.000024,3.000024,3.000024,3.000024,2.000016,0.1414224587472324
lc_alone/lc_only/none/delay_0/r3,out_core/lc_alone/lc_only/none/delay_0/r3,lc_alone,lc_only,none,0,3,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SYNC,50,2.96002354,3.000024,3.000024,3.000024,3.000024,2.000016,0.19795021844426192
lc_alone/lc_only/none/delay_0/r3,out_core/lc_alone/lc_only/none/delay_0/r3,lc_alone,lc_only,none,0,3,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_REQUEST,50,19.8001574,20.000159,20.00016,20.51016357,21.000167,19.000151,0.4517575654843733
lc_alone/lc_only/none/delay_0/r4,out_core/lc_alone/lc_only/none/delay_0/r4,lc_alone,lc_only,none,0,4,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_DECODE_STEP,50,3.1200248399999997,3.000024,4.000032,4.000032,4.000032,3.000023,0.32826326916689474
lc_alone/lc_only/none/delay_0/r4,out_core/lc_alone/lc_only/none/delay_0/r4,lc_alone,lc_only,none,0,4,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SUBMISSION,50,3.0000238599999998,3.000024,3.000024,3.5100275699999974,4.000031,2.000016,0.20203202413953777
lc_alone/lc_only/none/delay_0/r4,out_core/lc_alone/lc_only/none/delay_0/r4,lc_alone,lc_only,none,0,4,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SYNC,50,2.9200232799999997,3.000024,3.000024,3.00002451,3.000025,2.000016,0.2740496841679863
lc_alone/lc_only/none/delay_0/r4,out_core/lc_alone/lc_only/none/delay_0/r4,lc_alone,lc_only,none,0,4,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_REQUEST,50,19.8001576,20.000159,20.00016,20.00016,20.00016,19.000151,0.4040641998015989
lc_alone/lc_only/none/delay_0/r5,out_core/lc_alone/lc_only/none/delay_0/r5,lc_alone,lc_only,none,0,5,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_DECODE_STEP,50,3.08002458,3.000024,4.00003155,4.000032,4.000032,3.000023,0.2740496514013243
lc_alone/lc_only/none/delay_0/r5,out_core/lc_alone/lc_only/none/delay_0/r5,lc_alone,lc_only,none,0,5,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SUBMISSION,50,2.9400234199999997,3.000024,3.000024,3.00002451,3.000025,2.000016,0.23989983114481297
lc_alone/lc_only/none/delay_0/r5,out_core/lc_alone/lc_only/none/delay_0/r5,lc_alone,lc_only,none,0,5,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SYNC,50,2.9000231199999997,3.000024,3.000024,3.00002451,3.000025,2.000016,0.303048160794559
lc_alone/lc_only/none/delay_0/r5,out_core/lc_alone/lc_only/none/delay_0/r5,lc_alone,lc_only,none,0,5,0,0,0,be_first,0.05,50,80,8,64,512,1048576,LC_REQUEST,50,19.90015856,20.000159,20.550163849999997,21.000168,21.000168,19.000151,0.4629138325229308
lc_vs_be_chunked/chunked1/naive/delay_50/r1,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r1,lc_vs_be_chunked,chunked1,naive,50,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_DECODE_STEP,50,3.18002522,3.000024,4.000032,4.000032,4.000032,2.000016,0.5225567841591053
lc_vs_be_chunked/chunked1/naive/delay_50/r1,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r1,lc_vs_be_chunked,chunked1,naive,50,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SUBMISSION,50,2.96002346,3.000024,3.000024,4.000032,4.000032,2.000015,0.3475892438742456
lc_vs_be_chunked/chunked1/naive/delay_50/r1,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r1,lc_vs_be_chunked,chunked1,naive,50,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SYNC,50,2.9000229799999997,3.000024,3.000024,3.510028079999998,4.000032,2.000016,0.36421853163151363
lc_vs_be_chunked/chunked1/naive/delay_50/r1,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r1,lc_vs_be_chunked,chunked1,naive,50,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_REQUEST,50,20.4201619,20.000159,21.000167,22.020174649999994,23.000182,19.000151,0.6417501612106763
lc_vs_be_chunked/chunked1/naive/delay_50/r2,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r2,lc_vs_be_chunked,chunked1,naive,50,2,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_DECODE_STEP,50,3.06002426,3.000024,4.00003155,4.000032,4.000032,2.000015,0.3730762476218288
lc_vs_be_chunked/chunked1/naive/delay_50/r2,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r2,lc_vs_be_chunked,chunked1,naive,50,2,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SUBMISSION,50,2.8200223799999997,3.000024,3.000024,3.000024,3.000024,2.000015,0.3880910065916787
lc_vs_be_chunked/chunked1/naive/delay_50/r2,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r2,lc_vs_be_chunked,chunked1,naive,50,2,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_PREFILL_SYNC,50,2.8000221599999997,3.000024,3.000024,3.000024,3.000024,2.000015,0.40406423010620574
lc_vs_be_chunked/chunked1/naive/delay_50/r2,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r2,lc_vs_be_chunked,chunked1,naive,50,2,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_REQUEST,50,20.38016182,20.000159,21.000167,21.51017057,22.000174,20.000158,0.5303102834689581
lc_vs_be_chunked/chunked1/naive/delay_50/r3,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r3,lc_vs_be_chunked,chunked1,naive,50,3,0,1,1,be_first,0.05,50,80,8,64,512,1048576,LC_DECODE_STEP,50,3.020024,3.000024,4.00003155,4.000032,4.000032,2.000016,0.3774271115046924
