run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms
lc_alone/lc_only/none/delay_0/r1,out_core/lc_alone/lc_only/none/delay_0/r1,lc_alone,lc_only,none,0,1,0,0,0,be_first,0.05,50,80,8,64,512,1048576,50,19.88015754,20.000158,20.000159,21.00016651,21.000167,19.00015,0.4351905161173647
lc_alone/lc_only/none/delay_0/r2,out_core/lc_alone/lc_only/none/delay_0/r2,lc_alone,lc_only,none,0,2,0,0,0,be_first,0.05,50,80,8,64,512,1048576,50,19.82015726,20.000159,20.000159,20.510163079999998,21.000167,19.00015,0.4375290236580609
lc_alone/lc_only/none/delay_0/r3,out_core/lc_alone/lc_only/none/delay_0/r3,lc_alone,lc_only,none,0,3,0,0,0,be_first,0.05,50,80,8,64,512,1048576,50,19.8001574,20.000159,20.00016,20.51016357,21.000167,19.000151,0.4517575654843733
lc_alone/lc_only/none/delay_0/r4,out_core/lc_alone/lc_only/none/delay_0/r4,lc_alone,lc_only,none,0,4,0,0,0,be_first,0.05,50,80,8,64,512,1048576,50,19.8001576,20.000159,20.00016,20.00016,20.00016,19.000151,0.4040641998015989
lc_alone/lc_only/none/delay_0/r5,out_core/lc_alone/lc_only/none/delay_0/r5,lc_alone,lc_only,none,0,5,0,0,0,be_first,0.05,50,80,8,64,512,1048576,50,19.90015856,20.000159,20.550163849999997,21.000168,21.000168,19.000151,0.4629138325229308
lc_vs_be_chunked/chunked1/naive/delay_50/r1,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r1,lc_vs_be_chunked,chunked1,naive,50,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,50,20.4201619,20.000159,21.000167,22.020174649999994,23.000182,19.000151,0.6417501612106763
lc_vs_be_chunked/chunked1/naive/delay_50/r2,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r2,lc_vs_be_chunked,chunked1,naive,50,2,0,1,1,be_first,0.05,50,80,8,64,512,1048576,50,20.38016182,20.000159,21.000167,21.51017057,22.000174,20.000158,0.5303102834689581
lc_vs_be_chunked/chunked1/naive/delay_50/r3,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r3,lc_vs_be_chunked,chunked1,naive,50,3,0,1,1,be_first,0.05,50,80,8,64,512,1048576,50,20.22016076,20.000159,21.000167,22.000175,22.000175,19.00015,0.678839996198003
lc_vs_be_chunked/chunked1/naive/delay_50/r4,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r4,lc_vs_be_chunked,chunked1,naive,50,4,0,1,1,be_first,0.05,50,80,8,64,512,1048576,50,20.36016214,20.000159500000002,21.000168,22.00017551,22.000176,19.000151,0.5979605297388377
lc_vs_be_chunked/chunked1/naive/delay_50/r5,out_core/lc_vs_be_chunked/chunked1/naive/delay_50/r5,lc_vs_be_chunked,chunked1,naive,50,5,0,1,1,be_first,0.05,50,80,8,64,512,1048576,50,20.2401613,20.00016,21.000168,21.510171569999997,22.000175,19.000151,0.6869091494669721
lc_vs_be_chunked/chunked1/none/delay_0/r1,out_core/lc_vs_be_chunked/chunked1/none/delay_0/r1,lc_vs_be_chunked,chunked1,none,0,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,50,20.54016284,20.000159,21.55017085,23.530186729999997,25.000198,19.00015,0.885490854795799
lc_vs_be_chunked/chunked1/none/delay_0/r2,out_core/lc_vs_be_chunked/chunked1/none/delay_0/r2,lc_vs_be_chunked,chunked1,none,0,2,0,1,1,be_first,0.05,50,80,8,64,512,1048576,50,20.34016146,20.000159,21.000167,21.000167,21.000167,19.000151,0.5194229993584217
lc_vs_be_chunked/chunked1/none/delay_0/r3,out_core/lc_vs_be_chunked/chunked1/none/delay_0/r3,lc_vs_be_chunked,chunked1,none,0,3,0,1,1,be_first,0.05,50,80,8,64,512,1048576,50,20.42016236,20.000159,21.000167,22.00017451,22.000175,19.000151,0.6091192182682009
lc_vs_be_chunked/chunked1/none/delay_0/r4,out_core/lc_vs_be_chunked/chunked1/none/delay_0/r4,lc_vs_be_chunked,chunked1,none,0,4,0,1,1,be_first,0.05,50,80,8,64,512,1048576,50,20.48016304,20.00016,21.00016755,21.510172079999997,22.000176,20.000159,0.5436128214185642
lc_vs_be_chunked/chunked1/none/delay_0/r5,out_core/lc_vs_be_chunked/chunked1/none/delay_0/r5,lc_vs_be_chunked,chunked1,none,0,5,0,1,1,be_first,0.05,50,80,8,64,512,1048576,50,20.34016208,20.00016,21.000168,21.510171569999997,22.000175,19.000152,0.5573303948281847
lc_vs_be_chunked/chunked1/proper/delay_50/r1,out_core/lc_vs_be_chunked/chunked1/proper/delay_50/r1,lc_vs_be_chunked,chunked1,proper,50,1,0,1,1,be_first,0.05,50,80,8,64,512,1048576,50,20.32016116,20.000159,21.000167,21.51017108,22.000175,19.00015,0.652785817944605
lc_vs_be_chunked/chunked1/proper/delay_50/r2,out_core/lc_vs_be_chunked/chunked1/proper/delay_50/r2,lc_vs_be_chunked,chunked1,proper,50,2,0,1,1,be_first,0.05,50,80,8,64,512,1048576,50,20.18016032,20.000159,21.000167,21.51017108,22.000175,19.000151,0.5225567880645166
lc_vs_be_chunked/chunked1/proper/delay_50/r3,out_core/lc_vs_be_chunked/chunked1/proper/delay_50/r3,lc_vs_be_chunked,chunked1,proper,50,3,0,1,1,be_first,0.05,50,80,8,64,512,1048576,50,20.42016234,20.000159,21.000167,21.510171059999998,22.000174,19.000151,0.6091192323401705
lc_vs_be_chunked/chunked1/proper/delay_50/r4,out_core/lc_vs_be_chunked/chunked1/proper/delay_50/r4,lc_vs_be_chunked,chunked1,proper,50,4,0,1,1,be_first,0.05,50,80,8,64,512,1048576,50,20.16016054,20.000159,21.000168,21.510171569999997,22.000175,19.000151,0.7102801022875417
lc_vs_be_chunked/chunked1/proper/delay_50/r5,out_core/lc_vs_be_chunked/chunked1/proper/delay_50/r5,lc_vs_be_chunked,chunked1,proper,50,5,0,1,1,be_first,0.05,50,80,8,64,512,1048576,50,20.46016306,20.00016,21.000168,22.00017551,22.000176,19.000151,0.6455550252601153
lc_vs_be_long/long1/naive/delay_50/r1,out_core/lc_vs_be_long/long1/naive/delay_50/r1,lc_vs_be_long,long1,naive,50,1,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.14015968,20.000159,21.000167,22.000174,22.000174,19.00015,0.7287172750612629
lc_vs_be_long/long1/naive/delay_50/r2,out_core/lc_vs_be_long/long1/naive/delay_50/r2,lc_vs_be_long,long1,naive,50,2,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.2601608,20.000159,21.000167,22.530178729999996,24.00019,19.000151,0.803315771419424
lc_vs_be_long/long1/naive/delay_50/r3,out_core/lc_vs_be_long/long1/naive/delay_50/r3,lc_vs_be_long,long1,naive,50,3,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.4201623,20.000159,21.00016755,23.530186729999997,25.000198,19.000151,1.0119772059540382
lc_vs_be_long/long1/naive/delay_50/r4,out_core/lc_vs_be_long/long1/naive/delay_50/r4,lc_vs_be_long,long1,naive,50,4,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.52016336,20.000159500000002,22.55017985,23.000183,23.000183,19.000151,0.8628451664539173
lc_vs_be_long/long1/naive/delay_50/r5,out_core/lc_vs_be_long/long1/naive/delay_50/r5,lc_vs_be_long,long1,naive,50,5,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.30016168,20.000159,22.55017985,23.000183,23.000183,19.000151,0.931322075449152
lc_vs_be_long/long1/none/delay_0/r1,out_core/lc_vs_be_long/long1/none/delay_0/r1,lc_vs_be_long,long1,none,0,1,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.08015916,20.000159,21.000167,22.510178079999996,23.000182,19.00015,0.8040776782714102
lc_vs_be_long/long1/none/delay_0/r2,out_core/lc_vs_be_long/long1/none/delay_0/r2,lc_vs_be_long,long1,none,0,2,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.24016068,20.000159,21.55017085,22.000175,22.000175,19.00015,0.6869091625394963
lc_vs_be_long/long1/none/delay_0/r3,out_core/lc_vs_be_long/long1/none/delay_0/r3,lc_vs_be_long,long1,none,0,3,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.08015946,20.000159,21.000167,21.000167,21.000167,19.00015,0.695178355054628
lc_vs_be_long/long1/none/delay_0/r4,out_core/lc_vs_be_long/long1/none/delay_0/r4,lc_vs_be_long,long1,none,0,4,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.54016354,20.000159,22.55017985,23.000183,23.000183,19.000151,0.9521266084010218
lc_vs_be_long/long1/none/delay_0/r5,out_core/lc_vs_be_long/long1/none/delay_0/r5,lc_vs_be_long,long1,none,0,5,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.38016242,20.00016,23.00018355,23.000184,23.000184,19.000151,0.901027146781623
lc_vs_be_long/long1/proper/delay_50/r1,out_core/lc_vs_be_long/long1/proper/delay_50/r1,lc_vs_be_long,long1,proper,50,1,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.40016166,20.000159,22.550178399999997,23.000182,23.000182,19.00015,0.9035150361002801
lc_vs_be_long/long1/proper/delay_50/r2,out_core/lc_vs_be_long/long1/proper/delay_50/r2,lc_vs_be_long,long1,proper,50,2,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.18016018,20.000159,21.000167,21.000167,21.000167,19.000151,0.5602522165440478
lc_vs_be_long/long1/proper/delay_50/r3,out_core/lc_vs_be_long/long1/proper/delay_50/r3,lc_vs_be_long,long1,proper,50,3,1,0,1,be_first,0.05,50,80,8,64,512,1048576,50,20.100159820000002,20.000159,21.000167,21.000167,21.000167,19.000151,0.7354079778677821
