run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,be_phase_types,be_granularities,be_processes,be_phase_count,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms,total_active_ms,wall_time_ms,aggregate_throughput_phases_per_s,per_process_throughput_phases_per_s
lc_vs_be_long/long4/proper/delay_10000/r1,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_10000/r1,lc_vs_be_long,long4,proper,10000,1,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,31.000293340625,33.000312,39.000369,39.00037,40.000379,11.000104,6.139503534674546,9920.093869,3486.032987,91.79488581815878,22.948721454539694
lc_vs_be_long/long4/proper/delay_10000/r2,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_10000/r2,lc_vs_be_long,long4,proper,10000,2,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,30.947167703125,33.000312,38.00036,40.000378,49.000464,11.000104,6.029789219464494,9903.093665,3524.033332,90.80504349781218,22.701260874453045
lc_vs_be_long/long4/proper/delay_10000/r3,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_10000/r3,lc_vs_be_long,long4,proper,10000,3,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,31.278420725,33.000312,39.000369,40.000378,41.000388,11.000103,5.985998102933271,10009.094632,3455.032666,92.6185165046425,23.154629126160625
lc_vs_be_long/long4/proper/delay_10000/r4,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_10000/r4,lc_vs_be_long,long4,proper,10000,4,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,30.58466403125,33.000312,36.00034,39.000368,40.000378,11.000104,5.832544879825341,9787.09249,3474.032833,92.11196767062908,23.02799191765727
lc_vs_be_long/long4/proper/delay_10000/r5,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_10000/r5,lc_vs_be_long,long4,proper,10000,5,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,30.26903595625,33.000312,36.050341400000015,40.000378,45.000425,11.000104,6.659463032658803,9686.091506,3556.033596,89.9879012279163,22.496975306979074
lc_vs_be_long/long4/proper/delay_25000/r1,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_25000/r1,lc_vs_be_long,long4,proper,25000,1,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,30.965917984375,33.000312,33.000313,35.000331,38.00036,11.000103,5.724834453149123,9909.093755,3826.0362,83.63747316347921,20.909368290869804
lc_vs_be_long/long4/proper/delay_25000/r2,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_25000/r2,lc_vs_be_long,long4,proper,25000,2,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,31.537798290625,33.000312,34.000322,35.000331,42.000397,11.000104,4.937127310872668,10092.095453,3900.036885,82.0505060428422,20.51262651071055
lc_vs_be_long/long4/proper/delay_25000/r3,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_25000/r3,lc_vs_be_long,long4,proper,25000,3,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,31.57842353125,33.000312,34.100322900000016,38.81036648,43.000407,11.000104,5.172936654124816,10105.09553,3846.03636,83.20254153811483,20.800635384528707
lc_vs_be_long/long4/proper/delay_25000/r4,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_25000/r4,lc_vs_be_long,long4,proper,25000,4,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,31.4252969375,33.000312,34.000322,39.00036881,42.000396,11.000104,5.550109654619575,10056.09502,3840.036288,83.33254584077514,20.833136460193785
lc_vs_be_long/long4/proper/delay_25000/r5,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_25000/r5,lc_vs_be_long,long4,proper,25000,5,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,30.5659138,33.000312,34.000322,36.81034729,45.000425,11.000104,6.332694549616938,9781.092416,3808.035974,84.03281959121534,21.008204897803836
lc_vs_be_long/long4/proper/delay_5000/r1,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_5000/r1,lc_vs_be_long,long4,proper,5000,1,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,32.059678409375,33.000312,39.000369,40.000378999999995,44.000416,11.000104,5.3580412384616425,10259.097091,3363.031826,95.15223659973773,23.788059149934433
lc_vs_be_long/long4/proper/delay_5000/r2,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_5000/r2,lc_vs_be_long,long4,proper,5000,2,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,30.4127876625,33.000312,37.05035045000001,40.000378999999995,41.000389,11.000104,6.425312201843234,9732.092052,3628.034319,88.2020322476448,22.0505080619112
lc_vs_be_long/long4/proper/delay_5000/r3,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_5000/r3,lc_vs_be_long,long4,proper,5000,3,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,30.950292675,33.000312,39.000369,40.000378,41.000388,12.000113,6.02383427831865,9904.093656,3349.031668,95.55000720285813,23.88750180071453
lc_vs_be_long/long4/proper/delay_5000/r4,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_5000/r4,lc_vs_be_long,long4,proper,5000,4,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,32.3596809,33.000312,39.000369,40.000378,41.000388,11.000104,5.445613342844693,10355.097888,3432.032439,93.23921195023414,23.309802987558534
lc_vs_be_long/long4/proper/delay_5000/r5,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_5000/r5,lc_vs_be_long,long4,proper,5000,5,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,31.434672012500002,33.000312,39.000369,40.000378,54.00051,11.000103,6.30441489002005,10059.095044,3390.03203,94.39438836216542,23.598597090541354
lc_vs_be_long/long4/proper/delay_50000/r1,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_50000/r1,lc_vs_be_long,long4,proper,50000,1,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,31.059668859374998,33.000312,34.000322,35.81033848,39.000369,11.000104,5.495525156876491,9939.094035,3866.036574,82.77210881864771,20.693027204661927
lc_vs_be_long/long4/proper/delay_50000/r2,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_50000/r2,lc_vs_be_long,long4,proper,50000,2,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,31.415922059375,33.000312,34.000322,37.00035,38.000359,11.000104,5.112489953375013,10053.095059,3899.036872,82.07155010459209,20.517887526148023
lc_vs_be_long/long4/proper/delay_50000/r3,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_50000/r3,lc_vs_be_long,long4,proper,50000,3,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,31.30967095625,33.000312,34.000322,36.00034,38.00036,11.000104,5.748264349904219,10019.094706,3941.037253,81.19689803906554,20.299224509766386
lc_vs_be_long/long4/proper/delay_50000/r4,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_50000/r4,lc_vs_be_long,long4,proper,50000,4,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,31.319045975,33.000312,34.000322,38.810366290000005,40.000378,11.000104,5.3362365097033475,10022.094712,3848.036361,83.15929736091181,20.789824340227952
lc_vs_be_long/long4/proper/delay_50000/r5,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_50000/r5,lc_vs_be_long,long4,proper,50000,5,4,0,4,be_first,0.05,50,80,8,64,512,1048576,BE_LONG_BATCH,UNK,4,320,320,31.3502961125,33.000312,34.000322,38.000359,41.000388,11.000104,5.708431930275601,10032.094756,3918.037008,81.67355217590125,20.418388043975312
