run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms
lc_vs_be_long/long4/proper/delay_10000/r1,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_10000/r1,lc_vs_be_long,long4,proper,10000,1,4,0,4,be_first,0.05,50,80,8,64,512,1048576,50,22.34021142,21.000198,28.550269949999997,30.000283510000003,30.000284,20.000189,3.0945272751040442
lc_vs_be_long/long4/proper/delay_10000/r2,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_10000/r2,lc_vs_be_long,long4,proper,10000,2,4,0,4,be_first,0.05,50,80,8,64,512,1048576,50,22.44021228,21.000199,29.00027455,30.000284,30.000284,19.000179,3.2018155427662336
lc_vs_be_long/long4/proper/delay_10000/r3,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_10000/r3,lc_vs_be_long,long4,proper,10000,3,4,0,4,be_first,0.05,50,80,8,64,512,1048576,50,23.02021756,21.0001985,30.00028355,30.51028859,31.000293,19.000179,3.554220598092876
lc_vs_be_long/long4/proper/delay_10000/r4,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_10000/r4,lc_vs_be_long,long4,proper,10000,4,4,0,4,be_first,0.05,50,80,8,64,512,1048576,50,22.52021282,21.000199,29.000274,30.510288099999997,31.000293,19.00018,3.1638560088874548
lc_vs_be_long/long4/proper/delay_10000/r5,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_10000/r5,lc_vs_be_long,long4,proper,10000,5,4,0,4,be_first,0.05,50,80,8,64,512,1048576,50,22.54021298,21.000199,29.000274,31.000293,31.000293,19.00018,3.399972122126541
lc_vs_be_long/long4/proper/delay_25000/r1,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_25000/r1,lc_vs_be_long,long4,proper,25000,1,4,0,4,be_first,0.05,50,80,8,64,512,1048576,50,20.82019708,21.000198,23.100218899999994,26.000246,26.000246,19.00018,1.3656256056699518
lc_vs_be_long/long4/proper/delay_25000/r2,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_25000/r2,lc_vs_be_long,long4,proper,25000,2,4,0,4,be_first,0.05,50,80,8,64,512,1048576,50,21.14019992,20.000189,26.000246,29.51027859,30.000283,19.00018,2.4160407616909105
lc_vs_be_long/long4/proper/delay_25000/r3,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_25000/r3,lc_vs_be_long,long4,proper,25000,3,4,0,4,be_first,0.05,50,80,8,64,512,1048576,50,21.44020276,20.000189499999998,28.550269949999997,30.510288099999997,31.000293,19.000179,2.8796530566121925
lc_vs_be_long/long4/proper/delay_25000/r4,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_25000/r4,lc_vs_be_long,long4,proper,25000,4,4,0,4,be_first,0.05,50,80,8,64,512,1048576,50,21.38020216,21.000198,27.65026139999999,30.51028859,31.000293,20.000188,2.5546518751164142
lc_vs_be_long/long4/proper/delay_25000/r5,out_delay_long4_fixedpolicy/lc_vs_be_long/long4/proper/delay_25000/r5,lc_vs_be_long,long4,proper,25000,5,4,0,4,be_first,0.05,50,80,8,64,512,1048576,50,20.90019734,20.000189499999998,24.100227899999993,26.00024551,26.000246,19.000179,1.4742830523892447
