run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,be_phase_types,be_granularities,be_processes,be_phase_count,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms,total_active_ms,wall_time_ms,aggregate_throughput_phases_per_s,per_process_throughput_phases_per_s
lc_vs_mixed/mixed4/proper/delay_10000/r1,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_10000/r1,lc_vs_mixed,mixed4,proper,10000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,43.294158253125,42.000396,79.000745,85.000801,89.00084,12.000113,22.13008939677834,13854.130641,5450.051392,58.715042663583006,14.678760665895751
lc_vs_mixed/mixed4/proper/delay_10000/r2,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_10000/r2,lc_vs_mixed,mixed4,proper,10000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,41.862894615625,41.500391,80.000754,87.00082,89.000839,12.000113,22.789968712324967,13396.126277,5427.051153,58.96388130100972,14.74097032525243
lc_vs_mixed/mixed4/proper/delay_10000/r3,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_10000/r3,lc_vs_mixed,mixed4,proper,10000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,42.09414661875,40.5003815,79.000744,85.000801,93.000876,12.000113,22.676149793816133,13470.126918,5404.050916,59.214838086103626,14.803709521525906
lc_vs_mixed/mixed4/proper/delay_10000/r4,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_10000/r4,lc_vs_mixed,mixed4,proper,10000,4,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,41.466015465625,42.5004,81.05076345000002,86.81081729,92.000867,12.000113,22.899451260422662,13269.124949000001,5382.050688,59.456890793221746,14.864222698305436
lc_vs_mixed/mixed4/proper/delay_10000/r5,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_10000/r5,lc_vs_mixed,mixed4,proper,10000,5,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,42.0691460625,41.000386,80.05075350000001,86.00080980999999,92.000866,12.000113,22.973588326104917,13462.12674,5440.051216,58.82297561075021,14.705743902687553
lc_vs_mixed/mixed4/proper/delay_25000/r1,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_25000/r1,lc_vs_mixed,mixed4,proper,25000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,41.606642309375,41.5003915,80.05075450000001,86.000811,87.00082,12.000113,22.874438187307742,13314.125539,5383.050755,59.445844849738926,14.861461212434731
lc_vs_mixed/mixed4/proper/delay_25000/r2,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_25000/r2,lc_vs_mixed,mixed4,proper,25000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,42.4003996,41.0003865,84.05079245000002,87.00082,88.00083,12.000113,22.854997562677372,13568.127872000001,5415.051035,59.09454923539792,14.77363730884948
lc_vs_mixed/mixed4/proper/delay_25000/r3,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_25000/r3,lc_vs_mixed,mixed4,proper,25000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,42.8035282625,41.5003905,80.000754,83.81078929,91.000858,12.000113,21.93532021082454,13697.129044,5407.050939,59.18198360069121,14.795495900172803
lc_vs_mixed/mixed4/proper/delay_25000/r4,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_25000/r4,lc_vs_mixed,mixed4,proper,25000,4,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,42.125396725,41.5003905,79.000744,83.81078929,92.000867,12.000112,22.300877015245764,13480.126952,5380.050665,59.47899377263578,14.869748443158946
lc_vs_mixed/mixed4/proper/delay_25000/r5,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_25000/r5,lc_vs_mixed,mixed4,proper,25000,5,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,42.60977611875,41.5003905,78.000735,83.62078739,89.000838,12.000113,21.89466454582987,13635.128358,5409.050919,59.160101243631864,14.790025310907966
lc_vs_mixed/mixed4/proper/delay_5000/r1,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_5000/r1,lc_vs_mixed,mixed4,proper,5000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,42.572276490625,42.000396,77.00072605,84.000793,87.00082,14.000132,22.44054333237995,13623.128477,5382.050757,59.45689003096111,14.864222507740278
lc_vs_mixed/mixed4/proper/delay_5000/r2,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_5000/r2,lc_vs_mixed,mixed4,proper,5000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,43.83791323125,41.5003915,80.000754,83.00078281,84.000792,14.000132,22.199897903265747,14028.132234,5492.051771,58.266020304053676,14.566505076013419
lc_vs_mixed/mixed4/proper/delay_5000/r3,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_5000/r3,lc_vs_mixed,mixed4,proper,5000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,43.206657140625,41.5003915,78.000735,82.81078029,87.00082,13.000122,21.881647000715898,13826.130285,5454.051392,58.671981065190515,14.667995266297629
lc_vs_mixed/mixed4/proper/delay_5000/r4,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_5000/r4,lc_vs_mixed,mixed4,proper,5000,4,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,44.203541371875,42.000396,81.0507644,86.81081729,94.000885,12.000113,23.28594599773414,14145.133239,5617.052907,56.96937616542909,14.242344041357272
lc_vs_mixed/mixed4/proper/delay_5000/r5,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_5000/r5,lc_vs_mixed,mixed4,proper,5000,5,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,42.406649259375,41.000386,80.00075305000001,86.81081729,91.000857,13.000122,22.97363610896983,13570.127763,5458.05139,58.628982604724065,14.657245651181016
lc_vs_mixed/mixed4/proper/delay_50000/r1,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_50000/r1,lc_vs_mixed,mixed4,proper,50000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,42.334774178125,41.5003915,80.000754,82.8107811,85.000801,13.000123,22.214838010374518,13547.127737,5402.050929,59.23676103868883,14.809190259672208
lc_vs_mixed/mixed4/proper/delay_50000/r2,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_50000/r2,lc_vs_mixed,mixed4,proper,50000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,41.925395103125,41.000386500000005,78.000735,86.81081829,90.000848,13.000122,23.132399134101714,13416.126433,5472.051568,58.478981059193124,14.619745264798281
lc_vs_mixed/mixed4/proper/delay_50000/r3,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_50000/r3,lc_vs_mixed,mixed4,proper,50000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,42.341023846875004,40.500382,81.000763,86.00081,89.000838,14.000131,23.256854120700144,13549.127631,5450.051339,58.715043234567965,14.678760808641991
lc_vs_mixed/mixed4/proper/delay_50000/r4,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_50000/r4,lc_vs_mixed,mixed4,proper,50000,4,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,41.63164201875,40.0003775,82.05077245000001,88.000829,91.000857,12.000112,23.26349940951709,13322.125446,5387.050726,59.40170536274248,14.85042634068562
lc_vs_mixed/mixed4/proper/delay_50000/r5,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_50000/r5,lc_vs_mixed,mixed4,proper,50000,5,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,42.925404065625,41.0003855,82.00077105,84.00079081,86.000809,12.000113,22.232116068736932,13736.129301,5404.050868,59.21483861206318,14.803709653015796
