run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms
lc_vs_mixed/mixed4/proper/delay_10000/r1,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_10000/r1,lc_vs_mixed,mixed4,proper,10000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.5002028,21.000198,25.550240949999996,26.510250099999997,27.000255,19.000179,2.0726792875295397
lc_vs_mixed/mixed4/proper/delay_10000/r2,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_10000/r2,lc_vs_mixed,mixed4,proper,10000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.06019836,20.000189,25.550240499999994,27.51025859,28.000263,19.000179,2.014355246304778
lc_vs_mixed/mixed4/proper/delay_10000/r3,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_10000/r3,lc_vs_mixed,mixed4,proper,10000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.82019612,20.000189,24.000226,26.000245,26.000245,19.000179,1.6622001289909272
lc_vs_mixed/mixed4/proper/delay_10000/r4,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_10000/r4,lc_vs_mixed,mixed4,proper,10000,4,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.70019488,20.000189,24.000225550000003,25.510240099999997,26.000245,18.00017,1.5681931134370322
lc_vs_mixed/mixed4/proper/delay_10000/r5,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_10000/r5,lc_vs_mixed,mixed4,proper,10000,5,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.5002025,21.000198,26.000244549999998,27.000254,27.000254,19.000179,2.0628092446873123
lc_vs_mixed/mixed4/proper/delay_25000/r1,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_25000/r1,lc_vs_mixed,mixed4,proper,25000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.44019278,20.000189,21.550203399999997,24.510231589999997,25.000236,19.000179,1.1095240539223004
lc_vs_mixed/mixed4/proper/delay_25000/r2,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_25000/r2,lc_vs_mixed,mixed4,proper,25000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.76019568,20.000189,25.000236,26.510250099999997,27.000255,18.00017,1.7906957166625632
lc_vs_mixed/mixed4/proper/delay_25000/r3,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_25000/r3,lc_vs_mixed,mixed4,proper,25000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.8401964,20.500193,24.550231499999995,26.51024959,27.000254,19.000179,1.5954165882371047
lc_vs_mixed/mixed4/proper/delay_25000/r4,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_25000/r4,lc_vs_mixed,mixed4,proper,25000,4,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.5401934,20.000189,22.000207,23.510221100000003,24.000226,19.000179,0.9304463533175236
lc_vs_mixed/mixed4/proper/delay_25000/r5,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_25000/r5,lc_vs_mixed,mixed4,proper,25000,5,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.580193740000002,20.000189,23.000217,24.51023059,25.000235,18.00017,1.1967756092528639
lc_vs_mixed/mixed4/proper/delay_5000/r1,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_5000/r1,lc_vs_mixed,mixed4,proper,5000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,22.36021094,21.500203,26.55025095,27.510259589999997,28.000264,18.00017,2.7011969085229337
lc_vs_mixed/mixed4/proper/delay_5000/r2,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_5000/r2,lc_vs_mixed,mixed4,proper,5000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,23.36022018,23.000217,27.00025455,27.510259589999997,28.000264,20.000188,2.537578604585648
lc_vs_mixed/mixed4/proper/delay_5000/r3,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_5000/r3,lc_vs_mixed,mixed4,proper,5000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.94020678,21.000198,26.000245,27.020254689999994,28.000264,19.000179,2.262492416053401
lc_vs_mixed/mixed4/proper/delay_5000/r4,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_5000/r4,lc_vs_mixed,mixed4,proper,5000,4,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,23.50022144,24.000226,28.000264,28.000264,28.000264,18.00017,2.8589549754670003
lc_vs_mixed/mixed4/proper/delay_5000/r5,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_5000/r5,lc_vs_mixed,mixed4,proper,5000,5,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,22.1802089,21.000198,26.550249949999998,27.000254,27.000254,19.000179,2.4718234276916786
lc_vs_mixed/mixed4/proper/delay_50000/r1,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_50000/r1,lc_vs_mixed,mixed4,proper,50000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.3801922,20.000189,21.55020295,22.000208,22.000208,19.000179,0.6966457302766553
lc_vs_mixed/mixed4/proper/delay_50000/r2,out_delay_mixed4_fixedpolicy/lc_vs_mixed/mixed4/proper/delay_50000/r2,lc_vs_mixed,mixed4,proper,50000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.42019242,20.000189,21.550203399999997,22.00020751,22.000208,19.000179,0.7583619883391292
