run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,be_phase_types,be_granularities,be_processes,be_phase_count,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms,total_active_ms,wall_time_ms,aggregate_throughput_phases_per_s,per_process_throughput_phases_per_s
lc_vs_mixed/mixed4/proper/delay_10000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_10000/r1,lc_vs_mixed,mixed4,proper,10000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,41.759745140625,41.500367499999996,79.00070004999999,87.00077099999999,88.000781,14.000123,22.72138668996024,13363.118445,5390.047772,59.36867603703309,14.842169009258273
lc_vs_mixed/mixed4/proper/delay_10000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_10000/r2,lc_vs_mixed,mixed4,proper,10000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,41.422243084375,41.5003685,86.000764,87.00077381,93.000827,12.000106,23.249169009576285,13255.117787,5501.048885,58.17072465444924,14.54268116361231
lc_vs_mixed/mixed4/proper/delay_10000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_10000/r3,lc_vs_mixed,mixed4,proper,10000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,42.778506084375,41.5003695,79.000704,85.62076257999999,88.000784,12.000107,22.27387709025507,13689.121947,5409.048186,59.16013113513055,14.790032783782637
lc_vs_mixed/mixed4/proper/delay_100000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_100000/r1,lc_vs_mixed,mixed4,proper,100000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,41.765995865625,40.5003595,80.05071045000001,85.000755,91.000809,13.000116,22.692184393140245,13365.118677,5339.047411,59.935785425075345,14.983946356268836
lc_vs_mixed/mixed4/proper/delay_100000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_100000/r2,lc_vs_mixed,mixed4,proper,100000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,41.900373028125,41.000365,84.000747,87.81078148,90.000801,13.000116,23.100830536935224,13408.119369,5408.048145,59.17107085961418,14.792767714903546
lc_vs_mixed/mixed4/proper/delay_100000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_100000/r3,lc_vs_mixed,mixed4,proper,100000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,44.028517878125,41.50037,79.000705,81.000723,87.000776,12.000107,21.59671707658411,14089.125721,5436.048505,58.866288574443104,14.716572143610776
lc_vs_mixed/mixed4/proper/delay_25000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_25000/r1,lc_vs_mixed,mixed4,proper,25000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,42.1409987,41.5003685,78.000691,82.81073429,86.000762,14.000124,22.48576929481363,13485.119584,5329.04725,60.048257218961616,15.012064304740404
lc_vs_mixed/mixed4/proper/delay_25000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_25000/r2,lc_vs_mixed,mixed4,proper,25000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,41.694120646875,41.5003685,86.00076405,87.000774,87.000774,12.000107,23.44239285336879,13342.118607,5398.047988,59.280688262010315,14.820172065502579
lc_vs_mixed/mixed4/proper/delay_25000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_25000/r3,lc_vs_mixed,mixed4,proper,25000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,41.072241040625,42.000374,80.00071305,85.00075781,93.000829,14.000124,22.98318521353381,13143.117133,5361.047773,59.6898243682187,14.922456092054675
lc_vs_mixed/mixed4/proper/delay_5000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_5000/r1,lc_vs_mixed,mixed4,proper,5000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,BE_CHUNKED_BATCH+BE_LONG_BATCH,UNK,4,320,320,43.34725894375,41.500367499999996,81.000717,87.00077099999999,89.000788,13.000115,22.570639830916253,13871.122862,5390.047752,59.368676257323074,14.842169064330768
