run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms
lc_vs_mixed/mixed4/proper/delay_10000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_10000/r1,lc_vs_mixed,mixed4,proper,10000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.04018652,21.000186,24.550217949999997,25.510226589999995,26.000231,19.000168,1.5113313088397782
lc_vs_mixed/mixed4/proper/delay_10000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_10000/r2,lc_vs_mixed,mixed4,proper,10000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.88018546,21.000186,24.000213,25.510226589999995,26.000231,18.00016,1.507003876657395
lc_vs_mixed/mixed4/proper/delay_10000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_10000/r3,lc_vs_mixed,mixed4,proper,10000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.68019318,21.000187,27.00024055,27.000241,27.000241,18.00016,2.5107341709622992
lc_vs_mixed/mixed4/proper/delay_100000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_100000/r1,lc_vs_mixed,mixed4,proper,100000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.40018104,20.000178,22.000195,22.00019551,22.000196,19.000168,0.7284377524708439
lc_vs_mixed/mixed4/proper/delay_100000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_100000/r2,lc_vs_mixed,mixed4,proper,100000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.08017876,20.000178,21.000187,22.000196,22.000196,19.000169,0.6951790243933664
lc_vs_mixed/mixed4/proper/delay_100000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_100000/r3,lc_vs_mixed,mixed4,proper,100000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.3401815,20.000179,21.000188,21.51019208,22.000196,19.000169,0.6580796273641087
lc_vs_mixed/mixed4/proper/delay_25000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_25000/r1,lc_vs_mixed,mixed4,proper,25000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.7601929,20.500182,26.5502354,30.55027143999999,33.000293,19.000169,2.8324900044170715
lc_vs_mixed/mixed4/proper/delay_25000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_25000/r2,lc_vs_mixed,mixed4,proper,25000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.68018382,20.000178,24.550217949999997,26.51023559,27.00024,18.00016,1.6467801623383775
lc_vs_mixed/mixed4/proper/delay_25000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_25000/r3,lc_vs_mixed,mixed4,proper,25000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,20.34018128,20.000179,21.00018755,22.51020108,23.000205,19.000169,0.7722287183970996
lc_vs_mixed/mixed4/proper/delay_5000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_5000/r1,lc_vs_mixed,mixed4,proper,5000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,22.34019786,22.000195,26.5502354,28.530252769999993,30.000266,19.000168,2.5444041232771646
