run_label,run_dir,case,worker_config,policy,delay_us,repeat,long_be_workers,chunked_be_workers,total_be_workers,start_order,stagger_sec,lc_iters,be_iters,chunks,lc_inner,be_inner,n,lc_request_count,lc_p95_ms,lc_p99_ms,mean_union_overlap_ms,p95_union_overlap_ms,mean_union_overlap_frac,mean_weighted_overlap_ms,p95_weighted_overlap_ms,mean_weighted_overlap_frac,mean_overlap_count,p95_overlap_count,mean_max_concurrent_be,p95_max_concurrent_be,duration_vs_union_overlap_corr,duration_vs_weighted_overlap_corr,slow_request_threshold_ms,slow_request_count,slow_mean_union_overlap_ms,normal_mean_union_overlap_ms,slow_mean_weighted_overlap_ms,normal_mean_weighted_overlap_ms,slow_mean_overlap_count,normal_mean_overlap_count,slow_mean_max_concurrent_be,normal_mean_max_concurrent_be
lc_vs_mixed/mixed4/proper/delay_10000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_10000/r1,lc_vs_mixed,mixed4,proper,10000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,24.550217949999997,25.510226589999995,21.04018652,24.550217949999997,1.0,54.880486499999996,94.10083355,2.5762208956817134,3.36,5.0,2.86,4.0,0.9999999999999999,0.8281318729461445,24.550217949999997,3,25.333558333333333,20.7661415106383,96.00085266666666,52.255782276595745,4.666666666666667,3.276595744680851,4,2.7872340425531914
lc_vs_mixed/mixed4/proper/delay_10000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_10000/r2,lc_vs_mixed,mixed4,proper,10000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,24.000213,25.510226589999995,20.80018474,24.000213,0.9962256724830229,53.08047148,86.95077109999998,2.5247334434080915,3.24,5.0,2.78,4.0,0.9748579840757244,0.6493887975150754,24.000213,4,24.75021975,20.456703434782607,81.0007195,50.65262382608696,3.5,3.217391304347826,3.5,2.717391304347826
lc_vs_mixed/mixed4/proper/delay_10000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_10000/r3,lc_vs_mixed,mixed4,proper,10000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,27.00024055,27.000241,21.68019318,27.00024055,1.0,61.320546459999996,101.55090375,2.7607818599376466,3.46,5.0,3,4.0,1.0,0.9015941863201242,27.00024055,3,27.000241,21.340615659574468,101.667574,58.74520427659574,4.333333333333333,3.404255319148936,4,2.9361702127659575
lc_vs_mixed/mixed4/proper/delay_100000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_100000/r1,lc_vs_mixed,mixed4,proper,100000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,22.000195,22.00019551,20.40018104,22.000195,1.0,40.80036206,54.000478,1.9988999761019832,2.66,3.549999999999997,2.16,3.0,1.0,0.3768177009099879,22.000195,4,22.00019525,20.261049369565217,45.750406,40.36992345652174,2.5,2.6739130434782608,2.25,2.152173913043478
lc_vs_mixed/mixed4/proper/delay_100000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_100000/r2,lc_vs_mixed,mixed4,proper,100000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.000187,22.000196,20.08017876,21.000187,1.0,38.90034632,41.55037039999999,1.93675598177548,2.56,3.0,2.04,2.0,1.0000000000000002,0.4351431631655979,21.000187,9,21.222411222222224,19.829444804878047,41.88926188888889,38.24424290243902,2.7777777777777777,2.5121951219512195,2.111111111111111,2.024390243902439
lc_vs_mixed/mixed4/proper/delay_100000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_100000/r3,lc_vs_mixed,mixed4,proper,100000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.000188,21.51019208,20.3401815,21.000188,1.0,39.42035174,42.0003751,1.938963772747959,2.6,3.549999999999997,2.06,2.549999999999997,1.0000000000000002,0.250588103514807,21.000188,5,21.2001896,20.244625044444444,40.4003612,39.3114618,2.6,2.6,2,2.066666666666667
lc_vs_mixed/mixed4/proper/delay_25000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_25000/r1,lc_vs_mixed,mixed4,proper,25000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,26.5502354,30.55027143999999,21.68019222,26.5502354,0.9960000014499871,52.2004628,97.55086549999999,2.3527514902134503,3.06,5.0,2.58,4.0,0.9932513956511736,0.7270005455315036,26.5502354,3,29.333593666666665,21.191677234042555,90.33413433333334,49.76639865957447,4,3,3.6666666666666665,2.5106382978723403
lc_vs_mixed/mixed4/proper/delay_25000/r2,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_25000/r2,lc_vs_mixed,mixed4,proper,25000,2,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,24.550217949999997,26.51023559,20.68018382,24.550217949999997,1.0,47.240419939999995,92.55082095,2.252859361902778,2.94,4.0,2.44,4.0,1.0000000000000002,0.8426763406927354,24.550217949999997,3,26.000231,20.34060634042553,98.33420633333334,43.97911442553191,4.333333333333333,2.851063829787234,4,2.3404255319148937
lc_vs_mixed/mixed4/proper/delay_25000/r3,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_25000/r3,lc_vs_mixed,mixed4,proper,25000,3,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,21.00018755,22.51020108,20.34018128,21.00018755,1.0,47.74042558,55.00049,2.3407853758719877,3.14,4.0,2.62,3.0,0.9999999999999999,0.528368765367397,21.00018755,3,22.000196666666668,20.23422285106383,71.66730700000001,46.213177829787234,3.3333333333333335,3.127659574468085,3.3333333333333335,2.574468085106383
lc_vs_mixed/mixed4/proper/delay_5000/r1,out_delay_mixed4_fixedpolicy_stretch_delays/lc_vs_mixed/mixed4/proper/delay_5000/r1,lc_vs_mixed,mixed4,proper,5000,1,2,2,4,be_first,0.05,50,80,8,64,512,1048576,50,26.5502354,28.530252769999993,22.34019786,26.5502354,1.0,70.98062866000001,103.00091319999999,3.109098809612173,3.66,5.549999999999997,3.32,4.0,1.0,0.8869345456728666,26.5502354,3,28.000248,21.978918063829788,105.00092966666666,68.80912008510639,4.333333333333333,3.617021276595745,4,3.276595744680851
