case,worker_config,policy,delay_us,total_be_workers,long_be_workers,chunked_be_workers,n,lc_p95_ms_mean,lc_p99_ms_mean,be_agg_thr_s_mean,be_wall_ms_mean,overlap_union_ms_mean,overlap_weighted_ms_mean,overlap_count_mean,max_concurrent_be_mean
lc_vs_be_long,long4,proper,5000,4,4,0,5,29.73028086,31.220295188,93.30757527252804,3432.4324564,16.552156528,49.412467248,2.6,2.6
lc_vs_be_long,long4,proper,10000,4,4,0,5,29.11027521,30.40428744,91.46366294383176,3499.0330828,14.648138476,37.276352436,1.988,1.988
lc_vs_be_long,long4,proper,25000,4,4,0,5,25.880244829999995,28.506269358,83.25117723528534,3844.0363414,6.372060256,13.776130288,0.756,0.756
lc_vs_be_long,long4,proper,50000,4,4,0,5,23.53022248,25.020236489999995,82.17468129982367,3894.4368136,4.880046148,8.496080332,0.532,0.532
lc_vs_mixed,mixed4,proper,5000,4,2,2,5,26.82025289,27.408258374,58.39865003407169,5480.6516434000005,22.652213492,73.148689464,3.8,3.424
lc_vs_mixed,mixed4,proper,5000,4,2,2,3,26.85023865,27.84358059,59.117025554857584,5413.048082666667,22.486866366666668,72.64731192,3.7266666666666666,3.38
lc_vs_mixed,mixed4,proper,10000,4,2,2,5,25.02023551,26.506249558,59.03472569093366,5420.651073,21.112198892,55.384521788,3.288,2.816
lc_vs_mixed,mixed4,proper,10000,4,2,2,3,25.183557166666667,26.00689806,58.89984394220429,5433.381614333333,21.17352148,56.427168146666666,3.353333333333333,2.88
lc_vs_mixed,mixed4,proper,25000,4,2,2,5,23.22021898,25.110236594,59.27229454041914,5398.8508626,20.6321944,47.6924494,3.032,2.516
lc_vs_mixed,mixed4,proper,25000,4,2,2,3,24.033546966666663,26.52356937,59.67292328306355,5362.714337,20.90018577333333,49.06043610666666,3.046666666666667,2.546666666666667
lc_vs_mixed,mixed4,proper,50000,4,2,2,5,21.42020198,22.310210398,59.00946586145112,5423.051086,20.396192124,42.26439812,2.744,2.236
lc_vs_mixed,mixed4,proper,50000,4,2,2,3,22.0335293,23.00687106,59.51995314006655,5376.381141666667,20.440181706666667,43.88039002666667,2.853333333333333,2.32
lc_vs_mixed,mixed4,proper,72000,4,2,2,3,22.666868516666668,23.510209086666663,59.436687268454186,5384.047893999999,20.473515446666667,43.29371839333333,2.76,2.2666666666666666
lc_vs_mixed,mixed4,proper,87500,4,2,2,3,21.366857116666665,21.836861026666668,59.23683433741169,5402.048071333333,20.28018042,39.76035373333333,2.6,2.08
lc_vs_mixed,mixed4,proper,100000,4,2,2,3,21.333523333333336,21.836861196666668,59.32438161971088,5394.381353666667,20.273513766666667,39.70702004,2.606666666666667,2.086666666666667
