run,lc_pid,lc_tid,lc_phase_id,lc_phase_type,lc_begin_ns,lc_end_ns,lc_duration_ms,be_union_overlap_ms,be_union_overlap_fraction,be_weighted_overlap_ms,be_weighted_overlap_fraction,overlapping_be_phase_count,max_concurrent_be_phases
axis_lc_vs_1_be_long_r2,2671118,2671118,2,LC_REQUEST,1209449485170434,1209449510170705,25.000271,25.000271,1.000000,25.000271,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,3,LC_PREFILL_SUBMISSION,1209449488170467,1209449491170499,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,4,LC_PREFILL_SYNC,1209449493170521,1209449496170553,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,5,LC_DECODE_STEP,1209449499170586,1209449508170684,9.000098,9.000098,1.000000,9.000098,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,6,LC_REQUEST,1209449514170749,1209449551171151,37.000402,37.000402,1.000000,37.000402,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,7,LC_PREFILL_SUBMISSION,1209449517170781,1209449519170803,2.000022,2.000022,1.000000,2.000022,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,8,LC_PREFILL_SYNC,1209449524170857,1209449529170912,5.000055,5.000055,1.000000,5.000055,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,9,LC_DECODE_STEP,1209449536170988,1209449548171118,12.000130,12.000130,1.000000,12.000130,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,10,LC_REQUEST,1209449555171194,1209449582171487,27.000293,27.000293,1.000000,27.000293,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,11,LC_PREFILL_SUBMISSION,1209449558171226,1209449561171259,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,12,LC_PREFILL_SYNC,1209449563171281,1209449568171335,5.000054,5.000054,1.000000,5.000054,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,13,LC_DECODE_STEP,1209449571171368,1209449580171465,9.000097,9.000097,1.000000,9.000097,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,14,LC_REQUEST,1209449587171542,1209449615171846,28.000304,28.000304,1.000000,28.000304,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,15,LC_PREFILL_SUBMISSION,1209449589171563,1209449592171596,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,16,LC_PREFILL_SYNC,1209449594171618,1209449600171683,6.000065,6.000065,1.000000,6.000065,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,17,LC_DECODE_STEP,1209449603171715,1209449612171813,9.000098,9.000098,1.000000,9.000098,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,18,LC_REQUEST,1209449619171889,1209449644172160,25.000271,25.000271,1.000000,25.000271,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,19,LC_PREFILL_SUBMISSION,1209449621171910,1209449625171954,4.000044,4.000044,1.000000,4.000044,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,20,LC_PREFILL_SYNC,1209449628171987,1209449631172019,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,21,LC_DECODE_STEP,1209449634172052,1209449641172128,7.000076,7.000076,1.000000,7.000076,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,22,LC_REQUEST,1209449647172193,1209449682172573,35.000380,35.000380,1.000000,35.000380,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,23,LC_PREFILL_SUBMISSION,1209449654172269,1209449660172334,6.000065,6.000065,1.000000,6.000065,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,24,LC_PREFILL_SYNC,1209449666172399,1209449670172442,4.000043,4.000043,1.000000,4.000043,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,25,LC_DECODE_STEP,1209449673172475,1209449679172540,6.000065,6.000065,1.000000,6.000065,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,26,LC_REQUEST,1209449686172616,1209449710172877,24.000261,24.000261,1.000000,24.000261,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,27,LC_PREFILL_SUBMISSION,1209449688172638,1209449691172671,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,28,LC_PREFILL_SYNC,1209449694172703,1209449697172736,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,29,LC_DECODE_STEP,1209449700172768,1209449707172844,7.000076,7.000076,1.000000,7.000076,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,30,LC_REQUEST,1209449714172920,1209449743173235,29.000315,29.000315,1.000000,29.000315,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,31,LC_PREFILL_SUBMISSION,1209449717172953,1209449720172985,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,32,LC_PREFILL_SYNC,1209449722173007,1209449727173062,5.000055,5.000055,1.000000,5.000055,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,33,LC_DECODE_STEP,1209449731173105,1209449741173214,10.000109,10.000109,1.000000,10.000109,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,34,LC_REQUEST,1209449748173289,1209449780173637,32.000348,32.000348,1.000000,32.000348,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,35,LC_PREFILL_SUBMISSION,1209449750173311,1209449753173344,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,36,LC_PREFILL_SYNC,1209449757173387,1209449761173431,4.000044,4.000044,1.000000,4.000044,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,37,LC_DECODE_STEP,1209449764173463,1209449774173572,10.000109,10.000109,1.000000,10.000109,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,38,LC_REQUEST,1209449786173702,1209449813173995,27.000293,25.000271,0.925926,25.000271,0.925926,2,1
axis_lc_vs_1_be_long_r2,2671118,2671118,39,LC_PREFILL_SUBMISSION,1209449789173735,1209449792173767,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,40,LC_PREFILL_SYNC,1209449795173800,1209449797173821,2.000021,2.000021,1.000000,2.000021,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,41,LC_DECODE_STEP,1209449800173854,1209449809173952,9.000098,9.000098,1.000000,9.000098,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,42,LC_REQUEST,1209449817174039,1209449844174332,27.000293,27.000293,1.000000,27.000293,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,43,LC_PREFILL_SUBMISSION,1209449819174060,1209449821174082,2.000022,2.000022,1.000000,2.000022,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,44,LC_PREFILL_SYNC,1209449824174115,1209449827174147,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,45,LC_DECODE_STEP,1209449830174180,1209449841174299,11.000119,11.000119,1.000000,11.000119,1.000000,1,1
axis_lc_vs_1_be_long_r2,2671118,2671118,46,LC_REQUEST,1209449847174364,1209449877174690,30.000326,30.000326,1.000000,30.000326,1.000000,1,1
