run,lc_pid,lc_tid,lc_phase_id,lc_phase_type,lc_begin_ns,lc_end_ns,lc_duration_ms,be_union_overlap_ms,be_union_overlap_fraction,be_weighted_overlap_ms,be_weighted_overlap_fraction,overlapping_be_phase_count,max_concurrent_be_phases
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,2,LC_REQUEST,1209389610520335,1209389630520552,20.000217,20.000217,1.000000,20.000217,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,3,LC_PREFILL_SUBMISSION,1209389613520367,1209389616520400,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,4,LC_PREFILL_SYNC,1209389618520422,1209389620520443,2.000021,2.000021,1.000000,2.000021,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,5,LC_DECODE_STEP,1209389623520476,1209389628520530,5.000054,5.000054,1.000000,5.000054,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,6,LC_REQUEST,1209389634520595,1209389656520834,22.000239,22.000239,1.000000,22.000239,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,7,LC_PREFILL_SUBMISSION,1209389636520617,1209389639520649,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,8,LC_PREFILL_SYNC,1209389642520682,1209389645520714,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,9,LC_DECODE_STEP,1209389648520747,1209389652520791,4.000044,4.000044,1.000000,4.000044,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,10,LC_REQUEST,1209389659520867,1209389681521106,22.000239,22.000239,1.000000,22.000239,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,11,LC_PREFILL_SUBMISSION,1209389662520899,1209389664520921,2.000022,2.000022,1.000000,2.000022,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,12,LC_PREFILL_SYNC,1209389667520953,1209389669520975,2.000022,2.000022,1.000000,2.000022,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,13,LC_DECODE_STEP,1209389673521018,1209389678521073,5.000055,5.000055,1.000000,5.000055,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,14,LC_REQUEST,1209389685521149,1209389706521377,21.000228,21.000228,1.000000,21.000228,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,15,LC_PREFILL_SUBMISSION,1209389687521171,1209389690521203,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,16,LC_PREFILL_SYNC,1209389692521225,1209389695521257,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,17,LC_DECODE_STEP,1209389698521290,1209389703521344,5.000054,5.000054,1.000000,5.000054,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,18,LC_REQUEST,1209389711521431,1209389748521833,37.000402,32.000347,0.864865,32.000347,0.864865,2,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,19,LC_PREFILL_SUBMISSION,1209389713521453,1209389719521518,6.000065,4.000043,0.666667,4.000043,0.666667,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,20,LC_PREFILL_SYNC,1209389724521572,1209389730521638,6.000066,6.000066,1.000000,6.000066,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,21,LC_DECODE_STEP,1209389735521692,1209389742521768,7.000076,7.000076,1.000000,7.000076,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,22,LC_REQUEST,1209389754521898,1209389777522148,23.000250,23.000250,1.000000,23.000250,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,23,LC_PREFILL_SUBMISSION,1209389757521931,1209389760521963,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,24,LC_PREFILL_SYNC,1209389763521996,1209389765522018,2.000022,2.000022,1.000000,2.000022,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,25,LC_DECODE_STEP,1209389768522050,1209389774522115,6.000065,6.000065,1.000000,6.000065,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,26,LC_REQUEST,1209389780522180,1209389804522441,24.000261,24.000261,1.000000,24.000261,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,27,LC_PREFILL_SUBMISSION,1209389784522224,1209389787522256,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,28,LC_PREFILL_SYNC,1209389790522289,1209389793522322,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,29,LC_DECODE_STEP,1209389796522354,1209389801522409,5.000055,5.000055,1.000000,5.000055,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,30,LC_REQUEST,1209389808522484,1209389830522723,22.000239,22.000239,1.000000,22.000239,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,31,LC_PREFILL_SUBMISSION,1209389811522517,1209389814522550,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,32,LC_PREFILL_SYNC,1209389818522593,1209389820522615,2.000022,2.000022,1.000000,2.000022,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,33,LC_DECODE_STEP,1209389823522647,1209389827522691,4.000044,4.000044,1.000000,4.000044,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,34,LC_REQUEST,1209389835522778,1209389859523038,24.000260,24.000260,1.000000,24.000260,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,35,LC_PREFILL_SUBMISSION,1209389838522810,1209389841522843,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,36,LC_PREFILL_SYNC,1209389844522875,1209389847522908,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,37,LC_DECODE_STEP,1209389849522929,1209389855522995,6.000066,6.000066,1.000000,6.000066,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,38,LC_REQUEST,1209389863523082,1209389889523364,26.000282,23.000250,0.884615,23.000250,0.884615,2,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,39,LC_PREFILL_SUBMISSION,1209389866523114,1209389869523147,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,40,LC_PREFILL_SYNC,1209389871523168,1209389874523201,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,41,LC_DECODE_STEP,1209389877523234,1209389885523321,8.000087,6.000065,0.750000,6.000065,0.750000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,42,LC_REQUEST,1209389893523407,1209389915523646,22.000239,22.000239,1.000000,22.000239,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,43,LC_PREFILL_SUBMISSION,1209389895523429,1209389898523462,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,44,LC_PREFILL_SYNC,1209389901523494,1209389905523538,4.000044,4.000044,1.000000,4.000044,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,45,LC_DECODE_STEP,1209389908523570,1209389912523614,4.000044,4.000044,1.000000,4.000044,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,46,LC_REQUEST,1209389919523690,1209389942523939,23.000249,23.000249,1.000000,23.000249,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,47,LC_PREFILL_SUBMISSION,1209389922523722,1209389926523766,4.000044,4.000044,1.000000,4.000044,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,48,LC_PREFILL_SYNC,1209389929523798,1209389932523831,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,49,LC_DECODE_STEP,1209389935523863,1209389938523896,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,50,LC_REQUEST,1209389946523983,1209389979524341,33.000358,33.000358,1.000000,33.000358,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,51,LC_PREFILL_SUBMISSION,1209389950524026,1209389953524059,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,52,LC_PREFILL_SYNC,1209389957524102,1209389962524157,5.000055,5.000055,1.000000,5.000055,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,53,LC_DECODE_STEP,1209389967524211,1209389975524298,8.000087,8.000087,1.000000,8.000087,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,54,LC_REQUEST,1209389982524374,1209390015524732,33.000358,33.000358,1.000000,33.000358,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,55,LC_PREFILL_SUBMISSION,1209389985524406,1209389991524471,6.000065,6.000065,1.000000,6.000065,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,56,LC_PREFILL_SYNC,1209389996524526,1209390002524591,6.000065,6.000065,1.000000,6.000065,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,57,LC_DECODE_STEP,1209390006524634,1209390011524689,5.000055,5.000055,1.000000,5.000055,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,58,LC_REQUEST,1209390019524775,1209390042525025,23.000250,23.000250,1.000000,23.000250,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,59,LC_PREFILL_SUBMISSION,1209390022524808,1209390024524830,2.000022,2.000022,1.000000,2.000022,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,60,LC_PREFILL_SYNC,1209390027524862,1209390030524895,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,61,LC_DECODE_STEP,1209390033524928,1209390039524993,6.000065,6.000065,1.000000,6.000065,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,62,LC_REQUEST,1209390046525069,1209390068525308,22.000239,22.000239,1.000000,22.000239,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,63,LC_PREFILL_SUBMISSION,1209390050525112,1209390052525134,2.000022,2.000022,1.000000,2.000022,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,64,LC_PREFILL_SYNC,1209390055525166,1209390059525210,4.000044,4.000044,1.000000,4.000044,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,65,LC_DECODE_STEP,1209390061525232,1209390065525275,4.000043,4.000043,1.000000,4.000043,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,66,LC_REQUEST,1209390072525351,1209390094525590,22.000239,22.000239,1.000000,22.000239,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,67,LC_PREFILL_SUBMISSION,1209390075525383,1209390078525416,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,68,LC_PREFILL_SYNC,1209390081525449,1209390085525492,4.000043,4.000043,1.000000,4.000043,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,69,LC_DECODE_STEP,1209390088525524,1209390092525568,4.000044,4.000044,1.000000,4.000044,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,70,LC_REQUEST,1209390098525633,1209390121525883,23.000250,23.000250,1.000000,23.000250,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,71,LC_PREFILL_SUBMISSION,1209390101525666,1209390104525698,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,72,LC_PREFILL_SYNC,1209390107525731,1209390110525764,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,73,LC_DECODE_STEP,1209390112525785,1209390117525840,5.000055,5.000055,1.000000,5.000055,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,74,LC_REQUEST,1209390127525948,1209390147526165,20.000217,20.000217,1.000000,20.000217,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,75,LC_PREFILL_SUBMISSION,1209390129525970,1209390132526002,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,76,LC_PREFILL_SYNC,1209390135526035,1209390138526068,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,77,LC_DECODE_STEP,1209390141526100,1209390145526144,4.000044,4.000044,1.000000,4.000044,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,78,LC_REQUEST,1209390151526209,1209390175526469,24.000260,24.000260,1.000000,24.000260,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,79,LC_PREFILL_SUBMISSION,1209390154526241,1209390157526274,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,80,LC_PREFILL_SYNC,1209390160526306,1209390163526339,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,81,LC_DECODE_STEP,1209390167526382,1209390171526426,4.000044,4.000044,1.000000,4.000044,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,82,LC_REQUEST,1209390179526513,1209390202526762,23.000249,20.000216,0.869565,20.000216,0.869565,2,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,83,LC_PREFILL_SUBMISSION,1209390182526545,1209390185526578,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,84,LC_PREFILL_SYNC,1209390187526599,1209390190526632,3.000033,2.000022,0.666667,2.000022,0.666667,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,85,LC_DECODE_STEP,1209390193526665,1209390195526686,2.000021,2.000021,1.000000,2.000021,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,86,LC_REQUEST,1209390209526839,1209390234527110,25.000271,25.000271,1.000000,25.000271,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,87,LC_PREFILL_SUBMISSION,1209390216526914,1209390218526936,2.000022,2.000022,1.000000,2.000022,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,88,LC_PREFILL_SYNC,1209390222526980,1209390224527001,2.000021,2.000021,1.000000,2.000021,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,89,LC_DECODE_STEP,1209390227527034,1209390232527088,5.000054,5.000054,1.000000,5.000054,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,90,LC_REQUEST,1209390238527153,1209390273527533,35.000380,35.000380,1.000000,35.000380,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,91,LC_PREFILL_SUBMISSION,1209390241527186,1209390244527219,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,92,LC_PREFILL_SYNC,1209390249527273,1209390255527338,6.000065,6.000065,1.000000,6.000065,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,93,LC_DECODE_STEP,1209390261527403,1209390270527501,9.000098,9.000098,1.000000,9.000098,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,94,LC_REQUEST,1209390277527577,1209390298527805,21.000228,21.000228,1.000000,21.000228,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,95,LC_PREFILL_SUBMISSION,1209390280527609,1209390283527642,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,96,LC_PREFILL_SYNC,1209390285527664,1209390288527696,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,97,LC_DECODE_STEP,1209390291527729,1209390295527772,4.000043,4.000043,1.000000,4.000043,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,98,LC_REQUEST,1209390302527848,1209390325528098,23.000250,23.000250,1.000000,23.000250,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,99,LC_PREFILL_SUBMISSION,1209390304527870,1209390306527892,2.000022,2.000022,1.000000,2.000022,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,100,LC_PREFILL_SYNC,1209390310527935,1209390313527968,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,101,LC_DECODE_STEP,1209390316528000,1209390322528065,6.000065,6.000065,1.000000,6.000065,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,102,LC_REQUEST,1209390328528131,1209390357528445,29.000314,29.000314,1.000000,29.000314,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,103,LC_PREFILL_SUBMISSION,1209390332528174,1209390336528217,4.000043,4.000043,1.000000,4.000043,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,104,LC_PREFILL_SYNC,1209390338528239,1209390341528272,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,105,LC_DECODE_STEP,1209390344528304,1209390354528413,10.000109,10.000109,1.000000,10.000109,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,106,LC_REQUEST,1209390362528500,1209390384528739,22.000239,20.000218,0.909091,20.000218,0.909091,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,107,LC_PREFILL_SUBMISSION,1209390364528521,1209390367528554,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,108,LC_PREFILL_SYNC,1209390369528576,1209390372528608,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,109,LC_DECODE_STEP,1209390375528641,1209390381528706,6.000065,6.000065,1.000000,6.000065,1.000000,1,1
pair2_chunk1_lc_vs_1_be_chunked,2669441,2669441,110,LC_REQUEST,1209390388528782,1209390411529032,23.000250,23.000250,1.000000,23.000250,1.000000,1,1
