run,lc_pid,lc_tid,lc_phase_id,lc_phase_type,lc_begin_ns,lc_end_ns,lc_duration_ms,be_union_overlap_ms,be_union_overlap_fraction,be_weighted_overlap_ms,be_weighted_overlap_fraction,overlapping_be_phase_count,max_concurrent_be_phases
pair2_long4_lc_vs_4_be_long,2667377,2667377,2,LC_REQUEST,1209317011732072,1209317037732354,26.000282,26.000282,1.000000,104.001128,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,3,LC_PREFILL_SUBMISSION,1209317014732104,1209317017732137,3.000033,3.000033,1.000000,12.000132,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,4,LC_PREFILL_SYNC,1209317020732169,1209317023732202,3.000033,3.000033,1.000000,12.000132,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,5,LC_DECODE_STEP,1209317026732234,1209317034732321,8.000087,8.000087,1.000000,32.000348,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,6,LC_REQUEST,1209317041732397,1209317077732788,36.000391,36.000391,1.000000,144.001564,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,7,LC_PREFILL_SUBMISSION,1209317044732430,1209317047732463,3.000033,3.000033,1.000000,12.000132,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,8,LC_PREFILL_SYNC,1209317050732495,1209317060732604,10.000109,10.000109,1.000000,40.000436,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,9,LC_DECODE_STEP,1209317064732647,1209317074732756,10.000109,10.000109,1.000000,40.000436,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,10,LC_REQUEST,1209317081732832,1209317115733201,34.000369,34.000369,1.000000,136.001476,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,11,LC_PREFILL_SUBMISSION,1209317084732864,1209317086732886,2.000022,2.000022,1.000000,8.000088,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,12,LC_PREFILL_SYNC,1209317090732929,1209317100733038,10.000109,10.000109,1.000000,40.000436,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,13,LC_DECODE_STEP,1209317104733082,1209317112733168,8.000086,8.000086,1.000000,32.000344,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,14,LC_REQUEST,1209317119733244,1209317155733635,36.000391,36.000391,1.000000,144.001564,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,15,LC_PREFILL_SUBMISSION,1209317122733277,1209317125733309,3.000032,3.000032,1.000000,12.000128,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,16,LC_PREFILL_SYNC,1209317128733342,1209317139733461,11.000119,11.000119,1.000000,44.000476,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,17,LC_DECODE_STEP,1209317142733494,1209317152733603,10.000109,10.000109,1.000000,40.000436,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,18,LC_REQUEST,1209317159733678,1209317190734015,31.000337,31.000337,1.000000,124.001348,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,19,LC_PREFILL_SUBMISSION,1209317162733711,1209317165733744,3.000033,3.000033,1.000000,12.000132,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,20,LC_PREFILL_SYNC,1209317168733776,1209317176733863,8.000087,8.000087,1.000000,32.000348,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,21,LC_DECODE_STEP,1209317179733896,1209317187733983,8.000087,8.000087,1.000000,32.000348,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,22,LC_REQUEST,1209317194734059,1209317243734591,49.000532,49.000532,1.000000,185.002008,3.775510,6,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,23,LC_PREFILL_SUBMISSION,1209317197734091,1209317200734124,3.000033,3.000033,1.000000,12.000132,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,24,LC_PREFILL_SYNC,1209317203734156,1209317212734254,9.000098,9.000098,1.000000,36.000392,4.000000,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,25,LC_DECODE_STEP,1209317219734330,1209317236734515,17.000185,17.000185,1.000000,60.000652,3.529412,4,4
pair2_long4_lc_vs_4_be_long,2667377,2667377,26,LC_REQUEST,1209317249734656,1209317274734927,25.000271,25.000271,1.000000,98.001062,3.920000,5,4
