run,be_phase_types,be_processes,be_phase_count,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms,total_active_ms,wall_time_ms,aggregate_throughput_phases_per_s,per_process_throughput_phases_per_s
be_chunked_alone_r1,BE_CHUNKED_BATCH,1,50,50,132.28143168,135.001461,145.10157054999996,165.89179521999992,185.002002,109.00118,12.819193481192235,6614.071584,6767.073241,7.3887186113285335,7.3887186113285335
be_chunked_alone_r2,BE_CHUNKED_BATCH,1,50,50,165.40178964,165.001786,195.55211605,233.60252798999986,263.002846,114.001233,26.539438103813694,8270.089482,8487.091829,5.891299517833931,5.891299517833931
be_chunked_alone_r3,BE_CHUNKED_BATCH,1,50,50,133.06143944000002,133.501444,165.75179269999998,199.05215293999987,226.002444,111.001201,18.450806460616818,6653.071972,6801.073569,7.351780493583425,7.351780493583425
be_long_alone_r1,BE_LONG_BATCH,1,50,50,107.36116206,121.501315,134.55145605,135.00146151,135.001462,66.000715,24.00940792015875,5368.058103,5527.059822,9.046401090319156,9.046401090319156
be_long_alone_r2,BE_LONG_BATCH,1,50,50,108.74117662,121.0013095,136.10147255,137.51148761000002,138.001493,66.000714,24.619663136838344,5437.058831,5638.061006,8.868297087738181,8.868297087738181
be_long_alone_r3,BE_LONG_BATCH,1,50,50,107.60116380000001,121.0013085,135.00146055,136.001471,136.001471,67.000724,25.003943657761166,5380.05819,5538.059908,9.028432489105533,9.028432489105533
lc_vs_1_be_chunked_r1,BE_CHUNKED_BATCH,1,50,50,155.7216852,159.50172600000002,176.20190664999998,180.001948,180.001948,115.001245,14.547813082590832,7786.08426,7984.0864,6.262457280021419,6.262457280021419
lc_vs_1_be_chunked_r2,BE_CHUNKED_BATCH,1,50,50,139.5215093,141.001525,156.001687,156.001688,156.001688,117.001266,11.172681938380988,6976.075465,7133.077169,7.009597515262771,7.009597515262771
lc_vs_1_be_chunked_r3,BE_CHUNKED_BATCH,1,50,50,127.30137692,128.50138950000002,141.55153105,148.02160121999998,149.001612,105.001135,10.585529941562632,6365.068846,6512.070435,7.678049630923564,7.678049630923564
lc_vs_4_be_long_r1,BE_LONG_BATCH,4,200,200,291.603155795,300.003247,325.05351755,333.03360432,337.003647,153.001655,25.76184500172345,58320.631159,14867.160897,13.452467581780017,3.363116895445004
lc_vs_4_be_long_r2,BE_LONG_BATCH,4,200,200,292.17316103,305.0033,321.10347404999993,360.03389532,365.003949,128.001385,31.506280283650455,58434.632206,15204.164496,13.15429072426947,3.2885726810673677
lc_vs_4_be_long_r3,BE_LONG_BATCH,4,200,200,287.338107955,295.0031905,325.00351505,333.02360221,340.003677,120.001298,32.79869974603484,57467.621591,14760.159653,13.54998893655937,3.3874972341398424
