run,phase_type,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms
lc_alone_stable_r1,LC_DECODE_STEP,300,4.4400480700000005,4.000044,7.000076,8.000087,8.000087,2.000021,1.196328359487027
lc_alone_stable_r1,LC_PREFILL_SUBMISSION,300,2.9933657166666667,3.000032,3.000033,4.000044,7.000076,2.000021,0.3747354750632763
lc_alone_stable_r1,LC_PREFILL_SYNC,300,2.9766988966666665,3.000032,3.000033,4.000044,4.000044,2.000021,0.32114625331997493
lc_alone_stable_r1,LC_REQUEST,300,21.52023294,21.000228,24.000259,25.00027001,25.000271,19.000205,1.1607988207400373
lc_alone_stable_r2,LC_DECODE_STEP,300,5.1700559366666665,5.000054,8.000086,10.010108109999992,20.000216,2.000021,1.7734104329739961
lc_alone_stable_r2,LC_PREFILL_SUBMISSION,300,3.5333716066666665,3.000033,6.000065,7.000076,9.000097,2.000021,1.1430685528614406
lc_alone_stable_r2,LC_PREFILL_SYNC,300,3.8200413133333333,3.000033,7.000075,10.010108109999992,28.000303,2.000021,1.993556239872452
lc_alone_stable_r2,LC_REQUEST,300,28.2269721,27.000292,38.000411,47.02050920999998,88.000953,20.000216,6.5533224546615205
lc_alone_stable_r3,LC_DECODE_STEP,300,4.37004728,4.000043,7.000076,7.010076099999991,8.000087,3.000032,1.2429600739623605
lc_alone_stable_r3,LC_PREFILL_SUBMISSION,300,2.950031956666667,3.000032,3.000033,4.000043,4.000044,2.000021,0.3384537864545264
lc_alone_stable_r3,LC_PREFILL_SYNC,300,2.913364886666667,3.000032,3.000033,4.000044,4.000044,2.000021,0.36460236940422885
lc_alone_stable_r3,LC_REQUEST,300,21.663567646666667,22.000237,24.00026,25.000271,27.000292,19.000205,1.3819295317995781
lc_vs_1_be_chunked_r1,LC_DECODE_STEP,300,5.32339096,5.000054,8.000087,10.000108,46.000498,2.000021,2.829425238781386
lc_vs_1_be_chunked_r1,LC_PREFILL_SUBMISSION,300,3.84004157,3.000033,6.00006405,7.000076,39.000423,2.000021,3.017440354191053
lc_vs_1_be_chunked_r1,LC_PREFILL_SYNC,300,3.9867098133333334,4.000043,6.000065,8.020087209999982,42.000455,2.000021,3.1865165242287365
lc_vs_1_be_chunked_r1,LC_REQUEST,300,28.426974283333333,28.000303,35.000379,62.01067110999999,75.000812,20.000216,6.548421168010572
lc_vs_1_be_chunked_r2,LC_DECODE_STEP,300,4.77671834,5.000054,8.000086,9.00009701,10.000109,3.000032,1.4902706415912763
lc_vs_1_be_chunked_r2,LC_PREFILL_SUBMISSION,300,3.2067013133333333,3.000033,4.000044,5.00005401,6.000065,2.000021,0.7250650449395367
lc_vs_1_be_chunked_r2,LC_PREFILL_SYNC,300,3.2800354366666666,3.000033,5.000054,6.000065,7.000076,2.000021,0.8106404847581793
lc_vs_1_be_chunked_r2,LC_REQUEST,300,24.240262236666666,24.00026,28.000303,29.01031409999999,35.000379,20.000216,2.1935990494150364
lc_vs_1_be_chunked_r3,LC_DECODE_STEP,300,4.5867162666666665,4.000044,7.000076,8.000087,18.000195,2.000021,1.5330930258523343
lc_vs_1_be_chunked_r3,LC_PREFILL_SUBMISSION,300,3.05669973,3.000032,4.000044,6.000065,7.000076,2.000021,0.6794638515163274
lc_vs_1_be_chunked_r3,LC_PREFILL_SYNC,300,3.0733665666666665,3.000032,4.000044,7.00007501,30.000325,2.000021,1.7734638277095758
lc_vs_1_be_chunked_r3,LC_REQUEST,300,22.920247903333333,22.000238,28.000302050000002,37.090401959999916,70.000757,19.000205,4.55079614560023
lc_vs_4_be_long_r1,LC_DECODE_STEP,300,9.290100563333333,8.000087,16.000173,18.01019509999999,26.000282,3.000033,3.3461616149080986
lc_vs_4_be_long_r1,LC_PREFILL_SUBMISSION,300,3.16336756,3.000033,4.000044,6.000065,7.000076,2.000021,0.738343532611356
lc_vs_4_be_long_r1,LC_PREFILL_SYNC,300,5.753395613333334,6.000064,9.000098,11.000119,11.000119,2.000021,2.145054544190244
lc_vs_4_be_long_r1,LC_REQUEST,300,31.0236691,31.000335,40.000433,50.02054121999998,59.000638,22.000238,4.941461612944787
lc_vs_4_be_long_r2,LC_DECODE_STEP,300,10.840117266666667,9.000097,17.000184,56.06060664999995,88.000952,4.000043,8.19795935085259
lc_vs_4_be_long_r2,LC_PREFILL_SUBMISSION,300,4.183378573333333,3.000033,7.000076,14.10015307999991,82.000887,2.000021,6.15549944385685
lc_vs_4_be_long_r2,LC_PREFILL_SYNC,300,6.51673715,6.000064,10.000108,53.10057507999991,83.000898,2.000021,7.683822817668005
lc_vs_4_be_long_r2,LC_REQUEST,300,40.16710127,32.000346,99.05107155,137.09148297999994,221.002391,23.000249,24.398004053128595
lc_vs_4_be_long_r3,LC_DECODE_STEP,300,8.620093276666667,8.000087,15.050163500000012,18.00019401,19.000206,4.000043,2.859434260862731
lc_vs_4_be_long_r3,LC_PREFILL_SUBMISSION,300,3.0600331233333335,3.000032,4.000044,6.010065099999991,9.000097,2.000021,0.8156584503558979
lc_vs_4_be_long_r3,LC_PREFILL_SYNC,300,5.593393856666666,5.000055,9.000098,10.000108,12.00013,2.000021,2.2236330425986353
lc_vs_4_be_long_r3,LC_REQUEST,300,30.193659903333334,30.000324,38.000411,45.000486,46.000498,23.000248,4.314131320147994
