run,lc_pid,lc_tid,lc_phase_id,lc_phase_type,lc_begin_ns,lc_end_ns,lc_duration_ms,be_union_overlap_ms,be_union_overlap_fraction,be_weighted_overlap_ms,be_weighted_overlap_fraction,overlapping_be_phase_count,max_concurrent_be_phases
lc_vs_1_be_chunked_r3,1626201,1626201,2,LC_REQUEST,1148306854171775,1148306874171991,20.000216,20.000216,1.000000,20.000216,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,3,LC_PREFILL_SUBMISSION,1148306857171807,1148306859171829,2.000022,2.000022,1.000000,2.000022,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,4,LC_PREFILL_SYNC,1148306863171872,1148306866171905,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,5,LC_DECODE_STEP,1148306869171937,1148306872171969,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,6,LC_REQUEST,1148306878172034,1148306900172272,22.000238,22.000238,1.000000,22.000238,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,7,LC_PREFILL_SUBMISSION,1148306881172067,1148306884172099,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,8,LC_PREFILL_SYNC,1148306887172132,1148306890172164,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,9,LC_DECODE_STEP,1148306893172197,1148306897172240,4.000043,4.000043,1.000000,4.000043,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,10,LC_REQUEST,1148306905172326,1148306925172542,20.000216,18.000195,0.900000,18.000195,0.900000,2,1
lc_vs_1_be_chunked_r3,1626201,1626201,11,LC_PREFILL_SUBMISSION,1148306907172348,1148306911172391,4.000043,4.000043,1.000000,4.000043,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,12,LC_PREFILL_SYNC,1148306913172413,1148306916172445,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,13,LC_DECODE_STEP,1148306919172478,1148306922172510,3.000032,1.000011,0.333333,1.000011,0.333333,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,14,LC_REQUEST,1148306929172586,1148306951172824,22.000238,22.000238,1.000000,22.000238,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,15,LC_PREFILL_SUBMISSION,1148306932172618,1148306934172640,2.000022,2.000022,1.000000,2.000022,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,16,LC_PREFILL_SYNC,1148306938172683,1148306940172705,2.000022,2.000022,1.000000,2.000022,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,17,LC_DECODE_STEP,1148306943172737,1148306947172781,4.000044,4.000044,1.000000,4.000044,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,18,LC_REQUEST,1148306956172878,1148306980173138,24.000260,24.000260,1.000000,24.000260,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,19,LC_PREFILL_SUBMISSION,1148306959172910,1148306962172943,3.000033,3.000033,1.000000,3.000033,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,20,LC_PREFILL_SYNC,1148306965172975,1148306967172997,2.000022,2.000022,1.000000,2.000022,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,21,LC_DECODE_STEP,1148306970173029,1148306976173094,6.000065,6.000065,1.000000,6.000065,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,22,LC_REQUEST,1148306984173181,1148307003173386,19.000205,19.000205,1.000000,19.000205,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,23,LC_PREFILL_SUBMISSION,1148306986173203,1148306989173235,3.000032,3.000032,1.000000,3.000032,1.000000,1,1
lc_vs_1_be_chunked_r3,1626201,1626201,24,LC_PREFILL_SYNC,1148306992173267,1148306994173289,2.000022,2.000022,1.000000,2.000022,1.000000,1,1
