run,lc_pid,lc_tid,lc_phase_id,lc_phase_type,lc_begin_ns,lc_end_ns,lc_duration_ms,be_union_overlap_ms,be_union_overlap_fraction,be_weighted_overlap_ms,be_weighted_overlap_fraction,overlapping_be_phase_count,max_concurrent_be_phases
lc_vs_4_be_long_r3,1625819,1625819,2,LC_REQUEST,1148291809009039,1148291843009407,34.000368,34.000368,1.000000,127.001375,3.735294,6,4
lc_vs_4_be_long_r3,1625819,1625819,3,LC_PREFILL_SUBMISSION,1148291813009082,1148291815009103,2.000021,2.000021,1.000000,8.000084,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,4,LC_PREFILL_SYNC,1148291819009147,1148291827009234,8.000087,8.000087,1.000000,32.000348,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,5,LC_DECODE_STEP,1148291831009277,1148291840009374,9.000097,9.000097,1.000000,27.000291,3.000000,6,4
lc_vs_4_be_long_r3,1625819,1625819,6,LC_REQUEST,1148291848009460,1148291892009937,44.000477,44.000477,1.000000,176.001908,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,7,LC_PREFILL_SUBMISSION,1148291854009526,1148291859009580,5.000054,5.000054,1.000000,20.000216,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,8,LC_PREFILL_SYNC,1148291863009623,1148291872009720,9.000097,9.000097,1.000000,36.000388,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,9,LC_DECODE_STEP,1148291876009764,1148291885009861,9.000097,9.000097,1.000000,36.000388,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,10,LC_REQUEST,1148291896009980,1148291926010304,30.000324,30.000324,1.000000,117.001263,3.900000,5,4
lc_vs_4_be_long_r3,1625819,1625819,11,LC_PREFILL_SUBMISSION,1148291900010023,1148291903010056,3.000033,3.000033,1.000000,12.000132,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,12,LC_PREFILL_SYNC,1148291908010110,1148291913010164,5.000054,5.000054,1.000000,17.000183,3.400000,4,4
lc_vs_4_be_long_r3,1625819,1625819,13,LC_DECODE_STEP,1148291917010207,1148291922010261,5.000054,5.000054,1.000000,20.000216,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,14,LC_REQUEST,1148291931010359,1148291963010704,32.000345,32.000345,1.000000,128.001380,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,15,LC_PREFILL_SUBMISSION,1148291935010402,1148291937010423,2.000021,2.000021,1.000000,8.000084,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,16,LC_PREFILL_SYNC,1148291941010467,1148291947010532,6.000065,6.000065,1.000000,24.000260,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,17,LC_DECODE_STEP,1148291953010596,1148291960010672,7.000076,7.000076,1.000000,28.000304,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,18,LC_REQUEST,1148291967010748,1148291999011094,32.000346,32.000346,1.000000,128.001384,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,19,LC_PREFILL_SUBMISSION,1148291971010791,1148291974010824,3.000033,3.000033,1.000000,12.000132,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,20,LC_PREFILL_SYNC,1148291978010867,1148291983010921,5.000054,5.000054,1.000000,20.000216,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,21,LC_DECODE_STEP,1148291986010953,1148291996011061,10.000108,10.000108,1.000000,40.000432,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,22,LC_REQUEST,1148292004011148,1148292036011494,32.000346,32.000346,1.000000,128.001384,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,23,LC_PREFILL_SUBMISSION,1148292007011181,1148292011011224,4.000043,4.000043,1.000000,16.000172,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,24,LC_PREFILL_SYNC,1148292014011256,1148292019011310,5.000054,5.000054,1.000000,20.000216,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,25,LC_DECODE_STEP,1148292023011354,1148292033011462,10.000108,10.000108,1.000000,40.000432,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,26,LC_REQUEST,1148292040011538,1148292080011970,40.000432,40.000432,1.000000,160.001728,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,27,LC_PREFILL_SUBMISSION,1148292043011570,1148292046011603,3.000033,3.000033,1.000000,12.000132,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,28,LC_PREFILL_SYNC,1148292050011646,1148292057011722,7.000076,7.000076,1.000000,28.000304,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,29,LC_DECODE_STEP,1148292060011754,1148292077011938,17.000184,17.000184,1.000000,68.000736,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,30,LC_REQUEST,1148292085012024,1148292117012370,32.000346,32.000346,1.000000,128.001384,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,31,LC_PREFILL_SUBMISSION,1148292088012057,1148292091012089,3.000032,3.000032,1.000000,12.000128,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,32,LC_PREFILL_SYNC,1148292094012121,1148292101012197,7.000076,7.000076,1.000000,28.000304,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,33,LC_DECODE_STEP,1148292105012241,1148292114012338,9.000097,9.000097,1.000000,36.000388,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,34,LC_REQUEST,1148292122012425,1148292155012782,33.000357,33.000357,1.000000,132.001428,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,35,LC_PREFILL_SUBMISSION,1148292125012457,1148292128012490,3.000033,3.000033,1.000000,12.000132,4.000000,4,4
lc_vs_4_be_long_r3,1625819,1625819,36,LC_PREFILL_SYNC,1148292131012522,1148292139012609,8.000087,8.000087,1.000000,32.000348,4.000000,4,4
