run,lc_pid,lc_tid,lc_phase_id,lc_phase_type,lc_begin_ns,lc_end_ns,lc_duration_ms,be_union_overlap_ms,be_union_overlap_fraction,be_weighted_overlap_ms,be_weighted_overlap_fraction,overlapping_be_phase_count,max_concurrent_be_phases
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,2,LC_REQUEST,1211465256618028,1211465277618239,21.000211,21.000211,1.000000,21.000211,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,3,LC_PREFILL_SUBMISSION,1211465259618058,1211465262618088,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,4,LC_PREFILL_SYNC,1211465265618118,1211465268618149,3.000031,3.000031,1.000000,3.000031,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,5,LC_DECODE_STEP,1211465270618168,1211465274618209,4.000041,4.000041,1.000000,4.000041,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,6,LC_REQUEST,1211465281618280,1211465302618491,21.000211,21.000211,1.000000,21.000211,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,7,LC_PREFILL_SUBMISSION,1211465283618299,1211465286618330,3.000031,3.000031,1.000000,3.000031,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,8,LC_PREFILL_SYNC,1211465289618360,1211465292618390,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,9,LC_DECODE_STEP,1211465295618420,1211465299618461,4.000041,4.000041,1.000000,4.000041,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,10,LC_REQUEST,1211465306618531,1211465329618763,23.000232,20.000201,0.869565,20.000201,0.869565,2,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,11,LC_PREFILL_SUBMISSION,1211465309618562,1211465312618592,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,12,LC_PREFILL_SYNC,1211465315618622,1211465318618652,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,13,LC_DECODE_STEP,1211465321618682,1211465326618733,5.000051,3.000030,0.600000,3.000030,0.600000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,14,LC_REQUEST,1211465333618803,1211465356619035,23.000232,23.000232,1.000000,23.000232,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,15,LC_PREFILL_SUBMISSION,1211465336618834,1211465339618864,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,16,LC_PREFILL_SYNC,1211465342618894,1211465345618924,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,17,LC_DECODE_STEP,1211465347618944,1211465354619015,7.000071,7.000071,1.000000,7.000071,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,18,LC_REQUEST,1211465361619086,1211465385619327,24.000241,24.000241,1.000000,24.000241,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,19,LC_PREFILL_SUBMISSION,1211465363619105,1211465366619136,3.000031,3.000031,1.000000,3.000031,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,20,LC_PREFILL_SYNC,1211465369619166,1211465372619196,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,21,LC_DECODE_STEP,1211465375619227,1211465382619297,7.000070,7.000070,1.000000,7.000070,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,22,LC_REQUEST,1211465389619367,1211465410619579,21.000212,21.000212,1.000000,21.000212,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,23,LC_PREFILL_SUBMISSION,1211465392619398,1211465395619428,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,24,LC_PREFILL_SYNC,1211465398619458,1211465401619488,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,25,LC_DECODE_STEP,1211465404619519,1211465408619559,4.000040,4.000040,1.000000,4.000040,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,26,LC_REQUEST,1211465414619619,1211465445619932,31.000313,31.000313,1.000000,31.000313,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,27,LC_PREFILL_SUBMISSION,1211465417619650,1211465420619680,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,28,LC_PREFILL_SYNC,1211465425619730,1211465431619791,6.000061,6.000061,1.000000,6.000061,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,29,LC_DECODE_STEP,1211465436619841,1211465442619902,6.000061,6.000061,1.000000,6.000061,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,30,LC_REQUEST,1211465449619972,1211465474620224,25.000252,23.000232,0.920000,23.000232,0.920000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,31,LC_PREFILL_SUBMISSION,1211465453620012,1211465456620042,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,32,LC_PREFILL_SYNC,1211465458620063,1211465461620093,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,33,LC_DECODE_STEP,1211465464620123,1211465471620194,7.000071,7.000071,1.000000,7.000071,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,34,LC_REQUEST,1211465478620264,1211465501620496,23.000232,23.000232,1.000000,23.000232,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,35,LC_PREFILL_SUBMISSION,1211465481620295,1211465484620325,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,36,LC_PREFILL_SYNC,1211465487620355,1211465490620385,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,37,LC_DECODE_STEP,1211465493620415,1211465499620476,6.000061,6.000061,1.000000,6.000061,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,38,LC_REQUEST,1211465506620546,1211465529620778,23.000232,23.000232,1.000000,23.000232,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,39,LC_PREFILL_SUBMISSION,1211465508620566,1211465511620597,3.000031,3.000031,1.000000,3.000031,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,40,LC_PREFILL_SYNC,1211465514620627,1211465517620657,3.000030,3.000030,1.000000,3.000030,1.000000,1,1
axis_lc_vs_1_be_long_warm_r3,2726792,2726792,41,LC_DECODE_STEP,1211465520620687,1211465526620748,6.000061,6.000061,1.000000,6.000061,1.000000,1,1
