run,lc_pid,lc_tid,lc_phase_id,lc_phase_type,lc_begin_ns,lc_end_ns,lc_duration_ms,be_union_overlap_ms,be_union_overlap_fraction,be_weighted_overlap_ms,be_weighted_overlap_fraction,overlapping_be_phase_count,max_concurrent_be_phases
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,2,LC_REQUEST,1211446354427727,1211446375427939,21.000212,21.000212,1.000000,82.000828,3.904762,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,3,LC_PREFILL_SUBMISSION,1211446357427758,1211446361427798,4.000040,4.000040,1.000000,16.000160,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,4,LC_PREFILL_SYNC,1211446363427818,1211446366427848,3.000030,3.000030,1.000000,12.000120,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,5,LC_DECODE_STEP,1211446369427878,1211446371427898,2.000020,2.000020,1.000000,8.000080,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,6,LC_REQUEST,1211446379427979,1211446403428220,24.000241,24.000241,1.000000,94.000944,3.916667,5,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,7,LC_PREFILL_SUBMISSION,1211446382428009,1211446385428039,3.000030,3.000030,1.000000,12.000120,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,8,LC_PREFILL_SYNC,1211446389428080,1211446392428110,3.000030,3.000030,1.000000,12.000120,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,9,LC_DECODE_STEP,1211446394428130,1211446400428190,6.000060,6.000060,1.000000,22.000220,3.666667,5,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,10,LC_REQUEST,1211446406428251,1211446430428492,24.000241,24.000241,1.000000,96.000964,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,11,LC_PREFILL_SUBMISSION,1211446409428281,1211446411428301,2.000020,2.000020,1.000000,8.000080,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,12,LC_PREFILL_SYNC,1211446413428321,1211446417428361,4.000040,4.000040,1.000000,16.000160,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,13,LC_DECODE_STEP,1211446419428381,1211446426428452,7.000071,7.000071,1.000000,28.000284,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,14,LC_REQUEST,1211446434428532,1211446459428784,25.000252,25.000252,1.000000,95.000957,3.800000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,15,LC_PREFILL_SUBMISSION,1211446436428552,1211446439428582,3.000030,3.000030,1.000000,12.000120,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,16,LC_PREFILL_SYNC,1211446441428603,1211446443428623,2.000020,2.000020,1.000000,8.000080,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,17,LC_DECODE_STEP,1211446446428653,1211446454428733,8.000080,8.000080,1.000000,32.000320,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,18,LC_REQUEST,1211446465428844,1211446489429086,24.000242,24.000242,1.000000,93.000938,3.875000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,19,LC_PREFILL_SUBMISSION,1211446470428894,1211446473428925,3.000031,3.000031,1.000000,12.000124,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,20,LC_PREFILL_SYNC,1211446476428955,1211446479428985,3.000030,3.000030,1.000000,12.000120,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,21,LC_DECODE_STEP,1211446482429015,1211446487429065,5.000050,5.000050,1.000000,19.000191,3.800000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,22,LC_REQUEST,1211446493429126,1211446517429367,24.000241,24.000241,1.000000,94.000943,3.916667,5,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,23,LC_PREFILL_SUBMISSION,1211446495429146,1211446498429176,3.000030,3.000030,1.000000,12.000120,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,24,LC_PREFILL_SYNC,1211446501429206,1211446504429237,3.000031,3.000031,1.000000,10.000103,3.333333,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,25,LC_DECODE_STEP,1211446506429256,1211446515429347,9.000091,9.000091,1.000000,36.000364,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,26,LC_REQUEST,1211446521429407,1211446542429619,21.000212,21.000212,1.000000,81.000818,3.857143,5,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,27,LC_PREFILL_SUBMISSION,1211446524429438,1211446526429458,2.000020,2.000020,1.000000,8.000080,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,28,LC_PREFILL_SYNC,1211446530429498,1211446533429528,3.000030,3.000030,1.000000,12.000120,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,29,LC_DECODE_STEP,1211446536429558,1211446540429599,4.000041,4.000041,1.000000,13.000134,3.250000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,30,LC_REQUEST,1211446546429659,1211446564429840,18.000181,18.000181,1.000000,72.000724,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,31,LC_PREFILL_SUBMISSION,1211446549429689,1211446551429709,2.000020,2.000020,1.000000,8.000080,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,32,LC_PREFILL_SYNC,1211446553429730,1211446556429760,3.000030,3.000030,1.000000,12.000120,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,33,LC_DECODE_STEP,1211446559429790,1211446561429810,2.000020,2.000020,1.000000,8.000080,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,34,LC_REQUEST,1211446569429890,1211446593430132,24.000242,24.000242,1.000000,96.000968,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,35,LC_PREFILL_SUBMISSION,1211446572429921,1211446574429941,2.000020,2.000020,1.000000,8.000080,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,36,LC_PREFILL_SYNC,1211446577429971,1211446580430001,3.000030,3.000030,1.000000,12.000120,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,37,LC_DECODE_STEP,1211446583430031,1211446590430102,7.000071,7.000071,1.000000,28.000284,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,38,LC_REQUEST,1211446597430172,1211446621430414,24.000242,24.000242,1.000000,94.000948,3.916667,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,39,LC_PREFILL_SUBMISSION,1211446599430192,1211446602430223,3.000031,3.000031,1.000000,12.000124,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,40,LC_PREFILL_SYNC,1211446606430263,1211446609430293,3.000030,3.000030,1.000000,12.000120,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,41,LC_DECODE_STEP,1211446611430313,1211446618430383,7.000070,7.000070,1.000000,28.000280,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,42,LC_REQUEST,1211446625430454,1211446648430685,23.000231,23.000231,1.000000,88.000884,3.826087,5,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,43,LC_PREFILL_SUBMISSION,1211446628430484,1211446631430514,3.000030,3.000030,1.000000,12.000120,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,44,LC_PREFILL_SYNC,1211446634430544,1211446637430574,3.000030,3.000030,1.000000,12.000120,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,45,LC_DECODE_STEP,1211446639430595,1211446644430645,5.000050,5.000050,1.000000,17.000170,3.400000,5,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,46,LC_REQUEST,1211446651430715,1211446671430917,20.000202,20.000202,1.000000,80.000808,4.000000,4,4
axis_lc_vs_4_be_chunked_warm_r2,2726192,2726192,47,LC_PREFILL_SUBMISSION,1211446654430746,1211446657430776,3.000030,3.000030,1.000000,12.000120,4.000000,4,4
