run,be_phase_types,be_processes,be_phase_count,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms,total_active_ms,wall_time_ms,aggregate_throughput_phases_per_s,per_process_throughput_phases_per_s
axis_lc_vs_1_be_long_warm_r1,BE_LONG_BATCH,1,50,50,148.50148718,164.501647,175.55175795000002,176.51176809999998,177.001773,118.001182,24.187648283941307,7425.074359,7578.075889,6.597980903381792,6.597980903381792
axis_lc_vs_1_be_long_warm_r2,BE_LONG_BATCH,1,50,50,144.60145296,128.50129099999998,179.55180395000002,180.5118141,181.001819,115.001155,24.76856296468084,7230.072648,7386.074214,6.769496020663731,6.769496020663731
axis_lc_vs_1_be_long_warm_r3,BE_LONG_BATCH,1,50,50,139.68140772,129.0013005,170.55171904999997,173.55174898999996,176.001773,110.001108,24.187810123498817,6984.070386,7138.071935,7.004692647441077,7.004692647441077
axis_lc_vs_4_be_chunked_warm_r1,BE_CHUNKED_BATCH,4,200,200,147.77648245,146.001464,172.05172645,187.04187639999998,200.002007,124.001244,14.194924398392372,29555.29649,8002.080276,24.99350082750907,6.2483752068772676
axis_lc_vs_4_be_chunked_warm_r2,BE_CHUNKED_BATCH,4,200,200,148.476494155,147.5014845,170.00171004999999,174.0117511,182.001832,106.001067,13.474450445755437,29695.298831,7904.079541,25.303389086934292,6.325847271733573
axis_lc_vs_4_be_chunked_warm_r3,BE_CHUNKED_BATCH,4,200,200,148.816501825,148.0014935,173.00174504999998,180.00181601,187.001887,107.00108,14.811552587345737,29763.300365,7887.079595,25.35792844372835,6.339482110932088
be_chunked_alone_warm_r1,BE_CHUNKED_BATCH,1,50,50,144.98135926,147.0013785,158.55148694999997,162.06151904999996,165.001546,125.001171,10.469665315384422,7249.0679629999995,7396.06934,6.760347652446427,6.760347652446427
be_chunked_alone_warm_r2,BE_CHUNKED_BATCH,1,50,50,143.00135118,146.00138,156.00147355000001,157.51148908,158.001493,111.001049,10.825243116950325,7150.067559,7299.068967,6.850188733118734,6.850188733118734
be_chunked_alone_warm_r3,BE_CHUNKED_BATCH,1,50,50,143.46136518,145.5013845,154.5514704,158.53150928,160.001523,127.001209,8.114589496342912,7173.068259,7330.069759,6.821217484132268,6.821217484132268
be_long_alone_warm_r1,BE_LONG_BATCH,1,50,50,147.86138054,164.5015365,174.001625,175.51163808,176.001642,114.001063,23.590264850420866,7393.069027,7539.070391,6.632117410614584,6.632117410614584
be_long_alone_warm_r2,BE_LONG_BATCH,1,50,50,148.76140024,165.0015535,178.5516806,181.00170350999997,181.001704,118.00111,24.614447023098208,7438.070012,7595.071489,6.583216507233064,6.583216507233064
be_long_alone_warm_r3,BE_LONG_BATCH,1,50,50,138.48131322,128.001215,170.55161694999998,173.53164628,175.00166,108.001023,24.496162896560225,6924.065661,7096.067294,7.046156403037065,7.046156403037065
pair1_chunk1_lc_vs_1_be_chunked,BE_CHUNKED_BATCH,1,50,50,146.84144804,151.001489,161.5515935,164.53162179,166.001636,123.001213,11.523576947226644,7342.072402,7493.073891,6.672828898705438,6.672828898705438
pair1_long4_lc_vs_4_be_long,BE_LONG_BATCH,4,200,200,324.73811468,310.002973,361.003464,364.003491,365.0035,243.002334,27.5180928676916,64947.622936,16527.158518,12.101293745211962,3.0253234363029904
pair2_chunk1_lc_vs_1_be_chunked,BE_CHUNKED_BATCH,1,50,50,141.4014032,145.0014395,154.10152945,158.02156768999998,159.001577,106.001052,11.703944221501512,7070.07016,7220.071649,6.925139033339806,6.925139033339806
pair2_long4_lc_vs_4_be_long,BE_LONG_BATCH,4,200,200,328.33818383,341.0033095,355.0034392,358.0134731,363.003516,262.002537,24.328658039629072,65667.636766,16692.161858,11.981671499557539,2.9954178748893847
pair3_chunk1_lc_vs_1_be_chunked,BE_CHUNKED_BATCH,1,50,50,145.70145402,149.5014915,160.10159755,162.53162278999997,164.001637,120.001197,11.22008326864837,7285.072701,7444.074289,6.716751883291153,6.716751883291153
pair3_long4_lc_vs_4_be_long,BE_LONG_BATCH,4,200,200,324.99318052,334.003272,349.05341635,355.01347605999996,364.003564,262.002564,22.946302981158375,64998.636104,16548.16195,12.085934414003,3.02148360350075
