run,phase_type,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms
axis_lc_vs_1_be_long_warm_r1,LC_DECODE_STEP,300,5.230052356666667,5.00005,8.00008,11.01011009999999,20.0002,2.00002,1.851647133400867
axis_lc_vs_1_be_long_warm_r1,LC_PREFILL_SUBMISSION,300,2.800028076666667,3.00003,3.000031,6.00006,6.00006,2.000019,0.6644399286417866
axis_lc_vs_1_be_long_warm_r1,LC_PREFILL_SYNC,300,2.9066957666666666,3.00003,4.000040050000001,6.00006,8.00008,2.000019,0.791658891370409
axis_lc_vs_1_be_long_warm_r1,LC_REQUEST,300,23.73023768,23.00023,31.000311,35.010351099999994,46.000461,20.0002,3.3046007426800297
axis_lc_vs_1_be_long_warm_r2,LC_DECODE_STEP,300,5.566722623333334,5.000051,8.050081450000011,9.010091089999989,11.000111,3.00003,1.6897129532860793
axis_lc_vs_1_be_long_warm_r2,LC_PREFILL_SUBMISSION,300,2.9033624733333334,3.00003,4.00004,6.00006,7.00007,2.000019,0.7500279700552016
axis_lc_vs_1_be_long_warm_r2,LC_PREFILL_SYNC,300,3.0266970433333333,3.00003,5.00005,6.00006,7.000071,2.000019,0.8008994330571384
axis_lc_vs_1_be_long_warm_r2,LC_REQUEST,300,23.503569516666666,23.000231,31.00031105,35.000352,36.000362,18.000181,2.9323751120649044
axis_lc_vs_1_be_long_warm_r3,LC_DECODE_STEP,300,5.306720183333334,5.00005,8.000081,9.01009109999999,11.000111,2.00002,1.589894844840033
axis_lc_vs_1_be_long_warm_r3,LC_PREFILL_SUBMISSION,300,3.1633652833333334,3.00003,4.000041,6.000061,6.000061,2.00002,0.5925930703966058
axis_lc_vs_1_be_long_warm_r3,LC_PREFILL_SYNC,300,3.20336561,3.00003,4.050041450000012,7.00007,7.000071,2.00002,0.6857349472048448
axis_lc_vs_1_be_long_warm_r3,LC_REQUEST,300,23.286901386666667,23.000231,30.050303450000012,34.01034309999999,35.000353,20.000201,2.9507661354740553
axis_lc_vs_4_be_chunked_warm_r1,LC_DECODE_STEP,300,5.896725803333333,6.00006,10.0001,11.000110009999998,16.00016,2.00002,2.0688988324291033
axis_lc_vs_4_be_chunked_warm_r1,LC_PREFILL_SUBMISSION,300,2.973363126666667,3.00003,5.00005,6.00006,6.000061,2.000019,0.924927540117305
axis_lc_vs_4_be_chunked_warm_r1,LC_PREFILL_SYNC,300,3.0666974133333333,3.00003,4.050041450000012,5.010051089999991,9.00009,2.000019,0.8629713327483213
axis_lc_vs_4_be_chunked_warm_r1,LC_REQUEST,300,23.89023969,23.000231,31.000311,34.000341,37.000371,17.000171,3.37383115094068
axis_lc_vs_4_be_chunked_warm_r2,LC_DECODE_STEP,300,5.8233919033333335,6.00006,10.0001,11.000111,11.000111,2.00002,2.039461579884996
axis_lc_vs_4_be_chunked_warm_r2,LC_PREFILL_SUBMISSION,300,2.956696426666667,3.00003,4.050041450000012,6.00006001,7.00007,2.000019,0.8146662292244397
axis_lc_vs_4_be_chunked_warm_r2,LC_PREFILL_SYNC,300,3.1533650833333335,3.00003,5.00005,6.010061099999991,10.000101,2.000019,0.9693502973547742
axis_lc_vs_4_be_chunked_warm_r2,LC_REQUEST,300,23.90024052,23.000232,30.000302050000002,34.000342,37.000372,18.000181,3.284230484909933
axis_lc_vs_4_be_chunked_warm_r3,LC_DECODE_STEP,300,5.790058423333333,5.000051,10.000101,11.000111,14.000142,2.00002,2.1481872730597993
axis_lc_vs_4_be_chunked_warm_r3,LC_PREFILL_SUBMISSION,300,2.956696506666667,3.00003,4.000041,6.000061,7.000071,2.00002,0.8187614361879565
axis_lc_vs_4_be_chunked_warm_r3,LC_PREFILL_SYNC,300,3.0733643533333335,3.00003,5.00005,6.00006,6.000061,2.00002,0.8308251002365935
axis_lc_vs_4_be_chunked_warm_r3,LC_REQUEST,300,23.833573836666666,23.000232,31.000313,34.01034309999999,37.000374,17.000171,3.4659062120594086
lc_alone_warm_stability_r1,LC_DECODE_STEP,300,4.316706016666666,4.000037,7.000064,8.010073089999992,10.000091,2.000018,1.2576525515771482
lc_alone_warm_stability_r1,LC_PREFILL_SUBMISSION,300,2.943360176666667,3.000027,4.050037450000011,6.000055,6.000055,2.000018,0.7406940145948083
