run,count,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,min_ms,stdev_ms
axis_lc_vs_1_be_long_warm_r1,300,23.73023768,23.00023,31.000311,35.010351099999994,46.000461,20.0002,3.3046007426800297
axis_lc_vs_1_be_long_warm_r2,300,23.503569516666666,23.000231,31.00031105,35.000352,36.000362,18.000181,2.9323751120649044
axis_lc_vs_1_be_long_warm_r3,300,23.286901386666667,23.000231,30.050303450000012,34.01034309999999,35.000353,20.000201,2.9507661354740553
axis_lc_vs_4_be_chunked_warm_r1,300,23.89023969,23.000231,31.000311,34.000341,37.000371,17.000171,3.37383115094068
axis_lc_vs_4_be_chunked_warm_r2,300,23.90024052,23.000232,30.000302050000002,34.000342,37.000372,18.000181,3.284230484909933
axis_lc_vs_4_be_chunked_warm_r3,300,23.833573836666666,23.000232,31.000313,34.01034309999999,37.000374,17.000171,3.4659062120594086
lc_alone_warm_stability_r1,300,22.556872303333332,22.0002,31.000282,34.00031,34.000311,20.000182,3.0183864514101404
lc_alone_warm_stability_r2,300,22.490206033333333,22.000201,28.05025740000001,33.000302,34.000312,19.000174,2.7364815240983957
lc_alone_warm_stability_r3,300,22.510207246666667,22.000202,29.050267450000014,34.000313,34.000313,20.000184,2.8266611481680752
lc_alone_warm_stability_r4,300,23.12021393,23.000212,30.00027705,33.01030608999999,35.000323,20.000185,2.7123652448550515
lc_alone_warm_stability_r5,300,22.81687874,22.000205,29.000269,31.01028908999999,34.000316,20.000185,2.4515029073294503
pair1_chunk1_lc_alone_after,300,22.69355763,22.000218,29.05028745000001,32.000316,34.000336,19.000187,2.6776849829226133
pair1_chunk1_lc_alone_before,300,22.66355632,22.000217,29.000285,31.00030501,32.000315,20.000196,2.411670959423698
pair1_chunk1_lc_vs_1_be_chunked,300,22.98689336,23.000226,29.000286,32.00031501,34.000336,18.000177,2.8082494150983437
pair1_long4_lc_alone_after,300,22.996888143333333,23.000221,30.000289,33.01031808999999,35.000337,20.000192,2.689654582278964
pair1_long4_lc_alone_before,300,23.180221369999998,23.000219,31.000296,34.000325,35.000335,20.000191,2.8603662091382
pair1_long4_lc_vs_4_be_long,300,32.99031629666667,32.000307,40.05038350000001,49.00047,83.000796,24.00023,5.093480304634123
pair2_chunk1_lc_alone_after,300,22.74355947,22.000218,31.000308,34.000338,34.000339,20.000198,2.987873890893518
pair2_chunk1_lc_alone_before,300,22.693558103333334,22.000218,30.000297,33.000327,34.000337,20.000198,2.6664199493589984
pair2_chunk1_lc_vs_1_be_chunked,300,23.3102314,23.000228,31.000307,33.000327,34.000338,19.000189,2.7748365391165875
pair2_long4_lc_alone_after,300,22.563552886666667,22.000214,30.000292,33.000321,34.000331,20.000194,2.76374107239439
pair2_long4_lc_alone_before,300,23.046889336666666,22.000213,30.00028905,33.00031801,34.000328,20.000193,2.589782728773468
pair2_long4_lc_vs_4_be_long,300,32.450314553333335,32.00031,39.000378049999995,47.00045601,49.000476,23.000223,4.258517009566749
pair3_chunk1_lc_alone_after,300,22.770227636666664,22.00022,29.00029,32.010320099999994,35.00035,20.0002,2.5818830454535093
pair3_chunk1_lc_alone_before,300,23.28356528,23.000229,30.000299,34.01033909999998,37.000368,18.000179,3.099775560986852
pair3_chunk1_lc_vs_1_be_chunked,300,23.523568103333332,23.00023,31.000309,34.000339,36.00036,18.00018,3.002167849489414
pair3_long4_lc_alone_after,300,23.04355955,22.000216,30.000294,34.000334,35.000344,19.000186,2.8085410709762564
pair3_long4_lc_alone_before,300,22.790222333333332,22.000215,30.05029345000001,34.01033208999999,35.000342,20.000195,2.965702126734443
pair3_long4_lc_vs_4_be_long,300,31.783644286666668,31.000304,39.000381,41.01040109999999,45.00044,22.000215,4.1166176585602985
